NO,LAP,GAP,TIME,race_id,cumtime,progress,temp_lap,5,77,7,33,14,19,11,27,55,10,9,28,18,94,8,44,3,DRIVER,ENTRANT,TIME OF DAY,STOP,DURATION,TOTAL TIME,d_stop,target,laps_since_pit,stop_count,stint
9,1,PIT,128.622,25.0,128.622,0.014285714285714285,1.0,16.128000000000014,14.962000000000018,13.00800000000001,12.047000000000011,10.253000000000014,9.13500000000002,7.4890000000000185,5.91200000000002,4.564000000000021,2.562000000000012,0.0,-1.0829999999999984,-2.322999999999979,-3.080999999999989,-4.200999999999993,-6.305999999999983,-7.524000000000001,M. ERICSSON,Sauber F1 Team,14:04:58,1.0,19.602999999999998,19.603,True,,1,1.0,1.0
28,1,PIT,129.705,25.0,129.705,0.014285714285714285,1.0,17.211000000000013,16.045000000000016,14.091000000000008,13.13000000000001,11.336000000000013,10.218000000000018,8.572000000000017,6.995000000000019,5.64700000000002,3.6450000000000102,1.0829999999999984,0.0,-1.2399999999999807,-1.9979999999999905,-3.117999999999995,-5.222999999999985,-6.4410000000000025,B. HARTLEY,Scuderia Toro Rosso,14:04:59,1.0,19.936,19.936,True,,1,1.0,1.0
18,1,PIT,130.945,25.0,130.945,0.014285714285714285,1.0,18.450999999999993,17.284999999999997,15.330999999999989,14.36999999999999,12.575999999999993,11.457999999999998,9.811999999999998,8.235,6.8870000000000005,4.884999999999991,2.322999999999979,1.2399999999999807,0.0,-0.7580000000000098,-1.8780000000000143,-3.983000000000004,-5.201000000000022,L. STROLL,Williams Martini Racing,14:05:00,1.0,20.146,20.146,True,,1,1.0,1.0
94,1,PIT,131.703,25.0,131.703,0.014285714285714285,1.0,19.209000000000003,18.043000000000006,16.089,15.128,13.334000000000003,12.216000000000008,10.570000000000007,8.99300000000001,7.64500000000001,5.643000000000001,3.080999999999989,1.9979999999999905,0.7580000000000098,0.0,-1.1200000000000045,-3.2249999999999943,-4.443000000000012,P. WEHRLEIN,Sauber F1 Team,14:05:01,1.0,26.439,26.439,True,,1,1.0,1.0
8,1,PIT,132.823,25.0,132.823,0.014285714285714285,1.0,20.329000000000008,19.16300000000001,17.209000000000003,16.248000000000005,14.454000000000008,13.336000000000013,11.690000000000012,10.113000000000014,8.765000000000015,6.763000000000005,4.200999999999993,3.117999999999995,1.8780000000000143,1.1200000000000045,0.0,-2.1049999999999898,-3.3230000000000075,R. GROSJEAN,Haas F1 Team,14:05:02,1.0,25.845,25.845,True,,1,1.0,1.0
44,1,PIT,134.928,25.0,134.928,0.014285714285714285,1.0,22.433999999999997,21.268,19.313999999999993,18.352999999999994,16.558999999999997,15.441000000000003,13.795000000000002,12.218000000000004,10.870000000000005,8.867999999999995,6.305999999999983,5.222999999999985,3.983000000000004,3.2249999999999943,2.1049999999999898,0.0,-1.2180000000000177,L. HAMILTON,Mercedes AMG Petronas F1 Team,14:05:05,1.0,19.377,19.377,True,,1,1.0,1.0
3,1,PIT,136.14600000000002,25.0,136.14600000000002,0.014285714285714285,1.0,23.652000000000015,22.48600000000002,20.53200000000001,19.571000000000012,17.777000000000015,16.65900000000002,15.01300000000002,13.436000000000021,12.088000000000022,10.086000000000013,7.524000000000001,6.4410000000000025,5.201000000000022,4.443000000000012,3.3230000000000075,1.2180000000000177,0.0,D. RICCIARDO,Red Bull Racing,14:05:06,1.0,25.945999999999998,25.946,True,,1,1.0,1.0
5,2,PIT,138.392,25.0,250.886,0.02857142857142857,2.0,0.0,-0.5480000000000018,-0.7189999999999941,-0.5629999999999882,-0.33500000000000796,-0.2079999999999984,0.35200000000000387,0.6299999999999955,-0.585000000000008,-0.051000000000016144,0.5310000000000059,0.42099999999999227,0.5480000000000018,-0.3050000000000068,-0.5819999999999936,3.657999999999987,1.6519999999999868,S. VETTEL,Scuderia Ferrari,14:07:01,2.0,17.817,36.914,True,,1,2.0,2.0
77,2,PIT,138.94,25.0,252.6,0.02857142857142857,2.0,0.5480000000000018,0.0,-0.17099999999999227,-0.014999999999986358,0.21299999999999386,0.3400000000000034,0.9000000000000057,1.1779999999999973,-0.03700000000000614,0.4969999999999857,1.0790000000000077,0.9689999999999941,1.0960000000000036,0.242999999999995,-0.033999999999991815,4.205999999999989,2.1999999999999886,V. BOTTAS,Mercedes AMG Petronas F1 Team,14:07:03,2.0,17.827,36.544,True,,1,2.0,2.0
7,2,PIT,139.111,25.0,254.725,0.02857142857142857,2.0,0.7189999999999941,0.17099999999999227,0.0,0.1560000000000059,0.38399999999998613,0.5109999999999957,1.070999999999998,1.3489999999999895,0.13399999999998613,0.667999999999978,1.25,1.1399999999999864,1.266999999999996,0.41399999999998727,0.13700000000000045,4.376999999999981,2.370999999999981,K. RAIKKONEN,Scuderia Ferrari,14:07:05,2.0,18.027,37.460,True,,1,2.0,2.0
33,2,PIT,138.95499999999998,25.0,255.52999999999997,0.02857142857142857,2.0,0.5629999999999882,0.014999999999986358,-0.1560000000000059,0.0,0.22799999999998022,0.35499999999998977,0.914999999999992,1.1929999999999836,-0.02200000000001978,0.511999999999972,1.093999999999994,0.9839999999999804,1.11099999999999,0.25799999999998136,-0.019000000000005457,4.220999999999975,2.214999999999975,M. VERSTAPPEN,Red Bull Racing,14:07:06,2.0,17.913,36.740,True,,1,2.0,2.0
14,2,PIT,138.727,25.0,257.096,0.02857142857142857,2.0,0.33500000000000796,-0.21299999999999386,-0.38399999999998613,-0.22799999999998022,0.0,0.12700000000000955,0.6870000000000118,0.9650000000000034,-0.25,0.2839999999999918,0.8660000000000139,0.7560000000000002,0.8830000000000098,0.030000000000001137,-0.24699999999998568,3.992999999999995,1.9869999999999948,F. ALONSO,McLaren Honda,14:07:08,2.0,17.77,36.257,True,,1,2.0,2.0
19,2,PIT,138.6,25.0,258.087,0.02857142857142857,2.0,0.2079999999999984,-0.3400000000000034,-0.5109999999999957,-0.35499999999998977,-0.12700000000000955,0.0,0.5600000000000023,0.8379999999999939,-0.37700000000000955,0.15699999999998226,0.7390000000000043,0.6289999999999907,0.7560000000000002,-0.09700000000000841,-0.3739999999999952,3.8659999999999854,1.8599999999999852,F. MASSA,Williams Martini Racing,14:07:09,2.0,17.736,35.974,True,,1,2.0,2.0
11,2,PIT,138.04,25.0,259.173,0.02857142857142857,2.0,-0.35200000000000387,-0.9000000000000057,-1.070999999999998,-0.914999999999992,-0.6870000000000118,-0.5600000000000023,0.0,0.2779999999999916,-0.9370000000000118,-0.40300000000002,0.17900000000000205,0.0689999999999884,0.19599999999999795,-0.6570000000000107,-0.9339999999999975,3.305999999999983,1.299999999999983,S. PEREZ,Sahara Force India F1 Team,14:07:10,2.0,17.959,36.376,True,,1,2.0,2.0
27,2,PIT,137.762,25.0,260.472,0.02857142857142857,2.0,-0.6299999999999955,-1.1779999999999973,-1.3489999999999895,-1.1929999999999836,-0.9650000000000034,-0.8379999999999939,-0.2779999999999916,0.0,-1.2150000000000034,-0.6810000000000116,-0.09899999999998954,-0.20900000000000318,-0.08199999999999363,-0.9350000000000023,-1.211999999999989,3.0279999999999916,1.0219999999999914,N. HULKENBERG,Renault Sport F1 Team,14:07:11,2.0,18.549,37.476,True,,1,2.0,2.0
55,2,PIT,138.977,25.0,263.03499999999997,0.02857142857142857,2.0,0.585000000000008,0.03700000000000614,-0.13399999999998613,0.02200000000001978,0.25,0.37700000000000955,0.9370000000000118,1.2150000000000034,0.0,0.5339999999999918,1.1160000000000139,1.0060000000000002,1.1330000000000098,0.28000000000000114,0.0030000000000143245,4.242999999999995,2.2369999999999948,C. SAINZ,Renault Sport F1 Team,14:07:13,2.0,18.604,37.812,True,,1,2.0,2.0
10,2,PIT,138.443,25.0,264.50300000000004,0.02857142857142857,2.0,0.051000000000016144,-0.4969999999999857,-0.667999999999978,-0.511999999999972,-0.2839999999999918,-0.15699999999998226,0.40300000000002,0.6810000000000116,-0.5339999999999918,0.0,0.582000000000022,0.4720000000000084,0.599000000000018,-0.2539999999999907,-0.5309999999999775,3.709000000000003,1.703000000000003,P. GASLY,Scuderia Toro Rosso,14:07:14,2.0,18.855,38.285,True,,1,2.0,2.0
9,2,PIT,137.861,25.0,266.483,0.02857142857142857,2.0,-0.5310000000000059,-1.0790000000000077,-1.25,-1.093999999999994,-0.8660000000000139,-0.7390000000000043,-0.17900000000000205,0.09899999999998954,-1.1160000000000139,-0.582000000000022,0.0,-0.11000000000001364,0.016999999999995907,-0.8360000000000127,-1.1129999999999995,3.126999999999981,1.120999999999981,M. ERICSSON,Sauber F1 Team,14:07:16,2.0,19.25,38.853,True,,1,2.0,2.0
28,2,PIT,137.971,25.0,267.67600000000004,0.02857142857142857,2.0,-0.42099999999999227,-0.9689999999999941,-1.1399999999999864,-0.9839999999999804,-0.7560000000000002,-0.6289999999999907,-0.0689999999999884,0.20900000000000318,-1.0060000000000002,-0.4720000000000084,0.11000000000001364,0.0,0.12700000000000955,-0.7259999999999991,-1.002999999999986,3.2369999999999948,1.2309999999999945,B. HARTLEY,Scuderia Toro Rosso,14:07:17,2.0,19.439,39.375,True,,1,2.0,2.0
18,2,PIT,137.844,25.0,268.789,0.02857142857142857,2.0,-0.5480000000000018,-1.0960000000000036,-1.266999999999996,-1.11099999999999,-0.8830000000000098,-0.7560000000000002,-0.19599999999999795,0.08199999999999363,-1.1330000000000098,-0.599000000000018,-0.016999999999995907,-0.12700000000000955,0.0,-0.8530000000000086,-1.1299999999999955,3.109999999999985,1.103999999999985,L. STROLL,Williams Martini Racing,14:07:18,2.0,19.27,39.416,True,,1,2.0,2.0
44,2,PIT,134.734,25.0,269.66200000000003,0.02857142857142857,2.0,-3.657999999999987,-4.205999999999989,-4.376999999999981,-4.220999999999975,-3.992999999999995,-3.8659999999999854,-3.305999999999983,-3.0279999999999916,-4.242999999999995,-3.709000000000003,-3.126999999999981,-3.2369999999999948,-3.109999999999985,-3.962999999999994,-4.239999999999981,0.0,-2.0060000000000002,L. HAMILTON,Mercedes AMG Petronas F1 Team,14:07:19,2.0,19.237000000000002,38.614,True,,1,2.0,2.0
94,2,PIT,138.697,25.0,270.4,0.02857142857142857,2.0,0.3050000000000068,-0.242999999999995,-0.41399999999998727,-0.25799999999998136,-0.030000000000001137,0.09700000000000841,0.6570000000000107,0.9350000000000023,-0.28000000000000114,0.2539999999999907,0.8360000000000127,0.7259999999999991,0.8530000000000086,0.0,-0.2769999999999868,3.962999999999994,1.9569999999999936,P. WEHRLEIN,Sauber F1 Team,14:07:20,2.0,19.16,45.599,True,,1,2.0,2.0
8,2,PIT,138.974,25.0,271.797,0.02857142857142857,2.0,0.5819999999999936,0.033999999999991815,-0.13700000000000045,0.019000000000005457,0.24699999999998568,0.3739999999999952,0.9339999999999975,1.211999999999989,-0.0030000000000143245,0.5309999999999775,1.1129999999999995,1.002999999999986,1.1299999999999955,0.2769999999999868,0.0,4.239999999999981,2.2339999999999804,R. GROSJEAN,Haas F1 Team,14:07:22,2.0,18.86,44.705,True,,1,2.0,2.0
3,2,PIT,136.74,25.0,272.886,0.02857142857142857,2.0,-1.6519999999999868,-2.1999999999999886,-2.370999999999981,-2.214999999999975,-1.9869999999999948,-1.8599999999999852,-1.299999999999983,-1.0219999999999914,-2.2369999999999948,-1.703000000000003,-1.120999999999981,-1.2309999999999945,-1.103999999999985,-1.9569999999999936,-2.2339999999999804,2.0060000000000002,0.0,D. RICCIARDO,Red Bull Racing,14:07:23,2.0,17.929000000000002,43.875,True,,1,2.0,2.0
5,3,PIT,131.713,25.0,382.599,0.04285714285714286,3.0,0.0,0.028999999999996362,0.08400000000000318,0.2079999999999984,0.4849999999999852,0.46299999999999386,0.055999999999983174,-0.20000000000001705,0.05299999999999727,0.5660000000000025,0.5819999999999936,0.6409999999999911,0.117999999999995,-0.23699999999999477,-0.12399999999999523,0.01999999999998181,-0.4230000000000018,S. VETTEL,Scuderia Ferrari,14:09:13,3.0,17.842,54.756,True,,1,3.0,3.0
77,3,PIT,131.684,25.0,384.284,0.04285714285714286,3.0,-0.028999999999996362,0.0,0.05500000000000682,0.17900000000000205,0.45599999999998886,0.4339999999999975,0.026999999999986812,-0.22900000000001342,0.02400000000000091,0.5370000000000061,0.5529999999999973,0.6119999999999948,0.08899999999999864,-0.26599999999999113,-0.1529999999999916,-0.009000000000014552,-0.4519999999999982,V. BOTTAS,Mercedes AMG Petronas F1 Team,14:09:15,3.0,17.784000000000002,54.328,True,,1,3.0,3.0
7,3,PIT,131.629,25.0,386.354,0.04285714285714286,3.0,-0.08400000000000318,-0.05500000000000682,0.0,0.12399999999999523,0.40099999999998204,0.3789999999999907,-0.02800000000002001,-0.28400000000002024,-0.03100000000000591,0.4819999999999993,0.49799999999999045,0.556999999999988,0.033999999999991815,-0.32099999999999795,-0.2079999999999984,-0.06400000000002137,-0.507000000000005,K. RAIKKONEN,Scuderia Ferrari,14:09:16,3.0,18.29,55.750,True,,1,3.0,3.0
33,3,PIT,131.505,25.0,387.03499999999997,0.04285714285714286,3.0,-0.2079999999999984,-0.17900000000000205,-0.12399999999999523,0.0,0.2769999999999868,0.25499999999999545,-0.15200000000001523,-0.40800000000001546,-0.15500000000000114,0.3580000000000041,0.3739999999999952,0.4329999999999927,-0.09000000000000341,-0.4449999999999932,-0.33199999999999363,-0.1880000000000166,-0.6310000000000002,M. VERSTAPPEN,Red Bull Racing,14:09:17,3.0,18.017,54.757,True,,1,3.0,3.0
14,3,PIT,131.228,25.0,388.324,0.04285714285714286,3.0,-0.4849999999999852,-0.45599999999998886,-0.40099999999998204,-0.2769999999999868,0.0,-0.02199999999999136,-0.42900000000000205,-0.6850000000000023,-0.43199999999998795,0.08100000000001728,0.09700000000000841,0.1560000000000059,-0.3669999999999902,-0.72199999999998,-0.6089999999999804,-0.4650000000000034,-0.907999999999987,F. ALONSO,McLaren Honda,14:09:19,3.0,17.715999999999998,53.973,True,,1,3.0,3.0
19,3,PIT,131.25,25.0,389.337,0.04285714285714286,3.0,-0.46299999999999386,-0.4339999999999975,-0.3789999999999907,-0.25499999999999545,0.02199999999999136,0.0,-0.4070000000000107,-0.6630000000000109,-0.4099999999999966,0.10300000000000864,0.11899999999999977,0.17799999999999727,-0.34499999999999886,-0.6999999999999886,-0.5869999999999891,-0.44300000000001205,-0.8859999999999957,F. MASSA,Williams Martini Racing,14:09:20,3.0,17.745,53.719,True,,1,3.0,3.0
11,3,PIT,131.657,25.0,390.83000000000004,0.04285714285714286,3.0,-0.055999999999983174,-0.026999999999986812,0.02800000000002001,0.15200000000001523,0.42900000000000205,0.4070000000000107,0.0,-0.2560000000000002,-0.002999999999985903,0.5100000000000193,0.5260000000000105,0.585000000000008,0.06200000000001182,-0.29299999999997794,-0.1799999999999784,-0.036000000000001364,-0.478999999999985,S. PEREZ,Sahara Force India F1 Team,14:09:21,3.0,17.822,54.198,True,,1,3.0,3.0
27,3,PIT,131.913,25.0,392.385,0.04285714285714286,3.0,0.20000000000001705,0.22900000000001342,0.28400000000002024,0.40800000000001546,0.6850000000000023,0.6630000000000109,0.2560000000000002,0.0,0.2530000000000143,0.7660000000000196,0.7820000000000107,0.8410000000000082,0.31800000000001205,-0.03699999999997772,0.07600000000002183,0.21999999999999886,-0.22299999999998477,N. HULKENBERG,Renault Sport F1 Team,14:09:23,3.0,18.052,55.528,True,,1,3.0,3.0
55,3,PIT,131.66,25.0,394.69499999999994,0.04285714285714286,3.0,-0.05299999999999727,-0.02400000000000091,0.03100000000000591,0.15500000000000114,0.43199999999998795,0.4099999999999966,0.002999999999985903,-0.2530000000000143,0.0,0.5130000000000052,0.5289999999999964,0.5879999999999939,0.06499999999999773,-0.28999999999999204,-0.1769999999999925,-0.03300000000001546,-0.4759999999999991,C. SAINZ,Renault Sport F1 Team,14:09:25,3.0,18.347,56.159,True,,1,3.0,3.0
10,3,PIT,131.147,25.0,395.65000000000003,0.04285714285714286,3.0,-0.5660000000000025,-0.5370000000000061,-0.4819999999999993,-0.3580000000000041,-0.08100000000001728,-0.10300000000000864,-0.5100000000000193,-0.7660000000000196,-0.5130000000000052,0.0,0.015999999999991132,0.07499999999998863,-0.4480000000000075,-0.8029999999999973,-0.6899999999999977,-0.5460000000000207,-0.9890000000000043,P. GASLY,Scuderia Toro Rosso,14:09:26,3.0,18.207,56.492,True,,1,3.0,3.0
9,3,PIT,131.131,25.0,397.61400000000003,0.04285714285714286,3.0,-0.5819999999999936,-0.5529999999999973,-0.49799999999999045,-0.3739999999999952,-0.09700000000000841,-0.11899999999999977,-0.5260000000000105,-0.7820000000000107,-0.5289999999999964,-0.015999999999991132,0.0,0.0589999999999975,-0.46399999999999864,-0.8189999999999884,-0.7059999999999889,-0.5620000000000118,-1.0049999999999955,M. ERICSSON,Sauber F1 Team,14:09:28,3.0,17.802,56.655,True,,1,3.0,3.0
28,3,PIT,131.072,25.0,398.74800000000005,0.04285714285714286,3.0,-0.6409999999999911,-0.6119999999999948,-0.556999999999988,-0.4329999999999927,-0.1560000000000059,-0.17799999999999727,-0.585000000000008,-0.8410000000000082,-0.5879999999999939,-0.07499999999998863,-0.0589999999999975,0.0,-0.5229999999999961,-0.8779999999999859,-0.7649999999999864,-0.6210000000000093,-1.063999999999993,B. HARTLEY,Scuderia Toro Rosso,14:09:29,3.0,17.738,57.113,True,,1,3.0,3.0
18,3,PIT,131.595,25.0,400.384,0.04285714285714286,3.0,-0.117999999999995,-0.08899999999999864,-0.033999999999991815,0.09000000000000341,0.3669999999999902,0.34499999999999886,-0.06200000000001182,-0.31800000000001205,-0.06499999999999773,0.4480000000000075,0.46399999999999864,0.5229999999999961,0.0,-0.35499999999998977,-0.24199999999999022,-0.09800000000001319,-0.5409999999999968,L. STROLL,Williams Martini Racing,14:09:31,3.0,17.925,57.341,True,,1,3.0,3.0
44,3,PIT,131.693,25.0,401.355,0.04285714285714286,3.0,-0.01999999999998181,0.009000000000014552,0.06400000000002137,0.1880000000000166,0.4650000000000034,0.44300000000001205,0.036000000000001364,-0.21999999999999886,0.03300000000001546,0.5460000000000207,0.5620000000000118,0.6210000000000093,0.09800000000001319,-0.2569999999999766,-0.14399999999997704,0.0,-0.44299999999998363,L. HAMILTON,Mercedes AMG Petronas F1 Team,14:09:32,3.0,18.725,57.339,True,,1,3.0,3.0
94,3,PIT,131.95,25.0,402.34999999999997,0.04285714285714286,3.0,0.23699999999999477,0.26599999999999113,0.32099999999999795,0.4449999999999932,0.72199999999998,0.6999999999999886,0.29299999999997794,0.03699999999997772,0.28999999999999204,0.8029999999999973,0.8189999999999884,0.8779999999999859,0.35499999999998977,0.0,0.11299999999999955,0.2569999999999766,-0.18600000000000705,P. WEHRLEIN,Sauber F1 Team,14:09:33,3.0,18.764,1:04.363,True,,1,3.0,3.0
8,3,PIT,131.837,25.0,403.634,0.04285714285714286,3.0,0.12399999999999523,0.1529999999999916,0.2079999999999984,0.33199999999999363,0.6089999999999804,0.5869999999999891,0.1799999999999784,-0.07600000000002183,0.1769999999999925,0.6899999999999977,0.7059999999999889,0.7649999999999864,0.24199999999999022,-0.11299999999999955,0.0,0.14399999999997704,-0.2990000000000066,R. GROSJEAN,Haas F1 Team,14:09:34,3.0,18.456,1:03.161,True,,1,3.0,3.0
3,3,PIT,132.136,25.0,405.02200000000005,0.04285714285714286,3.0,0.4230000000000018,0.4519999999999982,0.507000000000005,0.6310000000000002,0.907999999999987,0.8859999999999957,0.478999999999985,0.22299999999998477,0.4759999999999991,0.9890000000000043,1.0049999999999955,1.063999999999993,0.5409999999999968,0.18600000000000705,0.2990000000000066,0.44299999999998363,0.0,D. RICCIARDO,Red Bull Racing,14:09:35,3.0,18.129,1:02.004,True,,1,3.0,3.0
5,4,0,119.419,25.0,502.018,0.05714285714285714,4.0,0.0,0.5079999999999956,1.8519999999999897,1.5779999999999887,1.043999999999997,0.5280000000000058,0.6389999999999958,0.8629999999999995,0.20000000000000284,0.6099999999999994,1.2660000000000053,0.8140000000000072,1.3259999999999934,1.1319999999999908,0.6079999999999899,1.4779999999999944,0.8200000000000074,,,,,,,False,,1,3.0,4.0
77,4,1.177,118.911,25.0,503.195,0.05714285714285714,4.0,-0.5079999999999956,0.0,1.343999999999994,1.0699999999999932,0.5360000000000014,0.020000000000010232,0.13100000000000023,0.355000000000004,-0.3079999999999927,0.10200000000000387,0.7580000000000098,0.3060000000000116,0.8179999999999978,0.6239999999999952,0.09999999999999432,0.9699999999999989,0.3120000000000118,,,,,,,False,,1,3.0,4.0
7,4,1.903,117.56700000000001,25.0,503.921,0.05714285714285714,4.0,-1.8519999999999897,-1.343999999999994,0.0,-0.2740000000000009,-0.8079999999999927,-1.3239999999999839,-1.2129999999999939,-0.9889999999999901,-1.6519999999999868,-1.2419999999999902,-0.5859999999999843,-1.0379999999999825,-0.5259999999999962,-0.7199999999999989,-1.2439999999999998,-0.3739999999999952,-1.0319999999999823,,,,,,,False,,1,3.0,4.0
33,4,2.858,117.84100000000001,25.0,504.876,0.05714285714285714,4.0,-1.5779999999999887,-1.0699999999999932,0.2740000000000009,0.0,-0.5339999999999918,-1.049999999999983,-0.938999999999993,-0.7149999999999892,-1.377999999999986,-0.9679999999999893,-0.3119999999999834,-0.7639999999999816,-0.25199999999999534,-0.44599999999999795,-0.9699999999999989,-0.09999999999999432,-0.7579999999999814,,,,,,,False,,1,3.0,4.0
14,4,4.681,118.375,25.0,506.699,0.05714285714285714,4.0,-1.043999999999997,-0.5360000000000014,0.8079999999999927,0.5339999999999918,0.0,-0.5159999999999911,-0.40500000000000114,-0.18099999999999739,-0.8439999999999941,-0.4339999999999975,0.2220000000000084,-0.22999999999998977,0.2819999999999965,0.08799999999999386,-0.43600000000000705,0.4339999999999975,-0.22399999999998954,,,,,,,False,,1,3.0,4.0
19,4,6.210,118.89099999999999,25.0,508.22799999999995,0.05714285714285714,4.0,-0.5280000000000058,-0.020000000000010232,1.3239999999999839,1.049999999999983,0.5159999999999911,0.0,0.11099999999999,0.33499999999999375,-0.32800000000000296,0.08199999999999363,0.7379999999999995,0.28600000000000136,0.7979999999999876,0.603999999999985,0.07999999999998408,0.9499999999999886,0.2920000000000016,,,,,,,False,,1,3.0,4.0
11,4,7.592,118.78,25.0,509.61,0.05714285714285714,4.0,-0.6389999999999958,-0.13100000000000023,1.2129999999999939,0.938999999999993,0.40500000000000114,-0.11099999999999,0.0,0.22400000000000375,-0.43899999999999295,-0.028999999999996362,0.6270000000000095,0.17500000000001137,0.6869999999999976,0.492999999999995,-0.03100000000000591,0.8389999999999986,0.1810000000000116,,,,,,,False,,1,3.0,4.0
27,4,8.923,118.556,25.0,510.941,0.05714285714285714,4.0,-0.8629999999999995,-0.355000000000004,0.9889999999999901,0.7149999999999892,0.18099999999999739,-0.33499999999999375,-0.22400000000000375,0.0,-0.6629999999999967,-0.2530000000000001,0.4030000000000058,-0.04899999999999238,0.46299999999999386,0.26899999999999125,-0.25500000000000966,0.6149999999999949,-0.042999999999992156,,,,,,,False,,1,3.0,4.0
