,NO,GAP,TIME,LAP
35,77,15.185,1:35.436,2
36,8,16.487,1:35.688,2
37,88,17.295,1:35.893,2
38,21,27.858,1:43.119,2
39,,,,2
40,7,1.915,1:32.341,3
41,6,3.353,1:32.747,3
42,33,4.546,1:32.894,3
43,20,1 LAP,1:46.207,3
44,19,6.513,1:33.309,3
45,44,7.035,1:33.092,3
46,55,7.800,1:32.952,3
47,27,10.779,1:34.176,3
48,3,11.249,1:33.950,3
49,14,12.839,1:34.252,3
50,11,13.659,1:34.312,3
51,22,14.837,1:34.933,3
52,30,15.363,1:34.565,3
53,94,16.333,1:34.712,3
54,9,17.116,1:35.009,3
55,12,17.905,1:35.265,3
56,77,18.332,1:35.314,3
57,8,19.478,1:35.158,3
58,88,20.314,1:35.186,3
59,21,28.813,1:33.122,3
60,7,2.222,1:32.321,4
61,6,3.480,1:32.141,4
62,33,5.070,1:32.538,4
63,44,7.083,1:32.062,4
64,19,9.002,1:34.503,4
65,55,9.439,1:33.653,4
66,20,1 LAP,1:37.229,4
67,27,12.893,1:34.128,4
68,3,13.149,1:33.914,4
69,14,15.132,1:34.307,4
70,11,15.867,1:34.222,4
71,22,16.804,1:33.981,4
72,30,17.391,1:34.042,4
73,94,18.428,1:34.109,4
74,9,19.293,1:34.191,4
75,12,20.321,1:34.430,4
76,77,20.602,1:34.284,4
77,8,21.908,1:34.444,4
78,88,23.037,1:34.737,4
79,21,29.797,1:32.998,4
80,7,2.088,1:32.139,5
81,6,2.782,1:31.575,5
82,33,5.317,1:32.520,5
83,44,6.439,1:31.629,5
84,19,9.848,1:33.119,5
85,55,10.538,1:33.372,5
86,20,1 LAP,1:34.720,5
87,3,13.891,1:33.015,5
88,27,15.587,1:34.967,5
89,14,16.767,1:33.908,5
90,11,17.979,1:34.385,5
91,22,19.035,1:34.504,5
92,30,19.606,1:34.488,5
93,94,20.390,1:34.235,5
94,9,21.249,1:34.229,5
95,77,22.920,1:34.591,5
96,12,23.692,1:35.644,5
97,8,24.138,1:34.503,5
98,88,25.439,1:34.675,5
99,21,30.708,1:33.184,5
100,5,,1:32.204,6
101,7,2.124,1:32.240,6
102,6,3.046,1:32.468,6
103,33,6.003,1:32.890,6
104,44,6.516,1:32.281,6
105,19,10.869,1:33.225,6
106,55,11.656,1:33.322,6
107,3,14.270,1:32.583,6
108,20,1 LAP,1:35.346,6
109,27,17.747,1:34.364,6
110,14,18.922,1:34.359,6
111,11,19.872,1:34.097,6
112,22,21.132,1:34.301,6
113,30,21.797,1:34.395,6
114,94,22.953,1:34.767,6
115,9,23.530,1:34.485,6
116,77,24.154,1:33.438,6
117,12,26.481,1:34.993,6
118,8,26.939,1:35.005,6
119,88,28.013,1:34.778,6
120,21,31.971,1:33.467,6
121,5,,1:32.080,7
122,7,2.254,1:32.210,7
123,6,3.430,1:32.464,7
124,33,7.140,1:33.217,7
125,44,7.902,1:33.466,7
126,19,12.440,1:33.651,7
127,55,13.344,1:33.768,7
128,3,14.933,1:32.743,7
129,27,19.112,1:33.445,7
130,14,21.268,1:34.426,7
131,11,22.261,1:34.469,7
132,22,23.816,1:34.764,7
133,30,24.510,1:34.793,7
134,94,26.169,1:35.296,7
135,9,26.839,1:35.389,7
136,77,27.251,1:35.177,7
137,20,1 LAP,1:43.453,7
138,12,29.546,1:35.145,7
139,8,29.983,1:35.124,7
140,88,31.430,1:35.497,7
141,21,33.651,1:33.760,7
142,5,,1:32.289,8
143,7,2.346,1:32.381,8
144,6,3.766,1:32.625,8
145,33,8.107,1:33.256,8
146,44,8.744,1:33.131,8
147,19,13.994,1:33.843,8
148,3,15.636,1:32.992,8
149,27,20.868,1:34.045,8
150,14,23.352,1:34.373,8
151,11,24.548,1:34.576,8
152,22,26.113,1:34.586,8
153,30,27.085,1:34.864,8
154,94,28.697,1:34.817,8
155,9,29.792,1:35.242,8
156,77,30.011,1:35.049,8
157,20,1 LAP,1:34.917,8
158,12,32.549,1:35.292,8
159,8,33.214,1:35.520,8
160,55,PIT,1:52.689,8
161,88,34.865,1:35.724,8
162,21,35.405,1:34.043,8
163,5,,1:32.578,9
164,7,2.496,1:32.728,9
165,6,3.745,1:32.557,9
166,33,9.122,1:33.593,9
167,44,9.787,1:33.621,9
168,19,15.941,1:34.525,9
169,3,16.177,1:33.119,9
170,27,22.164,1:33.874,9
171,14,25.121,1:34.347,9
172,11,26.431,1:34.461,9
173,22,28.146,1:34.611,9
174,30,29.264,1:34.757,9
175,94,30.940,1:34.821,9
