,NO,GAP,TIME,LAP
376,3,2.217 19:58.834,,19
377,33,2.447 19:57.492,,19
378,55,3.059 2:19.461,,19
379,44,3.331 2:16.377,,19
380,19,4.099 2:15.431,,19
381,8,5.044 2:14.540,,19
382,27,5.261 2:12.698,,19
383,77,5.873 2:12.091,,19
384,30,6.490 2:10.486,,19
385,11,7.283 2:10.119,,19
386,9,8.253 2:07.300,,19
387,22,8.370 2:05.076,,19
388,12,9.085 2:04.244,,19
389,94,10.004 2:02.989,,19
390,20,10.856 2:00.667,,19
391,,,,19
392,,,,19
393,,,,19
394,5,,1:30.524,20
395,6,1.362,1:31.206,20
396,7,2.544,1:31.247,20
397,3,4.094,1:32.401,20
398,33,4.699,1:32.776,20
399,55,5.468,1:32.933,20
400,44,6.188,1:33.381,20
401,19,7.351,1:33.776,20
402,8,8.318,1:33.798,20
403,27,9.212,1:34.475,20
404,77,9.675,1:34.326,20
405,30,10.488,1:34.522,20
406,11,10.907,1:34.148,20
407,22,11.059,1:33.213,20
408,9,14.835,1:37.106,20
409,12,15.253,1:36.692,20
410,94,15.701,1:36.221,20
411,20,16.333,1:36.001,20
412,,,,20
413,,,,20
414,,,,20
415,5,,1:30.374,21
416,6,1.545,1:30.557,21
417,7,2.871,1:30.701,21
418,3,5.190,1:31.470,21
419,33,6.065,1:31.740,21
420,55,6.819,1:31.725,21
421,44,7.582,1:31.768,21
422,19,9.793,1:32.816,21
423,8,11.054,1:33.110,21
424,27,12.352,1:33.514,21
425,77,13.027,1:33.726,21
426,30,14.035,1:33.921,21
427,22,14.510,1:33.825,21
428,11,15.276,1:34.743,21
429,9,18.987,1:34.526,21
430,12,19.616,1:34.737,21
431,20,21.513,1:35.554,21
432,94,22.083,1:36.756,21
433,5,,1:30.207,22
434,6,2.026,1:30.688,22
435,3,6.428,1:31.445,22
436,33,7.455,1:31.597,22
437,55,8.356,1:31.744,22
438,44,9.103,1:31.728,22
439,19,12.497,1:32.911,22
440,8,14.112,1:33.265,22
441,27,15.472,1:33.327,22
442,77,16.183,1:33.363,22
443,30,17.588,1:33.760,22
444,22,18.213,1:33.910,22
445,11,19.125,1:34.056,22
446,9,23.389,1:34.609,22
447,12,23.894,1:34.485,22
448,20,24.759,1:33.453,22
449,94,26.072,1:34.196,22
450,,,,22
451,5,,1:29.951,23
452,6,3.014,1:30.939,23
453,3,7.755,1:31.278,23
454,33,9.189,1:31.685,23
455,55,10.076,1:31.671,23
456,44,10.936,1:31.784,23
457,19,15.306,1:32.760,23
458,8,17.482,1:33.321,23
459,27,19.046,1:33.525,23
460,77,19.501,1:33.269,23
461,30,21.186,1:33.549,23
462,22,22.113,1:33.851,23
463,11,22.850,1:33.676,23
464,9,28.499,1:35.061,23
465,12,28.944,1:35.001,23
466,20,29.632,1:34.824,23
467,94,30.396,1:34.275,23
468,,,,23
469,5,,1:30.185,24
470,6,3.730,1:30.901,24
471,3,9.023,1:31.453,24
472,33,11.046,1:32.042,24
473,55,12.009,1:32.118,24
474,44,12.633,1:31.882,24
475,19,17.896,1:32.775,24
476,8,20.789,1:33.492,24
477,27,22.392,1:33.531,24
478,77,22.702,1:33.386,24
479,30,24.629,1:33.628,24
480,22,26.049,1:34.121,24
481,11,26.993,1:34.328,24
482,9,33.147,1:34.833,24
483,12,33.633,1:34.874,24
484,20,34.260,1:34.813,24
485,94,35.135,1:34.924,24
486,,,,24
487,5,,1:30.719,25
488,6,3.940,1:30.929,25
489,3,9.821,1:31.517,25
490,33,12.501,1:32.174,25
491,55,13.456,1:32.166,25
492,44,14.294,1:32.380,25
493,19,19.980,1:32.803,25
494,8,24.166,1:34.096,25
495,27,25.067,1:33.394,25
496,77,25.705,1:33.722,25
497,30,27.607,1:33.697,25
498,22,29.623,1:34.293,25
499,11,30.226,1:33.952,25
500,9,37.197,1:34.769,25
501,20,39.133,1:35.592,25
502,94,40.205,1:35.789,25
503,12,40.971,1:38.057,25
504,,,,25
505,5,,1:31.764,26
506,6,3.107,1:30.931,26
507,3,9.902,1:31.845,26
508,33,12.917,1:32.180,26
509,55,14.041,1:32.349,26
510,44,14.669,1:32.139,26
511,19,20.746,1:32.530,26
512,8,25.829,1:33.427,26
513,27,26.949,1:33.646,26
514,77,27.337,1:33.396,26
515,30,29.480,1:33.637,26
516,22,32.387,1:34.528,26
517,11,32.842,1:34.380,26
518,9,40.449,1:35.016,26
519,20,42.018,1:34.649,26
520,94,43.005,1:34.564,26
521,12,44.476,1:35.269,26
522,5,,1:31.454,27
523,6,3.022,1:31.369,27
524,3,10.402,1:31.954,27
525,33,13.814,1:32.351,27
526,55,15.204,1:32.617,27
527,44,15.822,1:32.607,27
528,19,22.344,1:33.052,27
529,8,28.171,1:33.796,27
530,27,28.937,1:33.442,27
531,77,29.727,1:33.844,27
532,30,31.986,1:33.960,27
533,22,35.370,1:34.437,27
534,11,35.737,1:34.349,27
535,20,45.126,1:34.562,27
536,94,46.648,1:35.097,27
537,12,47.691,1:34.669,27
538,9,PIT,1:48.103,27
539,5,,1:31.507,28
540,6,3.206,1:31.691,28
541,3,10.789,1:31.894,28
542,33,14.656,1:32.349,28
543,55,16.114,1:32.417,28
544,44,16.831,1:32.516,28
545,19,23.649,1:32.812,28
546,8,30.118,1:33.454,28
547,27,30.916,1:33.486,28
548,77,31.492,1:33.272,28
549,30,33.978,1:33.499,28
550,11,38.632,1:34.402,28
551,22,39.735,1:35.872,28
552,20,47.631,1:34.012,28
553,94,49.647,1:34.506,28
554,12,51.042,1:34.858,28
555,9,68.043,1:42.452,28
556,5,,1:31.809,29
557,6,3.296,1:31.899,29
558,3,11.024,1:32.044,29
559,33,15.229,1:32.382,29
560,55,16.841,1:32.536,29
561,44,17.481,1:32.459,29
562,19,24.637,1:32.797,29
563,8,31.757,1:33.448,29
564,27,32.857,1:33.750,29
565,77,33.370,1:33.687,29
566,30,35.695,1:33.526,29
567,11,40.086,1:33.263,29
568,22,43.355,1:35.429,29
569,20,49.549,1:33.727,29
570,94,52.440,1:34.602,29
571,12,53.654,1:34.421,29
572,9,70.856,1:34.622,29
573,5,,1:32.003,30
574,6,3.093,1:31.800,30
575,3,11.246,1:32.225,30
576,33,15.583,1:32.357,30
577,55,17.532,1:32.694,30
578,44,18.103,1:32.625,30
579,19,25.585,1:32.951,30
580,8,33.310,1:33.556,30
581,27,34.171,1:33.317,30
582,77,35.071,1:33.704,30
583,30,37.257,1:33.565,30
584,11,41.025,1:32.942,30
585,20,51.085,1:33.539,30
586,94,55.270,1:34.833,30
587,12,56.100,1:34.449,30
588,22,PIT,1:53.550,30
589,9,73.389,1:34.536,30
