,NO,GAP,TIME,NO.1,GAP.1,TIME.1,NO.2,GAP.2,TIME.2,NO.3,GAP.3,TIME.3,NO.4,GAP.4,TIME.4
0,6,,1:56.000,6,,1:57.597,6,,2:10.816,6,,1:53.974,6,,1:54.417
1,27,4.111,2:00.111,27,4.618,1:58.104,27,2.800,2:08.998,27,3.186,1:54.360,27,4.222,1:55.453
2,3,5.542,2:01.542,3,9.191,2:01.246,7,1 LAP,3:25.616,7,1 LAP,1:53.759,7,1 LAP,1:54.332
3,19,6.312,2:02.312,77,13.316,2:02.893,3,8.006,2:09.631,3,9.318,1:55.286,3,10.341,1:55.440
4,8,7.445,2:03.445,19,PIT,2:05.596,77,8.623,2:06.123,77,10.513,1:55.864,77,11.745,1:55.649
5,77,8.020,2:04.020,8,15.131,2:05.283,8,9.359,2:05.044,11,11.240,1:55.375,11,12.369,1:55.546
6,55,9.072,2:05.072,11,16.354,2:04.605,11,9.839,2:04.301,8,12.399,1:57.014,8,14.395,1:56.413
7,11,9.346,2:05.346,30,17.950,2:05.771,30,10.923,2:03.789,30,13.592,1:56.643,30,15.717,1:56.542
8,30,9.776,2:05.776,20,18.613,2:06.106,20,11.632,2:03.835,20,14.246,1:56.588,20,16.636,1:56.807
9,20,10.104,2:06.104,21,21.588,2:08.524,21,12.427,2:01.655,21,15.150,1:56.697,21,17.391,1:56.658
10,21,10.661,2:06.661,14,22.582,2:09.105,14,14.615,2:02.849,14,17.348,1:56.707,14,19.797,1:56.866
11,14,11.074,2:07.074,31,23.817,2:10.034,31,16.252,2:03.251,44,19.834,1:55.388,44,20.587,1:55.170
12,31,11.380,2:07.380,44,24.552,2:09.953,44,18.420,2:04.684,31,20.242,1:57.964,31,22.771,1:56.946
13,26,11.841,2:07.841,26,26.116,2:11.872,19,20.051,2:16.556,19,21.651,1:55.574,19,23.369,1:56.135
14,44,12.196,2:08.196,9,32.410,2:15.255,26,20.373,2:05.073,26,23.411,1:57.012,26,25.695,1:56.701
15,33,PIT,2:09.574,5,43.966,2:20.875,5,30.029,1:56.879,5,30.711,1:54.656,5,30.831,1:54.537
16,9,14.752,2:10.752,33,46.822,2:30.845,33,33.135,1:57.129,33,34.065,1:54.904,33,34.620,1:54.972
17,12,PIT,2:15.622,12,51.311,2:29.286,12,40.983,2:00.488,12,44.424,1:57.415,12,47.583,1:57.576
18,5,PIT,2:16.688,,,,9,PIT,2:36.352,,,,,,
19,22,PIT,2:21.859,,,,,,,,,,,,
20,7,PIT,2:45.732,,,,,,,,,,,,
21,NO,GAP,TIME,NO,GAP,TIME,NO GAP,,TIME,NO,GAP,TIME,NO,GAPTIME,
22,6,,2:16.354,6,,2:47.178,6,,2:55.607,6,PIT,3:02.739,6,19:20.189,
23,27,PIT,2:20.286,3,0.836,2:34.649,3 1.298,,2:56.069,3,PIT,3:02.307,3,0.717 19:20.040,
24,7,PIT,2:20.818,27,1.699,2:40.723,27 1.989,,2:55.897,27,PIT,3:02.791,27,1.298 19:19.446,
25,3,13.365,2:19.378,7,1 LAP,2:39.653,7 1 LAP,,2:55.330,14,PIT,3:01.518,14,1.458 19:17.758,
26,77,15.647,2:20.256,77,PIT,2:35.454,14 5.110,,2:55.560,44,PIT,3:02.605,44,2.340 19:16.450,
27,11,PIT,2:23.131,14,5.157,2:26.603,44 6.213,,2:55.453,19,PIT,3:02.101,19,2.897 19:15.860,
28,8,PIT,2:24.466,21,PIT,2:29.951,19 7.864,,2:55.833,11,PIT,3:03.030,11,2.981 19:14.576,
29,30,PIT,2:23.811,44,6.367,2:26.000,11 8.303,,2:55.984,26,PIT,3:03.943,26,3.451 19:13.018,
30,21,23.193,2:22.156,19,7.638,2:25.392,26 9.418,,2:55.383,30,PIT,3:04.370,30,3.913 19:11.853,
31,14,25.732,2:22.289,11,7.926,2:35.958,30 10.618,,2:55.511,8,PIT,3:04.657,8,4.414 19:10.508,
32,44,27.545,2:23.312,26,9.642,2:22.353,8 12.177,,2:55.997,5,PIT,3:04.611,5,4.839 19:09.160,
33,19,29.424,2:22.409,30,10.714,2:34.718,5 13.996,,2:56.470,77,PIT,3:05.824,77,4.921 19:07.366,
34,31,PIT,2:26.359,8,11.787,2:36.458,77 14.659,,3:06.343,21,PIT,3:07.339,21,5.226 19:05.519,
35,26,34.467,2:25.126,5,13.133,2:19.847,21 15.296,,3:04.937,33,PIT,3:07.129,33,5.666 19:04.667,
36,5,40.464,2:25.987,33,25.639,2:26.733,33 16.798,,2:46.766,31,PIT,3:08.401,31,5.945 19:02.210,
37,33,46.084,2:27.818,31,26.564,2:40.966,31 18.262,,2:47.305,12,PIT,3:09.123,12,6.244 19:00.457,
38,12,62.997,2:31.768,12,27.690,2:11.871,12 19.592,,2:47.509,7,PIT,2:24.599,7,6.477 18:03.424,
39,,,,,,,7121.382,,1:58.085,,,,,,
40,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
41,6,,1:51.746,6,,1:53.894,6,,1:53.630,6,,1:54.467,6,,1:54.191
42,3,1.432,1:52.461,3,1.182,1:53.644,3,1.361,1:53.809,3,1.084,1:54.190,3,1.296,1:54.403
43,27,3.428,1:53.876,27,3.836,1:54.302,27,4.779,1:54.573,27,5.127,1:54.815,27,5.863,1:54.927
44,14,4.480,1:54.768,44,4.676,1:53.759,44,5.653,1:54.607,44,6.518,1:55.332,44,7.471,1:55.144
45,44,4.811,1:54.217,14,6.177,1:55.591,14,7.862,1:55.315,14,8.567,1:55.172,14,9.745,1:55.369
46,19,5.753,1:54.602,19,7.216,1:55.357,19,8.719,1:55.133,19,9.512,1:55.260,19,10.779,1:55.458
47,26,6.654,1:54.949,11,8.255,1:55.048,11,9.782,1:55.157,11,10.379,1:55.064,11,11.461,1:55.273
