,NO,GAP,TIME,NO.1,GAP.1,TIME.1,NO.2,GAP.2,TIME.2,NO.3,GAP.3,TIME.3,NO.4,GAP.4,TIME.4
0,5,,1:34.380,5,,2:16.819,5,,2:11.513,5,,2:10.155,5,,2:07.597
1,7,2.431,1:36.811,7,0.932,2:15.320,7,1.539,2:12.120,7,1.087,2:09.703,7,0.720,2:07.230
2,77,4.314,1:38.694,77,2.258,2:14.763,77,3.083,2:12.338,77,2.507,2:09.579,77,1.277,2:06.367
3,33,6.775,1:41.155,33,3.835,2:13.879,33,4.548,2:12.226,33,3.426,2:09.033,33,1.843,2:06.014
4,44,8.234,1:42.614,44,5.790,2:14.375,44,6.713,2:12.436,44,5.746,2:09.188,44,2.076,2:03.927
5,55,9.770,1:44.150,55,6.793,2:13.842,55,8.275,2:12.995,55,7.782,2:09.662,55,2.769,2:02.584
6,14,11.768,1:46.148,14,8.061,2:13.112,14,9.102,2:12.554,14,8.927,2:09.980,14,2.845,2:01.515
7,11,12.619,1:46.999,11,8.626,2:12.826,11,10.020,2:12.907,11,10.006,2:10.141,11,3.332,2:00.923
8,2,14.501,1:48.881,2,10.664,2:12.982,2,10.990,2:11.839,2,10.896,2:10.061,2,3.683,2:00.384
9,31,15.387,1:49.767,31,11.341,2:12.773,31,11.820,2:11.992,31,11.537,2:09.872,31,4.113,2:00.173
10,30,16.656,1:51.036,30,12.557,2:12.720,30,13.009,2:11.965,30,13.011,2:10.157,30,4.606,1:59.192
11,27,17.742,1:52.122,27,13.565,2:12.642,27,13.999,2:11.947,27,14.012,2:10.168,27,5.058,1:58.643
12,20,18.533,1:52.913,20,14.252,2:12.538,20,14.841,2:12.102,20,14.861,2:10.175,20,5.543,1:58.279
13,26,20.227,1:54.607,26,15.163,2:11.755,26,15.739,2:12.089,26,15.817,2:10.233,26,5.976,1:57.756
14,18,20.906,1:55.286,18,16.213,2:12.126,18,16.516,2:11.816,18,16.685,2:10.324,18,6.482,1:57.394
15,8,21.879,1:56.259,8,17.296,2:12.236,8,18.269,2:12.486,8,17.959,2:09.845,8,6.600,1:56.238
16,9,PIT,1:56.492,94,18.865,2:12.957,94,PIT,2:10.986,40,19.170,2:09.777,40,7.207,1:55.634
17,94,22.727,1:57.107,40,19.764,2:12.485,40,19.548,2:11.297,9,20.738,2:09.611,9,7.587,1:54.446
18,40,24.098,1:58.478,9,22.093,2:16.800,9,21.282,2:10.702,94,21.554,2:13.371,94,7.989,1:54.032
19,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
20,5,,1:23.137,5,,1:22.661,5,,1:22.512,5,,1:22.457,5,,1:22.255
21,7,1.290,1:23.707,7,1.886,1:23.257,7,2.467,1:23.093,7,2.760,1:22.750,7,2.961,1:22.456
22,77,2.624,1:24.484,77,3.735,1:23.772,77,4.847,1:23.624,77,5.789,1:23.399,77,6.859,1:23.325
23,33,3.599,1:24.893,33,4.963,1:24.025,33,6.151,1:23.700,33,7.270,1:23.576,33,8.250,1:23.235
24,44,4.551,1:25.612,44,6.539,1:24.649,44,7.989,1:23.962,44,9.409,1:23.877,44,10.649,1:23.495
25,55,5.842,1:26.210,55,8.287,1:25.106,55,10.781,1:25.006,55,13.182,1:24.858,55,15.440,1:24.513
26,14,6.663,1:26.955,14,9.653,1:25.651,14,12.586,1:25.445,14,15.104,1:24.975,14,17.622,1:24.773
27,11,7.368,1:27.173,11,10.545,1:25.838,11,13.632,1:25.599,11,16.284,1:25.109,11,18.766,1:24.737
28,2,8.141,1:27.595,2,11.571,1:26.091,2,14.582,1:25.523,2,17.201,1:25.076,2,19.727,1:24.781
29,31,8.797,1:27.821,31,12.536,1:26.400,31,15.787,1:25.763,31,18.442,1:25.112,31,20.996,1:24.809
30,30,9.457,1:27.988,30,13.107,1:26.311,30,16.377,1:25.782,30,19.268,1:25.348,30,21.905,1:24.892
31,27,9.839,1:27.918,27,13.578,1:26.400,27,17.083,1:26.017,27,20.066,1:25.440,27,22.659,1:24.848
32,20,10.572,1:28.166,20,14.595,1:26.684,20,18.305,1:26.222,20,21.847,1:25.999,20,25.043,1:25.451
33,26,11.313,1:28.474,26,15.447,1:26.795,26,19.233,1:26.298,26,22.782,1:26.006,26,26.067,1:25.540
34,18,11.860,1:28.515,18,16.008,1:26.809,18,19.847,1:26.351,18,23.659,1:26.269,18,26.897,1:25.493
35,8,12.642,1:29.179,8,16.769,1:26.788,8,20.656,1:26.399,8,24.353,1:26.154,8,27.970,1:25.872
36,40,13.470,1:29.400,40,17.982,1:27.173,40,22.370,1:26.900,40,26.413,1:26.500,40,30.132,1:25.974
37,9,13.796,1:29.346,94,18.966,1:27.556,94,23.377,1:26.923,94,27.595,1:26.675,94,31.711,1:26.371
38,94,14.071,1:29.219,9,19.788,1:28.653,9,24.284,1:27.008,9,28.386,1:26.559,9,32.549,1:26.418
39,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
40,5,,1:22.764,5,,1:22.626,5,,1:22.798,5,,1:23.081,5,,1:22.844
41,7,2.777,1:22.580,7,3.318,1:23.167,7,3.430,1:22.910,7,3.197,1:22.848,7,2.994,1:22.641
42,77,7.635,1:23.540,77,8.478,1:23.469,77,8.758,1:23.078,77,9.136,1:23.459,77,9.298,1:23.006
43,33,9.082,1:23.596,33,9.905,1:23.449,33,10.588,1:23.481,33,10.738,1:23.231,33,11.031,1:23.137
44,44,11.291,1:23.406,44,12.126,1:23.461,44,12.397,1:23.069,44,12.564,1:23.248,44,12.923,1:23.203
45,55,16.669,1:23.993,55,18.215,1:24.172,55,19.684,1:24.267,55,20.966,1:24.363,55,22.291,1:24.169
46,14,19.723,1:24.865,14,22.124,1:25.027,14,23.821,1:24.495,14,25.040,1:24.300,14,26.220,1:24.024
47,11,20.830,1:24.828,11,23.246,1:25.042,11,25.255,1:24.807,11,26.632,1:24.458,11,28.048,1:24.260
48,2,21.807,1:24.844,2,24.255,1:25.074,2,26.402,1:24.945,2,27.923,1:24.602,2,29.531,1:24.452
49,31,23.419,1:25.187,31,25.738,1:24.945,31,27.932,1:24.992,31,29.931,1:25.080,31,31.717,1:24.630
50,30,24.308,1:25.167,30,26.794,1:25.112,30,29.137,1:25.141,30,31.056,1:25.000,30,33.304,1:25.092
51,27,25.123,1:25.228,27,28.995,1:26.498,27,31.296,1:25.099,27,33.493,1:25.278,27,35.710,1:25.061
52,20,27.731,1:25.452,20,30.871,1:25.766,20,33.622,1:25.549,20,36.402,1:25.861,20,38.998,1:25.440
53,26,28.712,1:25.409,26,31.838,1:25.752,26,34.748,1:25.708,26,37.294,1:25.627,26,40.043,1:25.593
54,18,29.734,1:25.601,18,33.016,1:25.908,18,36.097,1:25.879,18,38.616,1:25.600,18,41.269,1:25.497
55,8,30.754,1:25.548,8,33.939,1:25.811,8,37.861,1:26.720,8,40.371,1:25.591,8,43.018,1:25.491
56,40,33.003,1:25.635,40,36.153,1:25.776,40,39.332,1:25.977,40,42.237,1:25.986,40,45.124,1:25.731
57,94,34.984,1:26.037,94,38.732,1:26.374,94,42.241,1:26.307,94,45.298,1:26.138,94,48.145,1:25.691
58,9,35.945,1:26.160,9,39.557,1:26.238,9,43.191,1:26.432,9,46.253,1:26.143,9,49.430,1:26.021
59,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
60,5,,1:22.843,5,,1:22.749,5,,1:22.642,5,,1:22.621,5,,1:22.676
61,7,2.895,1:22.744,7,2.919,1:22.773,7,2.914,1:22.637,7,2.880,1:22.587,7,2.668,1:22.464
62,77,9.253,1:22.798,77,9.162,1:22.658,77,9.112,1:22.592,77,9.238,1:22.747,77,9.242,1:22.680
63,33,11.204,1:23.016,33,11.334,1:22.879,33,11.437,1:22.745,33,11.870,1:23.054,33,11.827,1:22.633
64,44,12.998,1:22.918,44,13.203,1:22.954,44,13.565,1:23.004,44,13.850,1:22.906,44,13.878,1:22.704
65,55,23.577,1:24.129,55,25.141,1:24.313,55,26.304,1:23.805,55,27.534,1:23.851,55,28.659,1:23.801
66,14,26.936,1:23.559,14,27.505,1:23.318,14,28.657,1:23.794,14,29.671,1:23.635,14,30.680,1:23.685
67,11,29.006,1:23.801,11,29.982,1:23.725,11,31.195,1:23.855,11,32.480,1:23.906,11,33.755,1:23.951
68,2,30.649,1:23.961,2,31.865,1:23.965,2,33.081,1:23.858,2,34.472,1:24.012,2,35.729,1:23.933
69,31,33.207,1:24.333,31,34.424,1:23.966,31,35.856,1:24.074,31,37.307,1:24.072,31,38.659,1:24.028
70,30,34.947,1:24.486,30,36.507,1:24.309,30,38.636,1:24.771,27,39.951,1:23.319,27,40.686,1:23.411
71,27,36.670,1:23.803,27,37.845,1:23.924,27,39.253,1:24.050,30,41.620,1:25.605,30,43.488,1:24.544
72,20,40.847,1:24.692,20,42.876,1:24.778,20,44.672,1:24.438,20,46.694,1:24.643,20,48.725,1:24.707
73,26,42.507,1:25.307,26,44.677,1:24.919,26,46.768,1:24.733,26,48.677,1:24.530,26,50.611,1:24.610
74,18,43.797,1:25.371,18,46.124,1:25.076,18,48.237,1:24.755,18,50.219,1:24.603,18,52.420,1:24.877
75,8,45.453,1:25.278,8,47.906,1:25.202,8,50.065,1:24.801,8,52.146,1:24.702,8,PIT,1:27.759
76,40,48.076,1:25.795,40,50.928,1:25.601,40,53.895,1:25.609,40,56.813,1:25.539,40,59.903,1:25.766
77,94,50.748,1:25.446,94,53.491,1:25.492,94,56.402,1:25.553,94,59.395,1:25.614,94,62.378,1:25.659
78,9,52.386,1:25.799,9,55.243,1:25.606,9,58.495,1:25.894,9,61.475,1:25.601,9,64.410,1:25.611
79,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
80,5,,1:23.086,5,,1:22.670,5,,1:22.804,5,,1:22.789,5,,1:22.597
81,7,2.297,1:22.715,7,2.111,1:22.484,7,2.233,1:22.926,7,1.912,1:22.468,7,1.874,1:22.559
82,77,8.786,1:22.630,77,8.893,1:22.777,77,8.743,1:22.654,77,8.746,1:22.792,77,8.749,1:22.600
83,33,11.546,1:22.805,33,11.504,1:22.628,33,11.284,1:22.584,33,11.140,1:22.645,33,11.128,1:22.585
84,44,13.726,1:22.934,44,13.478,1:22.422,44,13.299,1:22.625,44,13.103,1:22.593,44,13.028,1:22.522
85,55,29.218,1:23.645,55,30.549,1:24.001,55,31.302,1:23.557,55,31.968,1:23.455,55,32.987,1:23.616
86,14,31.132,1:23.538,14,32.124,1:23.662,14,32.944,1:23.624,14,33.608,1:23.453,14,34.563,1:23.552
87,11,34.197,1:23.528,11,35.289,1:23.762,11,36.167,1:23.682,11,36.679,1:23.301,11,37.610,1:23.528
88,2,36.424,1:23.781,2,37.678,1:23.924,2,38.633,1:23.759,2,39.263,1:23.419,2,40.408,1:23.742
89,31,39.301,1:23.728,31,40.832,1:24.201,31,41.860,1:23.832,31,42.944,1:23.873,31,43.992,1:23.645
90,27,40.945,1:23.345,27,42.030,1:23.755,27,43.023,1:23.797,27,43.838,1:23.604,27,44.834,1:23.593
91,30,44.753,1:24.351,30,46.667,1:24.584,30,48.234,1:24.371,30,49.915,1:24.470,30,51.406,1:24.088
92,20,50.113,1:24.474,20,52.645,1:25.202,20,54.335,1:24.494,20,55.894,1:24.348,20,57.506,1:24.209
93,26,51.764,1:24.239,26,53.759,1:24.665,26,55.638,1:24.683,26,57.254,1:24.405,26,59.224,1:24.567
94,18,54.050,1:24.716,18,56.346,1:24.966,18,58.146,1:24.604,18,59.464,1:24.107,18,61.266,1:24.399
95,40,62.016,1:25.199,40,64.460,1:25.114,40,66.926,1:25.270,40,69.221,1:25.084,40,71.822,1:25.198
96,94,64.700,1:25.408,94,67.449,1:25.419,94,69.966,1:25.321,94,72.558,1:25.381,94,75.284,1:25.323
97,9,66.609,1:25.285,9,69.135,1:25.196,9,71.846,1:25.515,9,74.346,1:25.289,9,76.828,1:25.079
98,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
99,5,,1:22.386,5,,1:22.550,5,,1:23.079,5,,1:23.447,5,,1:22.592
100,7,1.930,1:22.442,7,1.889,1:22.509,7,1.485,1:22.675,7,1.195,1:23.157,7,1.347,1:22.744
101,77,8.995,1:22.632,77,8.783,1:22.338,77,8.143,1:22.439,9,1 LAP,1:28.188,9,1 LAP,1:24.639
102,33,11.358,1:22.616,33,11.350,1:22.542,33,10.724,1:22.453,94,PIT,1:31.091,33,9.898,1:22.470
103,44,13.094,1:22.452,44,13.021,1:22.477,44,12.380,1:22.438,77,7.487,1:22.791,77,PIT,1:25.008
104,55,34.229,1:23.628,55,35.100,1:23.421,55,35.155,1:23.134,33,10.020,1:22.743,44,11.227,1:22.525
105,14,35.673,1:23.496,14,36.483,1:23.360,14,36.610,1:23.206,44,11.294,1:22.361,94,1 LAP,1:43.347
106,11,38.653,1:23.429,11,39.427,1:23.324,11,39.717,1:23.369,55,35.142,1:23.434,55,36.374,1:23.824
107,2,41.610,1:23.588,2,42.557,1:23.497,2,43.071,1:23.593,14,36.585,1:23.422,14,37.464,1:23.471
108,31,45.395,1:23.789,31,46.907,1:24.062,31,47.674,1:23.846,11,39.830,1:23.560,11,40.727,1:23.489
109,27,46.160,1:23.712,27,48.272,1:24.662,27,49.290,1:24.097,2,43.133,1:23.509,2,43.980,1:23.439
110,30,53.085,1:24.065,30,54.497,1:23.962,30,55.056,1:23.638,31,48.207,1:23.980,31,49.183,1:23.568
111,20,59.081,1:23.961,20,60.455,1:23.924,20,61.662,1:24.286,27,50.073,1:24.230,27,51.148,1:23.667
112,26,61.027,1:24.189,26,62.515,1:24.038,26,63.584,1:24.148,30,55.300,1:23.691,30,56.381,1:23.673
