,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,Unnamed: 6,DURATION,TOTAL TIME
0,2,S. VANDOORNE,McLaren Honda,1,15:08:55,1,,30.006,30.006
1,9,M. ERICSSON,Sauber F1 Team,1,15:08:58,1,,32.235,32.235
2,94,P. WEHRLEIN,Sauber F1 Team,2,15:11:28,1,,31.266,31.266
3,94,P. WEHRLEIN,Sauber F1 Team,20,15:43:16,2,,30.799,1:02.065
4,19,F. MASSA,Williams Martini Racing,21,15:44:10,1,,29.923000000000002,29.923
5,20,K. MAGNUSSEN,Haas F1 Team,21,15:44:30,1,,36.559,36.559
6,26,D. KVYAT,Scuderia Toro Rosso,21,15:44:36,1,,29.991,29.991
7,9,M. ERICSSON,Sauber F1 Team,21,15:44:59,2,,30.655,1:02.890
8,55,C. SAINZ,Scuderia Toro Rosso,24,15:49:33,1,,29.973000000000003,29.973
9,2,S. VANDOORNE,McLaren Honda,24,15:49:57,2,,35.998000000000005,1:06.004
10,31,E. OCON,Sahara Force India F1 Team,26,15:52:42,1,,30.253,30.253
11,18,L. STROLL,Williams Martini Racing,26,15:52:58,1,,29.791,29.791
12,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,27,15:53:23,1,,29.355999999999998,29.356
13,11,S. PEREZ,Sahara Force India F1 Team,27,15:54:17,1,,29.868000000000002,29.868
14,7,K. RAIKKONEN,Scuderia Ferrari,29,15:56:49,1,,30.151999999999997,30.152
15,33,M. VERSTAPPEN,Red Bull Racing,29,15:57:19,1,,29.566999999999997,29.567
16,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,30,15:58:36,1,,29.739,29.739
17,5,S. VETTEL,Scuderia Ferrari,34,16:04:56,1,,30.096999999999998,30.097
18,27,N. HULKENBERG,Renault Sport F1 Team,40,16:16:07,1,,30.28,30.280
19,19,F. MASSA,Williams Martini Racing,41,16:17:53,2,,29.92,59.843
