,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,Unnamed: 6,DURATION,TOTAL TIME
0,19,F. MASSA,Williams Martini Racing,8,14:17:31,1,,21.384,21.384
1,11,S. PEREZ,Sahara Force India F1 Team,9,14:18:56,1,,22.679,22.679
2,26,D. KVYAT,Scuderia Toro Rosso,9,14:19:03,1,,23.277,23.277
3,9,M. ERICSSON,Sauber F1 Team,9,14:19:07,1,,22.840,22.840
4,55,C. SAINZ,Scuderia Toro Rosso,10,14:20:24,1,,22.874,22.874
5,22,J. BUTTON,McLaren Honda,10,14:20:28,1,,22.280,22.280
6,27,N. HULKENBERG,Sahara Force India F1 Team,10,14:20:31,1,,22.176,22.176
7,20,K. MAGNUSSEN,Renault Sport F1 Team,10,14:20:34,1,,22.843,22.843
8,3,D. RICCIARDO,Red Bull Racing,11,14:21:44,1,,21.738,21.738
9,14,F. ALONSO,McLaren Honda,11,14:22:02,1,,21.795,21.795
10,30,J. PALMER,Renault Sport F1 Team,11,14:22:09,1,,23.283,23.283
11,94,P. WEHRLEIN,Manor Racing MRT,11,14:22:14,1,,24.554,24.554
12,33,M. VERSTAPPEN,Red Bull Racing,12,14:23:18,1,,22.369,22.369
13,7,K. RAIKKONEN,Scuderia Ferrari,12,14:23:25,1,,22.107,22.107
14,77,V. BOTTAS,Williams Martini Racing,12,14:23:27,1,,21.856,21.856
15,12,F. NASR,Sauber F1 Team,12,14:23:45,1,,22.976,22.976
16,5,S. VETTEL,Scuderia Ferrari,15,14:27:51,1,,21.643,21.643
17,8,R. GROSJEAN,Haas F1 Team,15,14:28:12,1,,23.187,23.187
18,21,E. GUTIERREZ,Haas F1 Team,16,14:29:51,1,,23.206,23.206
19,88,R. HARYANTO,Manor Racing MRT,22,14:39:41,1,,28.753,28.753
20,9,M. ERICSSON,Sauber F1 Team,24,14:42:39,2,,23.122,45.962
21,19,F. MASSA,Williams Martini Racing,25,14:43:57,2,,22.568,43.952
22,26,D. KVYAT,Scuderia Toro Rosso,25,14:44:06,2,,22.234,45.511
23,3,D. RICCIARDO,Red Bull Racing,28,14:47:45,2,,22.104,43.842
24,5,S. VETTEL,Scuderia Ferrari,29,14:49:18,2,,22.617,44.260
25,8,R. GROSJEAN,Haas F1 Team,29,14:50:06,2,,22.844,46.031
26,21,E. GUTIERREZ,Haas F1 Team,30,14:51:38,2,,22.430,45.636
27,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,,DURATION,TOTAL TIME
28,20,K. MAGNUSSEN,Renault Sport F1 Team,30,14:51:49,2,,23.165,46.008
29,30,J. PALMER,Renault Sport F1 Team,33,14:56:34,2,,22.397,45.680
30,94,P. WEHRLEIN,Manor Racing MRT,33,14:56:46,2,,24.387,48.941
31,33,M. VERSTAPPEN,Red Bull Racing,34,14:56:52,2,,22.348,44.717
32,7,K. RAIKKONEN,Scuderia Ferrari,35,14:58:25,2,,22.169,44.276
33,11,S. PEREZ,Sahara Force India F1 Team,35,14:59:10,2,,21.918,44.597
34,22,J. BUTTON,McLaren Honda,36,15:00:49,2,,22.590,44.870
35,12,F. NASR,Sauber F1 Team,36,15:01:17,2,,23.090,46.066
36,5,S. VETTEL,Scuderia Ferrari,37,15:01:30,3,,21.603,1:05.863
37,8,R. GROSJEAN,Haas F1 Team,37,15:02:52,3,,34.832,1:20.863
38,55,C. SAINZ,Scuderia Toro Rosso,38,15:03:35,2,,22.937,45.811
39,77,V. BOTTAS,Williams Martini Racing,39,15:04:59,2,,22.443,44.299
40,14,F. ALONSO,McLaren Honda,39,15:05:28,2,,22.987,44.782
41,9,M. ERICSSON,Sauber F1 Team,40,15:07:25,3,,22.897,1:08.859
42,19,F. MASSA,Williams Martini Racing,41,15:08:28,3,,21.831,1:05.783
43,3,D. RICCIARDO,Red Bull Racing,43,15:10:31,3,,21.683,1:05.525
44,88,R. HARYANTO,Manor Racing MRT,48,15:20:28,2,,26.186,54.939
45,26,D. KVYAT,Scuderia Toro Rosso,51,15:23:51,3,,22.769,1:08.280
46,20,K. MAGNUSSEN,Renault Sport F1 Team,55,15:30:33,3,,22.122,1:08.130
47,3,D. RICCIARDO,Red Bull Racing,65,15:43:55,4,,23.133,1:28.658
