,NO,GAP,TIME,NO GAP,Unnamed: 4,TIME.1,NO.1,GAP.1,TIME.2,NO.2,GAP.2,TIME.3,NO.3,GAP.3,TIME.4
221,3,50.374,1:41.097,3,50.599,1:41.204,30,1 LAP,1:43.325,30,1 LAP,1:43.051,88,1 LAP,1:43.796
222,19,55.862,1:43.304,7,57.396,1:41.844,3,50.685,1:41.174,3,50.751,1:41.333,30,1 LAP,1:43.185
223,7,56.531,1:42.668,19,58.086,1:43.203,7,57.624,1:41.316,7,57.886,1:41.529,3,51.360,1:41.629
224,44,57.057,1:44.145,44,58.645,1:42.567,19,60.032,1:43.034,19,61.671,1:42.906,7,58.176,1:41.310
225,77,60.626,1:43.284,77,62.560,1:42.913,44,60.433,1:42.876,44,62.603,1:43.437,19,63.386,1:42.735
226,11,64.400,1:42.982,11,66.427,1:43.006,77,64.430,1:42.958,77,66.177,1:43.014,44,64.621,1:43.038
227,55,65.072,1:42.347,55,67.014,1:42.921,11,68.484,1:43.145,33,70.080,1:42.175,77,68.089,1:42.932
228,33,67.481,1:40.993,33,67.725,1:41.223,33,69.172,1:42.535,55,71.564,1:42.973,33,71.398,1:42.338
229,14,79.423,1:42.585,14,80.928,1:42.484,55,69.858,1:43.932,11,72.072,1:44.855,55,73.352,1:42.808
230,22,88.039,1:40.298,22,87.570,1:40.510,14,82.775,1:42.935,14,84.130,1:42.622,11,75.046,1:43.994
231,27,PIT,1:48.521,9,96.801,1:43.408,22,87.555,1:41.073,22,87.513,1:41.225,14,85.733,1:42.623
232,9,94.372,1:43.296,,,,9,99.239,1:43.526,,,,22,88.348,1:41.855
233,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
234,6,,1:42.119,6,,1:41.078,6,,1:40.814,6,,1:40.790,6,,1:40.751
235,21,1 LAP,1:41.540,21,1 LAP,1:41.895,21,1 LAP,1:41.464,21,1 LAP,1:41.463,21,1 LAP,1:41.779
236,9,1 LAP,1:44.148,27,1 LAP,1:41.319,27,1 LAP,1:41.023,27,1 LAP,1:41.160,27,1 LAP,1:41.225
237,27,1 LAP,1:40.802,9,1 LAP,1:43.912,9,1 LAP,1:43.730,9,1 LAP,1:43.625,9,1 LAP,1:43.667
238,20,1 LAP,1:42.555,20,1 LAP,1:42.792,20,1 LAP,1:42.865,20,1 LAP,1:42.849,20,1 LAP,1:42.666
239,94,1 LAP,1:41.726,94,1 LAP,1:41.844,94,1 LAP,1:42.088,94,1 LAP,1:42.412,94,1 LAP,1:43.036
240,8,1 LAP,1:41.072,8,1 LAP,1:41.684,8,1 LAP,1:41.965,8,1 LAP,1:42.418,8,1 LAP,1:43.350
241,12,1 LAP,1:43.734,5,35.075,1:41.688,5,36.172,1:41.911,5,36.725,1:41.343,5,37.873,1:41.899
242,5,34.465,1:42.017,12,1 LAP,1:45.622,26,41.598,1:42.277,26,43.657,1:42.849,26,45.278,1:42.372
243,26,39.162,1:42.032,26,40.135,1:42.051,12,1 LAP,1:45.570,12,1 LAP,1:45.323,12,1 LAP,1:44.721
244,88,1 LAP,1:43.369,88,1 LAP,1:43.475,3,51.870,1:41.187,3,52.183,1:41.103,3,52.447,1:41.015
245,3,50.811,1:41.570,3,51.497,1:41.764,88,1 LAP,1:45.090,88,1 LAP,1:43.426,88,1 LAP,1:43.343
246,30,1 LAP,1:44.247,30,1 LAP,1:43.315,30,1 LAP,1:43.290,30,1 LAP,1:43.587,30,1 LAP,1:43.454
247,7,57.679,1:41.622,7,58.462,1:41.861,7,59.689,1:42.041,7,61.715,1:42.816,7,63.968,1:43.004
248,19,63.836,1:42.569,19,65.545,1:42.787,19,67.557,1:42.826,19,69.968,1:43.201,19,72.911,1:43.694
249,44,65.139,1:42.637,44,67.052,1:42.991,44,69.561,1:43.323,44,72.989,1:44.218,44,76.236,1:43.998
250,77,68.998,1:43.028,77,71.160,1:43.240,77,73.511,1:43.165,33,76.406,1:42.566,33,78.111,1:42.456
251,33,71.471,1:42.192,33,72.941,1:42.548,33,74.630,1:42.503,77,78.419,1:45.698,77,81.957,1:44.289
252,55,73.818,1:42.585,55,74.916,1:42.176,55,76.272,1:42.170,55,78.796,1:43.314,55,82.459,1:44.414
253,11,76.799,1:43.872,11,79.760,1:44.039,11,83.571,1:44.625,11,87.512,1:44.731,11,91.172,1:44.411
254,14,86.692,1:43.078,14,88.394,1:42.780,14,90.538,1:42.958,14,92.996,1:43.248,14,95.306,1:43.061
255,22,88.030,1:41.801,22,89.763,1:42.811,22,92.158,1:43.209,22,95.157,1:43.789,22,98.683,1:44.277
