,NO,GAP,TIME,NO GAP,Unnamed: 4,TIME.1,NO.1,GAP.1,TIME.2,NO.2,GAP.2,TIME.3,NO.3,GAP.3,TIME.4
51,94,12.364,1:45.082,11,13.524,1:42.896,5,14.314,1:42.727,14,16.181,1:44.968,14,18.717,1:44.975
52,11,12.649,1:44.557,5,14.054,1:42.741,11,15.143,1:44.086,11,16.756,1:43.988,11,19.002,1:44.685
53,21,13.145,1:45.352,77,16.088,1:44.346,77,17.274,1:43.653,77,18.284,1:43.385,77,19.515,1:43.670
54,5,13.334,1:44.426,94,16.736,1:46.393,22,19.622,1:44.732,22,21.310,1:44.063,55,23.174,1:43.734
55,77,13.763,1:45.245,22,17.357,1:44.862,94,20.166,1:45.897,55,21.879,1:43.915,22,24.903,1:46.032
56,22,14.516,1:44.925,21,18.042,1:46.918,55,20.339,1:44.520,3,23.607,1:45.085,3,25.035,1:43.867
57,55,14.906,1:44.227,55,18.286,1:45.401,3,20.897,1:44.537,44,24.422,1:45.325,44,25.772,1:43.789
58,3,15.891,1:43.416,3,18.827,1:44.957,44,21.472,1:44.725,94,25.396,1:47.605,27,27.430,1:44.259
59,27,16.627,1:44.284,44,19.214,1:43.772,27,22.441,1:45.245,27,25.610,1:45.544,33,29.430,1:44.961
60,44,17.463,1:43.612,27,19.663,1:45.057,21,22.928,1:47.353,21,26.650,1:46.097,21,31.043,1:46.832
61,7,18.726,1:44.389,7,20.625,1:43.920,7,23.259,1:45.101,33,26.908,1:45.552,9,33.345,1:45.136
62,30,19.559,1:47.688,33,22.007,1:44.118,33,23.731,1:44.191,9,30.648,1:45.234,20,34.751,1:45.199
63,33,19.910,1:44.589,30,24.301,1:46.763,9,27.789,1:45.233,7,PIT,1:50.090,94,PIT,1:52.394
64,88,20.464,1:46.977,88,24.981,1:46.538,30,28.307,1:46.473,20,31.991,1:45.421,88,37.880,1:46.257
65,9,21.202,1:46.473,9,25.023,1:45.842,20,28.945,1:46.036,88,34.062,1:46.271,8,38.116,1:46.178
66,20,21.806,1:45.894,20,25.376,1:45.591,88,30.166,1:47.652,8,34.377,1:46.191,12,46.901,1:45.543
67,8,22.649,1:46.007,8,26.156,1:45.528,8,30.561,1:46.872,30,36.143,1:50.211,30,PIT,1:53.259
68,12,34.568,1:45.394,12,37.974,1:45.427,12,40.961,1:45.454,12,43.797,1:45.211,7,49.454,2:00.919
69,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
70,6,,1:42.478,6,,1:42.271,6,,1:42.620,6,,1:42.785,6,PIT,1:48.389
71,26,10.066,1:43.597,26,11.374,1:43.579,26,12.407,1:43.653,26,PIT,1:48.189,77,21.345,1:43.934
72,19,14.757,1:44.312,19,17.084,1:44.598,19,19.593,1:45.129,77,25.800,1:43.612,44,26.934,1:44.120
73,5,16.656,1:43.164,11,21.852,1:43.736,77,24.973,1:43.932,19,PIT,1:49.515,26,30.262,2:00.840
74,11,20.387,1:43.863,5,PIT,1:48.177,55,27.886,1:44.080,44,31.203,1:43.679,22,31.329,1:44.696
75,77,21.909,1:44.872,77,23.661,1:44.023,11,PIT,1:48.694,55,PIT,1:48.737,5,31.966,1:43.570
76,55,24.860,1:44.164,55,26.426,1:43.837,3,29.389,1:44.012,3,PIT,1:48.072,33,PIT,1:49.979
77,3,26.366,1:43.809,3,27.997,1:43.902,44,30.309,1:43.835,22,35.022,1:44.449,11,38.477,1:42.548
78,14,PIT,1:50.981,44,29.094,1:43.961,22,33.358,1:44.716,33,35.858,1:44.491,19,39.100,2:01.166
79,44,27.404,1:44.110,22,31.262,1:44.626,33,34.152,1:44.327,5,36.785,1:40.884,9,41.331,1:45.869
80,22,28.907,1:46.482,33,32.445,1:43.853,5,38.686,1:58.744,9,43.851,1:44.811,14,45.873,1:44.683
81,27,29.550,1:44.598,21,37.114,1:45.452,21,39.887,1:45.393,11,44.318,1:59.177,55,46.194,2:00.745
82,33,30.863,1:43.911,27,PIT,1:50.493,9,41.825,1:45.546,21,PIT,1:49.506,7,46.913,1:44.726
83,21,33.933,1:45.368,9,38.899,1:45.226,20,44.899,1:45.884,20,48.180,1:46.066,3,46.967,2:00.680
84,9,35.944,1:45.077,20,41.635,1:45.673,8,47.137,1:45.278,14,49.579,1:44.769,27,50.212,1:43.160
85,20,38.233,1:45.960,8,44.479,1:45.330,14,47.595,1:43.244,8,50.361,1:46.009,20,PIT,1:52.240
86,8,41.420,1:45.782,14,46.971,2:02.022,7,49.379,1:42.836,7,50.576,1:43.982,8,PIT,1:51.924
87,88,43.064,1:47.662,88,47.979,1:47.186,27,55.817,2:00.665,27,55.441,1:42.409,94,57.357,1:45.205
88,7,49.064,1:42.088,7,49.163,1:42.370,12,56.673,1:45.679,12,59.927,1:46.039,21,59.580,2:01.361
