,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,Unnamed: 6,DURATION,TOTAL TIME
0,12,F. NASR,Sauber F1 Team,9,14:15:49,1,,23.987,23.987
1,5,S. VETTEL,Scuderia Ferrari,11,14:17:58,1,,22.597,22.597
2,7,K. RAIKKONEN,Scuderia Ferrari,11,14:18:14,1,,22.820,22.820
3,94,P. WEHRLEIN,Manor Racing MRT,11,14:18:36,1,,24.784,24.784
4,55,C. SAINZ,Scuderia Toro Rosso,13,14:21:10,1,,23.517,23.517
5,21,E. GUTIERREZ,Haas F1 Team,13,14:21:13,1,,23.412,23.412
6,9,M. ERICSSON,Sauber F1 Team,14,14:22:44,1,,22.957,22.957
7,88,R. HARYANTO,Manor Racing MRT,15,14:24:03,1,,29.732,29.732
8,14,F. ALONSO,McLaren Honda,17,14:26:24,1,,27.952,27.952
9,8,R. GROSJEAN,Haas F1 Team,17,14:26:26,1,,23.680,23.680
10,26,D. KVYAT,Scuderia Toro Rosso,17,14:26:28,1,,23.000,23.000
11,33,M. VERSTAPPEN,Red Bull Racing,20,14:29:59,1,,23.586,23.586
12,3,D. RICCIARDO,Red Bull Racing,21,14:31:21,1,,22.872,22.872
13,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,21,14:31:29,1,,22.466,22.466
14,27,N. HULKENBERG,Sahara Force India F1 Team,21,14:31:34,1,,22.876,22.876
15,19,F. MASSA,Williams Martini Racing,22,14:32:47,1,,22.925,22.925
16,77,V. BOTTAS,Williams Martini Racing,23,14:33:59,1,,22.184,22.184
17,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,24,14:35:00,1,,22.243,22.243
18,11,S. PEREZ,Sahara Force India F1 Team,30,14:43:33,1,,22.556,22.556
19,7,K. RAIKKONEN,Scuderia Ferrari,33,14:47:15,2,,23.263,46.083
20,12,F. NASR,Sauber F1 Team,35,14:51:16,2,,23.608,47.595
21,5,S. VETTEL,Scuderia Ferrari,37,14:51:55,2,,22.361,44.958
22,3,D. RICCIARDO,Red Bull Racing,38,14:53:47,2,,24.018,46.890
23,94,P. WEHRLEIN,Manor Racing MRT,38,14:54:55,2,,24.516,49.300
24,8,R. GROSJEAN,Haas F1 Team,39,14:55:43,2,,23.055,46.735
25,9,M. ERICSSON,Sauber F1 Team,39,14:56:10,2,,23.299,46.256
26,20,K. MAGNUSSEN,Renault Sport F1 Team,39,14:56:12,1,,23.162,23.162
27,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,,DURATION,TOTAL TIME
28,21,E. GUTIERREZ,Haas F1 Team,41,14:58:41,2,,23.928,47.340
29,26,D. KVYAT,Scuderia Toro Rosso,44,15:02:16,2,,22.627,45.627
30,88,R. HARYANTO,Manor Racing MRT,44,15:03:24,2,,25.069,54.801
31,33,M. VERSTAPPEN,Red Bull Racing,46,15:04:02,2,,22.909,46.495
32,11,S. PEREZ,Sahara Force India F1 Team,46,15:04:50,2,,24.757,47.313
33,8,R. GROSJEAN,Haas F1 Team,46,15:05:13,3,,32.114,1:18.849
34,55,C. SAINZ,Scuderia Toro Rosso,48,15:07:17,2,,24.445,47.962
35,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,51,15:10:35,2,,22.728,45.194
36,27,N. HULKENBERG,Sahara Force India F1 Team,51,15:11:06,2,,23.111,45.987
