,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,Unnamed: 6,DURATION,TOTAL TIME
0,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,1,17:07:00,1,,36.262,36.262
1,8,R. GROSJEAN,Haas F1 Team,3,17:09:40,1,,20.776,20.776
2,3,D. RICCIARDO,Red Bull Racing,5,17:13:04,1,,23.361,23.361
3,2,S. VANDOORNE,McLaren Honda,5,17:13:19,1,,21.423,21.423
4,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,12,17:25:22,1,,20.418,20.418
5,5,S. VETTEL,Scuderia Ferrari,12,17:25:26,1,,20.059,20.059
6,11,S. PEREZ,Sahara Force India F1 Team,12,17:25:35,1,,20.598,20.598
7,7,K. RAIKKONEN,Scuderia Ferrari,12,17:25:39,1,,23.237,23.237
8,19,F. MASSA,Williams Martini Racing,12,17:25:43,1,,21.453,21.453
9,31,E. OCON,Sahara Force India F1 Team,12,17:25:45,1,,20.493,20.493
10,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,11,17:25:58,2,,20.407,56.669
11,20,K. MAGNUSSEN,Haas F1 Team,12,17:26:11,1,,20.391,20.391
12,14,F. ALONSO,McLaren Honda,12,17:26:36,1,,21.217,21.217
13,55,C. SAINZ,Scuderia Toro Rosso,12,17:26:37,1,,21.040,21.040
14,9,M. ERICSSON,Sauber F1 Team,12,17:26:45,1,,23.906,23.906
15,94,P. WEHRLEIN,Sauber F1 Team,12,17:26:49,1,,31.122,31.122
16,18,L. STROLL,Williams Martini Racing,13,17:28:26,1,,22.625,22.625
17,27,N. HULKENBERG,Renault Sport F1 Team,13,17:28:32,1,,21.263,21.263
18,3,D. RICCIARDO,Red Bull Racing,13,17:29:01,2,,20.198,43.559
19,94,P. WEHRLEIN,Sauber F1 Team,13,17:29:45,2,,22.356,53.478
20,8,R. GROSJEAN,Haas F1 Team,14,17:31:36,2,,21.069,41.845
21,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,17,17:39:17,2,,15.234,35.652
22,5,S. VETTEL,Scuderia Ferrari,17,17:39:18,2,,15.174,35.233
23,11,S. PEREZ,Sahara Force India F1 Team,17,17:39:19,2,,15.278,35.876
24,19,F. MASSA,Williams Martini Racing,17,17:39:20,2,,15.033,36.486
25,31,E. OCON,Sahara Force India F1 Team,17,17:39:21,2,,15.061,35.554
26,7,K. RAIKKONEN,Scuderia Ferrari,17,17:39:22,2,,15.049,38.286
27,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,,DURATION,TOTAL TIME
