,NO,GAP,TIME,NO.1,GAP.1,TIME.1,NO.2,GAP.2,TIME.2,NO.3,GAP.3,TIME.3,NO.4,GAP.4,TIME.4
0,3,,1:53.669,3,,2:13.176,3,,2:07.408,3,,1:30.042,3,,1:30.264
1,33,0.913,1:54.582,33,0.922,2:13.185,33,0.645,2:07.131,33,1.236,1:30.633,33,1.428,1:30.456
2,55,1.996,1:55.665,55,1.694,2:12.874,55,1.362,2:07.076,55,2.569,1:31.249,55,3.295,1:30.990
3,5,3.315,1:56.984,5,2.540,2:12.401,5,1.875,2:06.743,5,3.234,1:31.401,5,4.026,1:31.056
4,7,4.492,1:58.161,7,3.797,2:12.481,7,2.221,2:05.832,7,3.897,1:31.718,7,4.830,1:31.197
5,77,5.298,1:58.967,77,4.429,2:12.307,77,2.626,2:05.605,77,4.912,1:32.328,77,6.371,1:31.723
6,11,6.362,2:00.031,11,4.947,2:11.761,11,3.255,2:05.716,11,5.896,1:32.683,11,7.734,1:32.102
7,22,8.874,2:02.543,22,6.703,2:11.005,22,3.544,2:04.249,22,6.519,1:33.017,22,8.561,1:32.306
8,14,9.368,2:03.037,14,7.167,2:10.975,14,4.022,2:04.263,14,7.283,1:33.303,14,9.539,1:32.520
9,8,9.880,2:03.549,8,8.142,2:11.438,8,4.447,2:03.713,8,7.924,1:33.519,8,10.141,1:32.481
10,26,11.025,2:04.694,26,9.138,2:11.289,26,4.983,2:03.253,26,8.416,1:33.475,26,10.839,1:32.687
11,27,11.612,2:05.281,27,9.623,2:11.187,27,5.506,2:03.291,27,8.870,1:33.406,27,11.506,1:32.900
12,20,13.033,2:06.702,20,10.162,2:10.305,20,5.936,2:03.182,20,9.314,1:33.420,20,12.283,1:33.233
13,21,13.566,2:07.235,21,10.980,2:10.590,21,6.401,2:02.829,21,9.957,1:33.598,21,13.081,1:33.388
14,30,14.686,2:08.355,30,12.083,2:10.573,30,6.804,2:02.129,30,10.417,1:33.655,30,13.510,1:33.357
15,12,15.618,2:09.287,12,13.099,2:10.657,12,7.597,2:01.906,12,11.001,1:33.446,12,14.168,1:33.431
16,9,16.631,2:10.300,9,14.506,2:11.051,9,8.226,2:01.128,9,11.487,1:33.303,19,14.473,1:32.841
17,94,17.755,2:11.424,94,15.367,2:10.788,94,8.890,2:00.931,19,11.896,1:32.389,9,15.191,1:33.968
18,19,18.703,2:12.372,19,16.286,2:10.759,19,9.549,2:00.671,94,12.728,1:33.880,94,16.042,1:33.578
19,88,19.439,2:13.108,88,16.747,2:10.484,88,11.343,2:02.004,88,14.405,1:33.104,88,17.617,1:33.476
20,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
21,3,,1:30.506,3,,1:30.577,3,,1:30.596,3,,1:30.728,3,,1:31.138
22,33,1.153,1:30.231,33,1.347,1:30.771,33,1.364,1:30.613,33,1.518,1:30.882,33,1.513,1:31.133
23,55,3.775,1:30.986,55,5.530,1:32.332,5,6.141,1:30.689,5,5.986,1:30.573,5,5.188,1:30.340
24,5,4.445,1:30.925,5,6.048,1:32.180,55,7.579,1:32.645,55,9.109,1:32.258,7,9.543,1:30.925
25,7,5.301,1:30.977,7,6.640,1:31.916,7,8.242,1:32.198,7,9.756,1:32.242,77,12.029,1:32.190
26,77,7.168,1:31.303,77,8.212,1:31.621,77,9.399,1:31.783,77,10.977,1:32.306,55,PIT,1:36.401
27,11,9.139,1:31.911,11,10.643,1:32.081,11,11.933,1:31.886,22,14.325,1:32.143,14,16.655,1:32.167
28,22,9.896,1:31.841,22,11.441,1:32.122,22,12.910,1:32.065,14,15.626,1:32.244,8,17.489,1:32.144
29,14,11.090,1:32.057,14,12.476,1:31.963,14,14.110,1:32.230,8,16.483,1:32.325,22,PIT,1:35.155
30,8,11.807,1:32.172,8,13.203,1:31.973,8,14.886,1:32.279,11,PIT,1:35.812,27,PIT,1:35.507
