,NO,GAP,TIME,NO.1,GAP.1,TIME.1,NO.2,GAP.2,TIME.2,NO.3,GAP.3,TIME.3,NO.4,GAP.4,TIME.4
0,44,,1:48.108,44,,1:46.846,44,,1:46.339,44,,1:46.292,44,,1:46.895
1,6,0.632,1:48.740,6,0.768,1:46.982,6,0.823,1:46.394,6,1.050,1:46.519,6,0.940,1:46.785
2,7,1.420,1:49.528,7,1.776,1:47.202,7,1.916,1:46.479,7,2.282,1:46.658,7,2.124,1:46.737
3,3,2.376,1:50.484,3,2.609,1:47.079,3,2.855,1:46.585,3,3.274,1:46.711,3,2.994,1:46.615
4,5,2.967,1:51.075,5,3.296,1:47.175,5,3.474,1:46.517,5,4.104,1:46.922,5,3.879,1:46.670
5,11,5.193,1:53.301,27,5.774,1:47.123,27,6.232,1:46.797,27,6.889,1:46.949,27,7.128,1:47.134
6,27,5.497,1:53.605,11,6.678,1:48.331,11,7.140,1:46.801,11,7.951,1:47.103,11,8.283,1:47.227
7,14,6.374,1:54.482,14,8.149,1:48.621,14,9.943,1:48.133,14,11.656,1:48.005,14,12.974,1:48.213
8,19,7.023,1:55.131,19,9.228,1:49.051,77,11.338,1:47.886,77,12.883,1:47.837,19,15.569,1:48.609
9,77,7.471,1:55.579,77,9.791,1:49.166,19,12.133,1:49.244,19,13.855,1:48.014,77,16.930,1:50.942
10,30,8.008,1:56.116,30,10.470,1:49.308,30,12.905,1:48.774,30,15.166,1:48.553,30,17.607,1:49.336
11,22,8.824,1:56.932,22,11.581,1:49.603,22,14.204,1:48.962,22,16.665,1:48.753,22,18.849,1:49.079
12,26,9.366,1:57.474,26,12.320,1:49.800,26,15.232,1:49.251,26,17.908,1:48.968,33,19.349,1:47.898
13,12,9.955,1:58.063,12,13.265,1:50.156,12,16.137,1:49.211,33,18.346,1:48.129,26,20.900,1:49.887
14,8,10.373,1:58.481,8,13.721,1:50.194,33,16.509,1:48.596,12,19.600,1:49.755,21,22.342,1:48.980
15,21,10.801,1:58.909,33,14.252,1:48.365,21,17.474,1:49.274,21,20.257,1:49.075,12,23.388,1:50.683
16,31,11.900,2:00.008,21,14.539,1:50.584,8,18.416,1:51.034,8,21.075,1:48.951,8,23.966,1:49.786
17,9,12.407,2:00.515,31,15.878,1:50.824,31,19.398,1:49.859,31,22.350,1:49.244,31,24.832,1:49.377
18,33,12.733,2:00.841,55,17.473,1:50.753,55,20.091,1:48.957,55,22.986,1:49.187,55,25.436,1:49.345
19,55,13.566,2:01.674,94,18.363,1:51.213,94,20.840,1:48.816,94,23.718,1:49.170,94,26.094,1:49.271
20,94,13.996,2:02.104,9,19.120,1:53.559,9,22.227,1:49.446,9,25.333,1:49.398,9,28.069,1:49.631
21,20,PIT,2:05.231,20,43.744,2:13.467,20,46.149,1:48.744,20,48.458,1:48.601,20,PIT,1:51.265
22,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
23,44,,1:46.191,6,,1:46.770,6,PIT,1:47.897,3,PIT,1:47.796,44,,1:47.008
24,6,1.392,1:46.643,44,PIT,1:48.276,3,1.034,1:46.129,11,PIT,1:49.917,33,1.636,1:46.877
