,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,Unnamed: 6,DURATION,TOTAL TIME
0,9,M. ERICSSON,Sauber F1 Team,1,14:05:01,1,,25.179000000000002,25.179000000000002
1,94,P. WEHRLEIN,Sauber F1 Team,3,14:09:26,1,,24.213,24.213
2,8,R. GROSJEAN,Haas F1 Team,20,14:35:03,1,,22.638,22.638
3,94,P. WEHRLEIN,Sauber F1 Team,28,14:46:37,2,,22.998,47.211000000000006
4,18,L. STROLL,Williams Martini Racing,29,14:47:41,1,,21.804000000000002,21.804000000000002
5,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,30,14:48:04,1,,22.680999999999997,22.680999999999997
6,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,31,14:49:30,1,,21.338,21.338
7,20,K. MAGNUSSEN,Haas F1 Team,31,14:50:24,1,,22.684,22.684
8,5,S. VETTEL,Scuderia Ferrari,32,14:50:43,1,,22.316999999999997,22.316999999999997
9,7,K. RAIKKONEN,Scuderia Ferrari,33,14:52:06,1,,21.919,21.919
10,11,S. PEREZ,Sahara Force India F1 Team,34,14:54:12,1,,24.017,24.017
11,40,P. DI RESTA,Williams Martini Racing,34,14:55:06,1,,22.399,22.399
12,55,C. SAINZ,Scuderia Toro Rosso,35,14:55:33,1,,22.745,22.745
13,14,F. ALONSO,McLaren Honda,35,14:55:33,1,,22.399,22.399
14,31,E. OCON,Sahara Force India F1 Team,35,14:55:44,1,,22.441,22.441
15,26,D. KVYAT,Scuderia Toro Rosso,40,15:02:57,1,,22.273000000000003,22.273000000000003
16,33,M. VERSTAPPEN,Red Bull Racing,42,15:04:37,1,,33.605,33.605
17,2,S. VANDOORNE,McLaren Honda,42,15:05:22,1,,28.616,28.616
18,27,N. HULKENBERG,Renault Sport F1 Team,45,15:09:34,1,,31.86,31.86
19,30,J. PALMER,Renault Sport F1 Team,46,15:11:22,1,,22.684,22.684
20,9,M. ERICSSON,Sauber F1 Team,63,15:36:20,2,,24.096999999999998,49.276
