,NO,GAP,TIME,NO.1,GAP.1,TIME.1,NO.2,GAP.2,TIME.2,NO.3,GAP.3,TIME.3,NO.4,GAP.4,TIME.4
0,44,,1:34.404,44,,1:29.638,44,,1:29.119,44,,1:29.044,44,,1:28.786
1,5,0.674,1:35.078,5,0.763,1:29.727,5,0.687,1:29.043,5,0.771,1:29.128,5,1.112,1:29.127
2,77,1.605,1:36.009,77,2.108,1:30.141,77,2.624,1:29.635,77,2.881,1:29.301,77,3.555,1:29.460
3,7,3.089,1:37.493,7,4.018,1:30.567,7,5.062,1:30.163,7,5.968,1:29.950,7,6.780,1:29.598
4,33,3.971,1:38.375,33,5.162,1:30.829,33,6.533,1:30.490,33,7.477,1:29.988,33,8.595,1:29.904
5,19,5.270,1:39.674,19,6.783,1:31.151,19,8.287,1:30.623,19,9.856,1:30.613,19,11.600,1:30.530
6,8,6.312,1:40.716,8,7.916,1:31.242,8,9.847,1:31.050,8,11.566,1:30.763,8,13.354,1:30.574
7,55,7.487,1:41.891,55,9.235,1:31.386,55,11.774,1:31.658,55,13.376,1:30.646,55,15.335,1:30.745
8,11,8.464,1:42.868,11,10.415,1:31.589,11,12.835,1:31.539,11,14.834,1:31.043,11,16.796,1:30.748
9,26,9.506,1:43.910,26,11.654,1:31.786,26,14.145,1:31.610,26,16.106,1:31.005,26,18.396,1:31.076
10,14,10.341,1:44.745,14,12.645,1:31.942,14,15.235,1:31.709,14,17.715,1:31.524,14,20.689,1:31.760
11,27,10.833,1:45.237,27,13.418,1:32.223,27,16.391,1:32.092,27,19.000,1:31.653,27,21.794,1:31.580
12,31,11.150,1:45.554,31,14.211,1:32.699,31,17.360,1:32.268,31,19.876,1:31.560,31,22.874,1:31.784
13,18,11.607,1:46.011,18,15.331,1:33.362,18,18.445,1:32.233,18,21.167,1:31.766,30,27.718,1:32.630
14,30,11.875,1:46.279,30,16.477,1:34.240,30,20.607,1:33.249,30,23.874,1:32.311,2,29.206,1:32.245
15,2,12.358,1:46.762,2,17.229,1:34.509,2,21.681,1:33.571,2,25.747,1:33.110,3,2 LAPS,1:31.619
16,36,13.085,1:47.489,36,18.338,1:34.891,36,23.093,1:33.874,3,2 LAPS,1:32.510,36,32.729,1:33.345
17,9,24.975,1:59.379,9,28.020,1:32.683,3,2 LAPS,4:56.773,36,28.170,1:34.121,9,40.637,1:33.097
18,20,PIT,2:47.633,20,81.236,1:37.645,9,31.715,1:32.814,9,36.326,1:33.655,18,PIT,1:50.632
19,,,,,,,20,82.675,1:30.558,20,84.025,1:30.394,20,85.875,1:30.636
20,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
21,44,,1:28.919,44,,1:28.797,44,,1:28.379,44,,1:28.391,44,,1:28.326
22,5,1.276,1:29.083,5,1.344,1:28.865,5,1.718,1:28.753,5,1.561,1:28.234,5,1.892,1:28.657
23,77,3.771,1:29.135,77,4.138,1:29.164,20,1 LAP,1:33.910,77,6.047,1:29.191,77,6.596,1:28.875
24,7,7.087,1:29.226,7,7.601,1:29.311,77,5.247,1:29.488,20,1 LAP,1:33.065,7,11.069,1:29.612
25,33,9.312,1:29.636,33,10.054,1:29.539,7,8.546,1:29.324,7,9.783,1:29.628,33,13.418,1:29.553
26,19,13.189,1:30.508,19,14.536,1:30.144,33,11.223,1:29.548,33,12.191,1:29.359,20,1 LAP,1:34.740
27,8,15.006,1:30.571,8,16.497,1:30.288,19,16.232,1:30.075,19,17.917,1:30.076,19,19.701,1:30.110
28,55,17.081,1:30.665,55,18.908,1:30.624,8,18.479,1:30.361,8,20.558,1:30.470,8,22.528,1:30.296
29,11,18.891,1:31.014,11,20.714,1:30.620,55,21.312,1:30.783,55,23.851,1:30.930,55,26.304,1:30.779
30,26,20.331,1:30.854,26,22.386,1:30.852,11,22.964,1:30.629,11,25.076,1:30.503,11,27.241,1:30.491
31,14,22.879,1:31.109,14,25.362,1:31.280,26,24.796,1:30.789,26,27.226,1:30.821,26,29.377,1:30.477
32,27,24.122,1:31.247,27,26.799,1:31.474,14,28.121,1:31.138,14,30.986,1:31.256,14,33.547,1:30.887
33,31,25.487,1:31.532,31,28.932,1:32.242,27,29.679,1:31.259,27,32.419,1:31.131,27,35.315,1:31.222
