,NO,GAP,TIME,NO.1,GAP.1,TIME.1,NO.2,GAP.2,TIME.2,NO.3,GAP.3,TIME.3,NO.4,GAP.4,TIME.4
0,44,,1:15.725,44,,1:11.825,44,,1:11.885,44,,1:11.774,44,,1:11.661
1,22,0.664,1:16.389,22,1.313,1:12.474,22,1.982,1:12.554,22,2.225,1:12.017,22,2.528,1:11.964
2,7,1.312,1:17.037,7,2.031,1:12.544,7,2.451,1:12.305,7,2.701,1:12.024,7,3.047,1:12.007
3,27,1.722,1:17.447,27,2.842,1:12.945,27,3.422,1:12.465,27,3.714,1:12.066,27,4.439,1:12.386
4,6,2.364,1:18.089,6,3.536,1:12.997,6,4.535,1:12.884,6,4.442,1:11.681,6,4.705,1:11.924
5,3,2.763,1:18.488,33,4.477,1:13.234,33,5.017,1:12.425,33,5.013,1:11.770,33,5.124,1:11.772
6,33,3.068,1:18.793,3,4.683,1:13.745,3,5.429,1:12.631,3,5.673,1:12.018,3,5.738,1:11.726
7,5,3.473,1:19.198,5,4.955,1:13.307,5,5.888,1:12.818,5,6.237,1:12.123,5,6.370,1:11.794
8,77,3.882,1:19.607,77,5.578,1:13.521,77,6.572,1:12.879,77,7.401,1:12.603,77,8.183,1:12.443
9,55,4.473,1:20.198,55,6.151,1:13.503,55,6.970,1:12.704,55,7.922,1:12.726,55,8.772,1:12.511
10,11,5.131,1:20.856,11,6.740,1:13.434,11,7.603,1:12.748,11,8.500,1:12.671,11,9.547,1:12.708
11,94,5.570,1:21.295,94,7.360,1:13.615,94,8.344,1:12.869,94,9.275,1:12.705,94,10.279,1:12.665
12,8,6.029,1:21.754,14,7.920,1:13.524,14,9.168,1:13.133,14,9.902,1:12.508,14,10.908,1:12.667
13,14,6.221,1:21.946,8,8.657,1:14.453,8,9.815,1:13.043,8,10.626,1:12.585,8,11.632,1:12.667
14,20,6.640,1:22.365,20,9.027,1:14.212,20,10.180,1:13.038,20,11.216,1:12.810,20,12.081,1:12.526
15,30,6.825,1:22.550,30,9.771,1:14.771,30,10.766,1:12.880,30,11.742,1:12.750,30,13.210,1:13.129
16,9,7.193,1:22.918,9,10.630,1:15.262,9,11.871,1:13.126,9,12.786,1:12.689,9,13.858,1:12.733
17,21,7.839,1:23.564,21,11.165,1:15.151,21,12.384,1:13.104,21,13.312,1:12.702,21,14.299,1:12.648
18,12,8.138,1:23.863,19,11.769,1:14.263,19,12.842,1:12.958,19,13.897,1:12.829,19,14.836,1:12.600
19,88,9.030,1:24.755,12,12.294,1:15.981,12,13.689,1:13.280,12,14.795,1:12.880,12,16.276,1:13.142
20,19,9.331,1:25.056,88,12.779,1:15.574,88,14.917,1:14.023,88,16.460,1:13.317,88,18.098,1:13.299
21,26,10.606,1:26.331,26,17.083,1:18.302,,,,,,,,,
22,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
23,44,,1:11.693,44,,1:11.250,44,,1:11.180,44,,1:11.502,44,,1:11.511
24,22,2.888,1:12.053,7,3.564,1:11.540,7,3.804,1:11.420,7,3.717,1:11.415,7,3.483,1:11.277
25,7,3.274,1:11.920,22,4.598,1:12.960,6,6.017,1:12.075,6,6.954,1:12.439,33,7.712,1:11.816
26,6,4.691,1:11.679,6,5.122,1:11.681,22,6.735,1:13.317,33,7.407,1:11.980,5,9.424,1:11.441
27,33,5.308,1:11.877,33,5.696,1:11.638,33,6.929,1:12.413,5,9.494,1:13.019,3,10.206,1:11.965
28,27,6.562,1:13.816,5,7.188,1:11.637,5,7.977,1:11.969,3,9.752,1:12.601,6,PIT,1:15.197
29,5,6.801,1:12.124,3,7.963,1:11.998,3,8.653,1:11.870,22,PIT,1:17.158,94,18.338,1:12.979
30,3,7.215,1:13.170,27,9.280,1:13.968,77,12.444,1:12.986,77,PIT,1:15.824,8,19.498,1:13.080
31,77,9.138,1:12.648,77,10.638,1:12.750,55,12.946,1:12.969,94,16.870,1:13.285,20,21.525,1:13.897
32,55,9.532,1:12.453,55,11.157,1:12.875,11,14.153,1:13.157,8,17.929,1:13.142,30,22.281,1:14.007
33,11,10.328,1:12.474,11,12.176,1:13.098,27,PIT,1:16.326,55,PIT,1:16.506,9,22.966,1:14.208
34,94,11.233,1:12.647,94,12.725,1:12.742,94,15.087,1:13.542,20,19.139,1:13.692,19,23.519,1:13.328
35,14,11.774,1:12.559,14,13.217,1:12.693,8,16.289,1:13.331,11,PIT,1:16.865,21,23.923,1:12.958
36,8,12.653,1:12.714,8,14.138,1:12.735,20,16.949,1:13.452,30,19.785,1:13.643,12,24.711,1:13.256
37,20,13.119,1:12.731,20,14.677,1:12.808,30,17.644,1:13.142,9,20.269,1:13.415,88,26.636,1:13.118
38,30,13.999,1:12.482,30,15.682,1:12.933,9,18.356,1:13.118,19,21.702,1:13.023,22,31.573,1:30.693
39,9,14.714,1:12.549,9,16.418,1:12.954,14,PIT,1:16.877,21,22.476,1:13.022,27,33.252,1:11.863
40,21,16.442,1:13.836,19,18.493,1:13.261,19,20.181,1:12.868,12,22.966,1:12.791,77,34.427,1:29.172
41,19,16.482,1:13.339,21,19.230,1:14.038,21,20.956,1:12.906,88,25.029,1:13.153,55,37.633,1:31.194
42,12,17.531,1:12.948,12,19.614,1:13.333,12,21.677,1:13.243,27,32.900,1:29.976,14,38.275,1:13.089
43,88,19.432,1:13.027,88,21.439,1:13.257,88,23.378,1:13.119,14,36.697,1:29.285,11,38.859,1:30.854
44,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME,NO,GAP,TIME
45,44,,1:11.208,44,,1:11.449,44,,1:11.875,44,,1:12.083,44,,1:11.778
46,7,4.153,1:11.878,7,4.395,1:11.691,7,4.283,1:11.763,7,3.775,1:11.575,7,3.494,1:11.497
47,33,7.923,1:11.419,33,7.907,1:11.433,33,7.430,1:11.398,33,6.679,1:11.332,5,8.752,1:11.479
48,5,9.856,1:11.640,5,9.888,1:11.481,5,9.550,1:11.537,5,9.051,1:11.584,33,PIT,1:14.848
49,3,10.581,1:11.583,3,10.759,1:11.627,3,10.542,1:11.658,3,PIT,1:14.776,8,26.548,1:13.096
50,94,20.156,1:13.026,94,21.717,1:13.010,8,24.459,1:13.288,8,25.230,1:12.854,6,27.380,1:10.069
51,8,21.490,1:13.200,8,23.046,1:13.005,94,PIT,1:17.021,6,29.089,1:10.738,3,29.895,1:28.438
52,30,25.377,1:14.304,21,28.902,1:13.091,21,29.947,1:12.920,21,31.294,1:13.430,21,32.458,1:12.942
