,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,Unnamed: 6,DURATION,TOTAL TIME
0,20,K. MAGNUSSEN,Haas F1 Team,1,14:05:31,1,,25.112,25.112
1,94,P. WEHRLEIN,Sauber F1 Team,3,14:09:08,1,,31.334,31.334
2,39,B. HARTLEY,Scuderia Toro Rosso,8,14:17:38,1,,24.4,24.4
3,18,L. STROLL,Williams Martini Racing,10,14:21:03,1,,24.949,24.949
4,3,D. RICCIARDO,Red Bull Racing,12,14:23:58,1,,23.604,23.604
5,11,S. PEREZ,Sahara Force India F1 Team,12,14:24:19,1,,24.326,24.326
6,31,E. OCON,Sahara Force India F1 Team,14,14:27:34,1,,24.502,24.502
7,14,F. ALONSO,McLaren Honda,14,14:27:37,1,,23.796,23.796
8,5,S. VETTEL,Scuderia Ferrari,16,14:30:37,1,,24.3,24.3
9,8,R. GROSJEAN,Haas F1 Team,16,14:31:15,1,,24.897,24.897
10,26,D. KVYAT,Scuderia Toro Rosso,17,14:32:52,1,,24.883000000000003,24.883000000000003
11,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,18,14:34:03,1,,23.459,23.459
12,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,19,14:35:36,1,,23.401999999999997,23.401999999999997
13,55,C. SAINZ,Renault Sport F1 Team,19,14:36:13,1,,24.525,24.525
14,7,K. RAIKKONEN,Scuderia Ferrari,20,14:37:29,1,,23.575,23.575
15,9,M. ERICSSON,Sauber F1 Team,21,14:40:02,1,,25.840999999999998,25.840999999999998
16,33,M. VERSTAPPEN,Red Bull Racing,24,14:44:17,1,,24.325,24.325
17,2,S. VANDOORNE,McLaren Honda,25,14:46:48,1,,23.578000000000003,23.578000000000003
18,19,F. MASSA,Williams Martini Racing,29,14:53:26,1,,23.772,23.772
19,39,B. HARTLEY,Scuderia Toro Rosso,35,15:04:07,2,,24.229,48.629
20,18,L. STROLL,Williams Martini Racing,36,15:05:47,2,,24.497,49.446000000000005
21,33,M. VERSTAPPEN,Red Bull Racing,37,15:06:06,2,,23.423000000000002,47.748000000000005
22,5,S. VETTEL,Scuderia Ferrari,38,15:07:41,2,,23.62,47.92
23,20,K. MAGNUSSEN,Haas F1 Team,49,15:28:07,2,,25.268,50.38
24,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,52,15:31:05,2,,23.254,46.713
