,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,Unnamed: 6,DURATION,TOTAL TIME
0,27,N. HULKENBERG,Sahara Force India F1 Team,8,14:12:55,1,,22.601,22.601
1,14,F. ALONSO,McLaren Honda,8,14:13:00,1,,21.924,21.924
2,22,J. BUTTON,McLaren Honda,9,14:14:05,1,,22.859,22.859
3,77,V. BOTTAS,Williams Martini Racing,9,14:14:09,1,,21.047,21.047
4,55,C. SAINZ,Scuderia Toro Rosso,9,14:14:11,1,,22.605,22.605
5,11,S. PEREZ,Sahara Force India F1 Team,9,14:14:12,1,,21.883,21.883
6,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,10,14:15:15,1,,21.890,21.890
7,20,K. MAGNUSSEN,Renault Sport F1 Team,11,14:16:43,1,,22.033,22.033
8,30,J. PALMER,Renault Sport F1 Team,12,14:17:57,1,,21.745,21.745
9,19,F. MASSA,Williams Martini Racing,12,14:18:00,1,,21.097,21.097
10,9,M. ERICSSON,Sauber F1 Team,12,14:18:03,1,,22.980,22.980
11,94,P. WEHRLEIN,Manor Racing MRT,13,14:19:05,1,,22.613,22.613
12,3,D. RICCIARDO,Red Bull Racing,14,14:20:04,1,,21.183,21.183
13,33,M. VERSTAPPEN,Red Bull Racing,15,14:21:12,1,,21.945,21.945
14,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,21,14:28:15,1,,22.918,22.918
15,21,E. GUTIERREZ,Haas F1 Team,21,14:29:00,1,,22.053,22.053
16,7,K. RAIKKONEN,Scuderia Ferrari,22,14:29:32,1,,21.916,21.916
17,94,P. WEHRLEIN,Manor Racing MRT,23,14:31:36,2,,23.738,46.351
18,27,N. HULKENBERG,Sahara Force India F1 Team,24,14:32:37,2,,21.580,44.181
19,22,J. BUTTON,McLaren Honda,26,14:35:01,2,,22.035,44.894
20,8,R. GROSJEAN,Haas F1 Team,26,14:35:02,1,,22.662,22.662
21,14,F. ALONSO,McLaren Honda,26,14:35:08,2,,22.879,44.803
22,11,S. PEREZ,Sahara Force India F1 Team,26,14:35:10,2,,21.412,43.295
23,88,R. HARYANTO,Manor Racing MRT,27,14:36:58,1,,23.326,23.326
24,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,28,14:38:13,2,,17.959,39.849
25,94,P. WEHRLEIN,Manor Racing MRT,27,14:38:14,3,,18.064,1:04.415
26,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,28,14:38:16,2,,16.983,39.901
27,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,,DURATION,TOTAL TIME
28,33,M. VERSTAPPEN,Red Bull Racing,28,14:38:17,2,,17.165,39.110
29,3,D. RICCIARDO,Red Bull Racing,28,14:38:18,2,,19.408,40.591
30,7,K. RAIKKONEN,Scuderia Ferrari,28,14:38:20,2,,21.206,43.122
31,77,V. BOTTAS,Williams Martini Racing,28,14:38:22,2,,20.876,41.923
32,12,F. NASR,Sauber F1 Team,28,14:38:23,1,,20.929,20.929
33,55,C. SAINZ,Scuderia Toro Rosso,28,14:38:24,2,,33.462,56.067
34,22,J. BUTTON,McLaren Honda,28,14:38:27,3,,18.307,1:03.201
35,8,R. GROSJEAN,Haas F1 Team,28,14:38:29,2,,18.860,41.522
36,20,K. MAGNUSSEN,Renault Sport F1 Team,28,14:38:32,2,,17.721,39.754
37,19,F. MASSA,Williams Martini Racing,28,14:38:33,2,,17.388,38.485
38,30,J. PALMER,Renault Sport F1 Team,28,14:38:35,2,,16.851,38.596
39,14,F. ALONSO,McLaren Honda,28,14:38:36,3,,16.764,1:01.567
40,11,S. PEREZ,Sahara Force India F1 Team,28,14:38:37,3,,16.544,59.839
41,9,M. ERICSSON,Sauber F1 Team,28,14:38:39,2,,16.419,39.399
42,27,N. HULKENBERG,Sahara Force India F1 Team,28,14:38:40,3,,16.227,1:00.408
43,21,E. GUTIERREZ,Haas F1 Team,28,14:38:43,2,,16.475,38.528
44,88,R. HARYANTO,Manor Racing MRT,28,14:38:45,2,,16.218,39.544
45,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,29,14:40:18,3,,18.220,58.069
46,94,P. WEHRLEIN,Manor Racing MRT,28,14:40:19,4,,18.342,1:22.757
47,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,29,14:40:21,3,,18.716,58.617
48,33,M. VERSTAPPEN,Red Bull Racing,29,14:40:22,3,,18.455,57.565
49,3,D. RICCIARDO,Red Bull Racing,29,14:40:23,3,,18.347,58.938
50,7,K. RAIKKONEN,Scuderia Ferrari,29,14:40:26,3,,18.455,1:01.577
51,77,V. BOTTAS,Williams Martini Racing,29,14:40:27,3,,17.800,59.723
52,12,F. NASR,Sauber F1 Team,29,14:40:29,2,,17.739,38.668
53,22,J. BUTTON,McLaren Honda,29,14:40:31,4,,18.964,1:22.165
54,8,R. GROSJEAN,Haas F1 Team,29,14:40:32,3,,19.554,1:01.076
55,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,,DURATION,TOTAL TIME
56,20,K. MAGNUSSEN,Renault Sport F1 Team,29,14:40:34,3,,19.611,59.365
57,19,F. MASSA,Williams Martini Racing,29,14:40:35,3,,19.015,57.500
58,30,J. PALMER,Renault Sport F1 Team,29,14:40:37,3,,18.382,56.978
59,14,F. ALONSO,McLaren Honda,29,14:40:38,4,,18.194,1:19.761
60,11,S. PEREZ,Sahara Force India F1 Team,29,14:40:39,4,,17.970,1:17.809
61,9,M. ERICSSON,Sauber F1 Team,29,14:40:41,3,,19.041,58.440
62,27,N. HULKENBERG,Sahara Force India F1 Team,29,14:40:42,4,,19.028,1:19.436
63,55,C. SAINZ,Scuderia Toro Rosso,29,14:40:43,3,,18.636,1:14.703
64,21,E. GUTIERREZ,Haas F1 Team,29,14:40:44,3,,18.308,56.836
65,88,R. HARYANTO,Manor Racing MRT,29,14:40:46,3,,17.828,57.372
66,21,E. GUTIERREZ,Haas F1 Team,41,14:56:13,4,,21.921,1:18.757
67,12,F. NASR,Sauber F1 Team,43,14:58:35,3,,22.707,1:01.375
68,20,K. MAGNUSSEN,Renault Sport F1 Team,49,15:05:46,4,,27.119,1:26.484
69,27,N. HULKENBERG,Sahara Force India F1 Team,50,15:06:56,5,,27.834,1:47.270
70,30,J. PALMER,Renault Sport F1 Team,50,15:06:59,4,,22.728,1:19.706
71,9,M. ERICSSON,Sauber F1 Team,50,15:07:01,4,,24.326,1:22.766
72,88,R. HARYANTO,Manor Racing MRT,50,15:07:11,4,,25.234,1:22.606
73,77,V. BOTTAS,Williams Martini Racing,51,15:07:54,4,,21.639,1:21.362
74,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,54,15:10:44,4,,22.109,1:20.726
75,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,55,15:11:53,4,,21.035,1:19.104
76,19,F. MASSA,Williams Martini Racing,56,15:13:53,4,,21.231,1:18.731
77,3,D. RICCIARDO,Red Bull Racing,60,15:18:09,4,,22.284,1:21.222
