,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,Unnamed: 6,DURATION,TOTAL TIME
0,26,D. KVYAT,Scuderia Toro Rosso,1,14:04:51,1,,22.235,22.235
1,19,F. MASSA,Williams Martini Racing,1,14:05:02,1,,40.612,40.612
2,30,J. PALMER,Renault Sport F1 Team,2,14:06:27,1,,23.159,23.159
3,14,F. ALONSO,McLaren Honda,12,14:21:10,1,,22.690,22.690
4,18,L. STROLL,Williams Martini Racing,12,14:21:16,1,,22.100,22.100
5,2,S. VANDOORNE,McLaren Honda,12,14:21:24,1,,22.547,22.547
6,20,K. MAGNUSSEN,Haas F1 Team,13,14:22:35,1,,22.703,22.703
7,55,C. SAINZ,Scuderia Toro Rosso,13,14:22:36,1,,22.432,22.432
8,19,F. MASSA,Williams Martini Racing,13,14:23:17,2,,22.292,1:02.904
9,5,S. VETTEL,Scuderia Ferrari,14,14:23:19,1,,22.499,22.499
10,27,N. HULKENBERG,Renault Sport F1 Team,15,14:25:28,1,,22.490,22.490
11,31,E. OCON,Sahara Force India F1 Team,16,14:26:51,1,,22.616,22.616
12,11,S. PEREZ,Sahara Force India F1 Team,18,14:29:42,1,,25.082,25.082
13,9,M. ERICSSON,Sauber F1 Team,18,14:30:11,1,,22.995,22.995
14,8,R. GROSJEAN,Haas F1 Team,19,14:31:26,1,,22.866,22.866
15,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,21,14:33:26,1,,21.544,21.544
16,3,D. RICCIARDO,Red Bull Racing,21,14:33:54,1,,21.811,21.811
17,30,J. PALMER,Renault Sport F1 Team,21,14:35:11,2,,22.762,45.921
18,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,26,14:41:01,1,,21.689,21.689
19,14,F. ALONSO,McLaren Honda,31,14:49:39,2,,23.354,46.044
20,9,M. ERICSSON,Sauber F1 Team,32,14:51:03,2,,22.775,45.770
21,94,P. WEHRLEIN,Sauber F1 Team,33,14:52:14,1,,23.445,23.445
22,27,N. HULKENBERG,Renault Sport F1 Team,33,14:52:15,2,,22.362,44.852
23,20,K. MAGNUSSEN,Haas F1 Team,33,14:52:15,2,,23.814,46.517
24,26,D. KVYAT,Scuderia Toro Rosso,33,14:52:37,2,,22.117,44.352
25,18,L. STROLL,Williams Martini Racing,33,14:52:52,2,,22.071,44.171
26,19,F. MASSA,Williams Martini Racing,33,14:53:10,3,,23.066,1:25.970
27,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,,DURATION,TOTAL TIME
28,11,S. PEREZ,Sahara Force India F1 Team,34,14:53:46,2,,23.107,48.189
29,31,E. OCON,Sahara Force India F1 Team,34,14:53:58,2,,22.643,45.259
30,55,C. SAINZ,Scuderia Toro Rosso,34,14:54:20,2,,21.934,44.366
31,8,R. GROSJEAN,Haas F1 Team,34,14:54:22,2,,22.641,45.507
32,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,36,14:56:30,2,,21.722,43.266
33,5,S. VETTEL,Scuderia Ferrari,37,14:57:53,2,,22.307,44.806
34,3,D. RICCIARDO,Red Bull Racing,38,15:00:10,2,,21.918,43.729
35,30,J. PALMER,Renault Sport F1 Team,42,15:07:31,3,,24.750,1:10.671
36,14,F. ALONSO,McLaren Honda,51,15:20:24,3,,22.923,1:08.967
37,20,K. MAGNUSSEN,Haas F1 Team,63,15:37:43,3,,25.052,1:11.569
