,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,Unnamed: 6,DURATION,TOTAL TIME
0,8,R. GROSJEAN,Haas F1 Team,3,14:08:10,1,,33.433,33.433
1,33,M. VERSTAPPEN,Red Bull Racing,3,14:08:20,1,,39.888000000000005,39.888
2,27,N. HULKENBERG,Renault Sport F1 Team,9,14:16:50,1,,24.418000000000003,24.418
3,20,K. MAGNUSSEN,Haas F1 Team,11,14:19:43,1,,24.384,24.384
4,55,C. SAINZ,Scuderia Toro Rosso,13,14:22:44,1,,24.865,24.865
5,7,K. RAIKKONEN,Scuderia Ferrari,15,14:25:17,1,,25.366999999999997,25.367
6,31,E. OCON,Sahara Force India F1 Team,16,14:26:42,1,,24.432,24.432
7,18,L. STROLL,Williams Martini Racing,17,14:28:09,1,,26.131,26.131
8,9,M. ERICSSON,Sauber F1 Team,18,14:30:19,1,,25.31,25.310
9,26,D. KVYAT,Scuderia Toro Rosso,19,14:31:23,1,,25.826,25.826
10,94,P. WEHRLEIN,Sauber F1 Team,20,14:33:19,1,,25.212,25.212
11,19,F. MASSA,Williams Martini Racing,21,14:33:59,1,,25.078000000000003,25.078
12,30,J. PALMER,Renault Sport F1 Team,25,14:40:16,1,,31.008000000000003,31.008
13,33,M. VERSTAPPEN,Red Bull Racing,27,14:43:27,2,,24.173000000000002,1:04.061
14,14,F. ALONSO,McLaren Honda,30,14:47:38,1,,24.441999999999997,24.442
15,5,S. VETTEL,Scuderia Ferrari,31,14:48:03,1,,24.307,24.307
16,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,32,14:49:05,1,,23.725,23.725
17,11,S. PEREZ,Sahara Force India F1 Team,32,14:49:55,1,,25.377,25.377
18,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,33,14:50:35,1,,23.728,23.728
19,8,R. GROSJEAN,Haas F1 Team,34,14:53:53,2,,24.307,57.740
20,3,D. RICCIARDO,Red Bull Racing,37,14:56:51,1,,23.951,23.951
