,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,Unnamed: 6,DURATION,TOTAL TIME
0,26,D. KVYAT,Scuderia Toro Rosso,1,13:08:08,1,,45.538000000000004,45.538
1,94,P. WEHRLEIN,Sauber F1 Team,2,13:10:06,1,,29.861,29.861
2,94,P. WEHRLEIN,Sauber F1 Team,3,13:12:33,2,,29.941,59.802
3,26,D. KVYAT,Scuderia Toro Rosso,9,13:23:00,2,,22.895,1:08.433
4,5,S. VETTEL,Scuderia Ferrari,18,13:36:44,1,,28.363000000000003,28.363
5,33,M. VERSTAPPEN,Red Bull Racing,19,13:38:17,1,,29.147,29.147
6,31,E. OCON,Sahara Force India F1 Team,20,13:40:15,1,,29.194000000000003,29.194
7,14,F. ALONSO,McLaren Honda,20,13:40:30,1,,28.269000000000002,28.269
8,18,L. STROLL,Williams Martini Racing,22,13:43:38,1,,29.849,29.849
9,11,S. PEREZ,Sahara Force India F1 Team,23,13:45:01,1,,28.941999999999997,28.942
10,8,R. GROSJEAN,Haas F1 Team,23,13:45:11,1,,28.361,28.361
11,7,K. RAIKKONEN,Scuderia Ferrari,24,13:45:53,1,,28.476,28.476
12,27,N. HULKENBERG,Renault Sport F1 Team,24,13:46:27,1,,30.840999999999998,30.841
13,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,25,13:47:14,1,,27.733,27.733
14,19,F. MASSA,Williams Martini Racing,25,13:48:18,1,,27.583000000000002,27.583
15,2,S. VANDOORNE,McLaren Honda,26,13:49:50,1,,29.337,29.337
16,26,D. KVYAT,Scuderia Toro Rosso,27,13:52:00,3,,28.63,1:37.063
17,9,M. ERICSSON,Sauber F1 Team,28,13:53:19,1,,28.825,28.825
18,94,P. WEHRLEIN,Sauber F1 Team,31,13:58:18,3,,31.25,1:31.052
19,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,32,13:58:23,1,,27.858,27.858
20,3,D. RICCIARDO,Red Bull Racing,32,13:59:09,1,,27.91,27.910
21,20,K. MAGNUSSEN,Haas F1 Team,37,14:07:18,1,,28.099,28.099
22,18,L. STROLL,Williams Martini Racing,42,14:15:32,2,,28.335,58.184
23,8,R. GROSJEAN,Haas F1 Team,43,14:16:53,2,,28.998,57.359
24,7,K. RAIKKONEN,Scuderia Ferrari,49,14:24:46,2,,29.057,57.533
25,33,M. VERSTAPPEN,Red Bull Racing,49,14:25:07,2,,28.055999999999997,57.203
26,5,S. VETTEL,Scuderia Ferrari,50,14:27:09,2,,35.204,1:03.567
