,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,Unnamed: 6,DURATION,TOTAL TIME
0,30,J. PALMER,Renault Sport F1 Team,8,14:19:01,1,,26.202,26.202
1,9,M. ERICSSON,Sauber F1 Team,8,14:19:07,1,,23.999,23.999
2,20,K. MAGNUSSEN,Haas F1 Team,9,14:20:51,1,,22.828,22.828
3,18,L. STROLL,Williams Martini Racing,9,14:20:55,1,,24.697,24.697
4,31,E. OCON,Sahara Force India F1 Team,10,14:22:35,1,,23.364,23.364
5,8,R. GROSJEAN,Haas F1 Team,10,14:22:38,1,,22.925,22.925
6,14,F. ALONSO,McLaren Honda,10,14:22:43,1,,24.158,24.158
7,27,N. HULKENBERG,Renault Sport F1 Team,11,14:24:21,1,,23.507,23.507
8,19,F. MASSA,Williams Martini Racing,11,14:24:38,1,,22.667,22.667
9,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,12,14:25:45,1,,22.037,22.037
10,11,S. PEREZ,Sahara Force India F1 Team,12,14:26:21,1,,23.289,23.289
11,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,13,14:27:44,1,,22.963,22.963
12,5,S. VETTEL,Scuderia Ferrari,14,14:29:26,1,,22.443,22.443
13,3,D. RICCIARDO,Red Bull Racing,14,14:29:45,1,,22.900,22.900
14,7,K. RAIKKONEN,Scuderia Ferrari,15,14:31:33,1,,22.533,22.533
15,7,K. RAIKKONEN,Scuderia Ferrari,17,14:35:29,2,,30.373,52.906
16,26,D. KVYAT,Scuderia Toro Rosso,18,14:37:55,1,,22.444,22.444
17,2,S. VANDOORNE,McLaren Honda,18,14:38:00,1,,26.894,26.894
18,55,C. SAINZ,Scuderia Toro Rosso,19,14:39:43,1,,24.095,24.095
19,9,M. ERICSSON,Sauber F1 Team,23,14:47:51,2,,23.221,47.220
20,11,S. PEREZ,Sahara Force India F1 Team,25,14:50:45,2,,28.594,51.883
21,31,E. OCON,Sahara Force India F1 Team,27,14:54:26,2,,23.200,46.564
22,7,K. RAIKKONEN,Scuderia Ferrari,29,14:57:52,3,,22.963,1:15.869
23,27,N. HULKENBERG,Renault Sport F1 Team,29,14:58:06,2,,23.539,47.046
24,8,R. GROSJEAN,Haas F1 Team,29,14:58:27,2,,22.756,45.681
25,19,F. MASSA,Williams Martini Racing,29,14:58:40,2,,23.092,45.759
26,31,E. OCON,Sahara Force India F1 Team,29,14:58:44,3,,29.646,1:16.210
27,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,S  T  OP,,DURATION,TOTAL TIME
28,55,C. SAINZ,Scuderia Toro Rosso,29,14:58:50,2,,24.370,48.465
29,18,L. STROLL,Williams Martini Racing,29,14:59:01,2,,23.109,47.806
30,11,S. PEREZ,Sahara Force India F1 Team,29,14:59:10,3,,26.574,1:18.457
31,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,30,14:59:18,2,,22.357,44.394
32,5,S. VETTEL,Scuderia Ferrari,30,14:59:18,2,,25.650,48.093
33,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,30,14:59:31,2,,22.919,45.882
34,3,D. RICCIARDO,Red Bull Racing,30,14:59:47,2,,23.180,46.080
35,9,M. ERICSSON,Sauber F1 Team,29,14:59:55,3,,23.792,1:11.012
36,20,K. MAGNUSSEN,Haas F1 Team,30,15:01:09,2,,22.908,45.736
37,26,D. KVYAT,Scuderia Toro Rosso,30,15:01:33,2,,23.341,45.785
38,30,J. PALMER,Renault Sport F1 Team,30,15:01:36,2,,24.674,50.876
39,2,S. VANDOORNE,McLaren Honda,30,15:01:43,2,,26.187,53.081
40,20,K. MAGNUSSEN,Haas F1 Team,34,15:10:50,3,,23.737,1:09.473
