Lewis Hamilton,Soft (21),Medium (15),Soft (30),
Sebastian Vettel,Soft (14),Soft (23),Medium (29),
Daniel Ricciardo,Soft (21),Medium (17),Soft (28),
Sergio Perez,Soft (18),Soft (16),Medium (31),
Esteban Ocon,Soft (16),Soft (18),Medium (31),
Nico Hulkenberg,Soft (15),Soft (18),Medium (32),
Pascal Wehrlein,Soft (33),Medium (32),,
Carlos Sainz Jnr,Soft (13),Soft (21),Medium (31),
Daniil Kvyat,Medium (1),Soft (32),Soft (32),
Romain Grosjean,Soft (19),Soft (15),Medium (31),
Marcus Ericsson,Soft (18),Soft (14),Medium (32),
Fernando Alonso,Soft (12),Soft (19),Medium (20),Soft (13)
Felipe Massa,Soft (1),Soft (12),Soft (20),Medium (31)
Kevin Magnussen,Soft (13),Soft (20),Medium (30),Soft (1)
Jolyon Palmer,Medium (2),Soft (19),Soft (21),Soft (22)
Lance Stroll,Soft (12),Soft (21),Medium (31),
Valtteri Bottas,Soft (26),Medium (12),,
Stoffel Vandoorne,Medium (12),Soft (20),,
Max Verstappen,Soft (1),,,
Kimi Raikkonen,,,,
