Sebastian Vettel,Ultra soft (39),Super soft (39),,
Kimi Raikkonen,Ultra soft (34),Super soft (44),,
Daniel Ricciardo,Ultra soft (38),Super soft (40),,
Valtteri Bottas,Ultra soft (33),Super soft (45),,
Max Verstappen,Ultra soft (32),Super soft (28),Ultra soft (18),
Carlos Sainz Jnr,Ultra soft (37),Super soft (41),,
Lewis Hamilton,Ultra soft (46),Super soft (32),,
Romain Grosjean,Ultra soft (40),Super soft (38),,
Felipe Massa,Ultra soft (38),Super soft (24),Ultra soft (16),
Kevin Magnussen,Ultra soft (37),Super soft (5),Ultra soft (36),
Jolyon Palmer,Ultra soft (42),Super soft (36),,
Esteban Ocon,Ultra soft (36),Super soft (3),Ultra soft (21),Ultra soft (18)
Sergio Perez,Ultra soft (16),Super soft (47),Ultra soft (9),Ultra soft (6)
Daniil Kvyat,Ultra soft (36),Super soft (35),,
Lance Stroll,Ultra soft (41),Super soft (26),Ultra soft (4),
Stoffel Vandoorne,Ultra soft (43),Super soft (23),,
Marcus Ericsson,Super soft (35),Ultra soft (28),,
Pascal Wehrlein,Super soft (1),Ultra soft (56),,
Jenson Button,Ultra soft (1),Super soft (38),Ultra soft (18),
Nico Hulkenberg,Ultra soft (15),,,
