Lewis Hamilton,Soft (11),Soft (20),Medium (25),
Nico Rosberg,Soft (10),Medium (21),Medium (25),
Daniel Ricciardo,Super soft (8),Soft (17),Medium (31),
Sebastian Vettel,Super soft (14),Soft (15),Medium (24),Super soft (3)
Fernando Alonso,Soft (11),Medium (19),Medium (26),
Carlos Sainz Jnr,Super soft (11),Soft (19),Soft (26),
Felipe Massa,Super soft (11),Soft (18),Medium (25),Super soft (1)
Sergio Perez,Super soft (10),Medium (17),Medium (28),
Jenson Button,Super soft (10),Medium (18),Medium (27),
Romain Grosjean,Super soft (10),Soft (17),Medium (28),
Kevin Magnussen,Soft (13),Soft (14),Medium (16),Super soft (12)
Daniil Kvyat,Soft (21),Medium (34),,
Jolyon Palmer,Soft (15),Soft (11),Medium (29),
Marcus Ericsson,Soft (17),Medium (38),,
Felipe Nasr,Medium (29),Soft (26),,
Valtteri Bottas,Super soft (1),Soft (19),Medium (35),
Pascal Wehrlein,Soft (13),Medium (17),Medium (25),
Esteban Ocon,Medium (17),Soft (9),Soft (18),Super soft (10)
Kimi Raikkonen,Super soft (8),Soft (16),Super soft (14),
Max Verstappen,Soft (9),Soft (17),Medium (2),
Esteban Gutierrez,Soft (13),Soft (3),,
Nico Hulkenberg,Super soft (1),,,
