Lewis Hamilton,Ultra soft (12),Soft (18),Soft (14),
Sebastian Vettel,Ultra soft (14),Soft (16),Ultra soft (14),
Daniel Ricciardo,Ultra soft (14),Super soft (16),Ultra soft (14),
Kimi Raikkonen,Ultra soft (15),Soft (14),Ultra soft (15),
Valtteri Bottas,Ultra soft (13),Soft (17),Soft (14),
Nico Hulkenberg,Ultra soft (11),Soft (18),Ultra soft (15),
Romain Grosjean,Ultra soft (10),Soft (19),Super soft (15),
Felipe Massa,Super soft (11),Soft (18),Ultra soft (15),
Esteban Ocon,Ultra soft (10),Super soft (17),Super soft (2),Ultra soft (15)
Carlos Sainz Jnr,Ultra soft (19),Soft (10),Super soft (15),
Lance Stroll,Super soft (9),Soft (20),Ultra soft (15),
Daniil Kvyat,Super soft (18),Ultra soft (12),Ultra soft (14),
Jolyon Palmer,Ultra soft (8),Soft (22),Ultra soft (14),
Stoffel Vandoorne,Super soft (18),Ultra soft (12),Ultra soft (14),
Kevin Magnussen,Ultra soft (9),Soft (21),Super soft (4),Ultra soft (10)
Marcus Ericsson,Super soft (8),Soft (15),Soft (6),Ultra soft (15)
Sergio Perez,Ultra soft (12),Super soft (13),Super soft (4),Ultra soft (13)
Fernando Alonso,Ultra soft (10),Soft (15),,
Max Verstappen,Ultra soft (7),,,
Pascal Wehrlein,Soft (2),,,
