Sebastian Vettel,Super soft (10),Super soft (23),Soft (24)
Lewis Hamilton,Super soft (13),Soft (28),Soft (16)
Valtteri Bottas,Super soft (13),Super soft (17),Soft (27)
Kimi Raikkonen,Super soft (12),Super soft (25),Soft (20)
Daniel Ricciardo,Super soft (13),Soft (26),Super soft (18)
Felipe Massa,Super soft (13),Soft (24),Soft (20)
Sergio Perez,Super soft (13),Super soft (23),Soft (21)
Romain Grosjean,Super soft (12),Super soft (19),Soft (26)
Nico Hulkenberg,Super soft (13),Soft (23),Super soft (21)
Esteban Ocon,Super soft (11),Super soft (26),Soft (20)
Pascal Wehrlein,Super soft (11),Soft (45),
Daniil Kvyat,Super soft (13),Soft (28),Super soft (15)
Jolyon Palmer,Super soft (13),Soft (24),Super soft (19)
Fernando Alonso,Super soft (13),Soft (23),Super soft (18)
Marcus Ericsson,Soft (33),Super soft (17),
Carlos Sainz Jnr,Super soft (12),Super soft (0),
Lance Stroll,Super soft (8),Soft (4),
Max Verstappen,Super soft (11),,
Kevin Magnussen,Super soft (8),,
Stoffel Vandoorne,,,
