Max Verstappen,Soft (12),Medium (22),Medium (32),,
Kimi Raikkonen,Soft (12),Medium (23),Medium (31),,
Sebastian Vettel,Soft (15),Medium (14),Soft (8),Medium (29),
Daniel Ricciardo,Soft (11),Medium (17),Soft (15),Medium (22),Soft (1)
Valtteri Bottas,Soft (12),Medium (27),Medium (27),,
Carlos Sainz Jnr,Soft (10),Medium (28),Medium (28),,
Sergio Perez,Soft (9),Medium (26),Medium (31),,
Felipe Massa,Soft (8),Medium (17),Soft (16),Medium (25),
Jenson Button,Soft (10),Medium (26),Medium (29),,
Daniil Kvyat,Soft (9),Medium (16),Medium (26),Soft (14),
Esteban Gutierrez,Soft (16),Soft (14),Medium (35),,
Marcus Ericsson,Soft (9),Soft (15),Medium (16),Medium (25),
Jolyon Palmer,Soft (11),Medium (22),Hard (32),,
Felipe Nasr,Soft (12),Medium (24),Medium (29),,
Kevin Magnussen,Soft (10),Medium (20),Hard (25),Soft (10),
Pascal Wehrlein,Soft (11),Medium (22),Medium (32),,
Rio Haryanto,Medium (22),Medium (26),Soft (17),,
Romain Grosjean,Soft (15),Soft (14),Medium (8),Soft (19),
Fernando Alonso,Soft (11),Medium (28),Medium (6),,
Nico Hulkenberg,Soft (10),Medium (10),,,
Lewis Hamilton,Soft (1),,,,
Nico Rosberg,Soft (1),,,,
