Lewis Hamilton,Ultra soft (24),Soft (46),,
Sebastian Vettel,Ultra soft (11),Super soft (26),Soft (33),
Valtteri Bottas,Ultra soft (23),Soft (47),,
Max Verstappen,Ultra soft (20),Soft (26),Ultra soft (24),
Nico Rosberg,Ultra soft (21),Soft (30),Soft (19),
Kimi Raikkonen,Ultra soft (11),Super soft (22),Soft (37),
Daniel Ricciardo,Ultra soft (21),Soft (17),Soft (32),
Nico Hulkenberg,Ultra soft (21),Soft (30),Soft (18),
Carlos Sainz Jnr,Ultra soft (13),Soft (35),Ultra soft (21),
Sergio Perez,Soft (30),Super soft (16),Soft (23),
Fernando Alonso,Ultra soft (17),Soft (52),,
Daniil Kvyat,Ultra soft (17),Soft (27),Ultra soft (25),
Esteban Gutierrez,Ultra soft (13),Soft (28),Ultra soft (27),
Romain Grosjean,Ultra soft (17),Soft (22),Ultra soft (7),Ultra soft (22)
Marcus Ericsson,Ultra soft (14),Soft (25),Soft (29),
Kevin Magnussen,Soft (39),Ultra soft (29),,
Pascal Wehrlein,Ultra soft (11),Soft (27),Soft (30),
Felipe Nasr,Ultra soft (9),Soft (26),Soft (33),
Rio Haryanto,Super soft (15),Soft (29),Soft (24),
Felipe Massa,Ultra soft (22),Soft (13),,
Jolyon Palmer,Ultra soft (16),,,
Jenson Button,Super soft (9),,,
