Daniel Ricciardo,Soft (21),Hard (20),Soft (15),
Max Verstappen,Soft (9),Soft (18),Hard (14),Soft (15)
Nico Rosberg,Soft (9),Hard (22),Hard (10),Soft (15)
Kimi Raikkonen,Soft (20),Hard (12),Hard (8),Soft (16)
Valtteri Bottas,Medium (29),Hard (27),,
Sergio Perez,Soft (9),Medium (23),Hard (24),
Fernando Alonso,Soft (9),Hard (18),Soft (13),Soft (16)
Nico Hulkenberg,Soft (9),Medium (19),Hard (12),Soft (16)
Jenson Button,Soft (9),Hard (28),Soft (19),
Jolyon Palmer,Hard (31),Soft (25),,
Carlos Sainz Jnr,Soft (20),Hard (17),Soft (19),
Marcus Ericsson,Soft (21),Soft (16),Hard (18),
Felipe Massa,Soft (1),Hard (5),Hard (25),Medium (24)
Daniil Kvyat,Soft (1),Hard (28),Soft (11),Soft (15)
Pascal Wehrlein,Soft (9),Hard (21),Hard (11),Soft (14)
Esteban Ocon,Soft (12),Hard (19),Hard (24),
Felipe Nasr,Medium (32),Hard (14),,
Lewis Hamilton,Soft (20),Hard (20),,
Esteban Gutierrez,Soft (1),Soft (21),Hard (17),
Kevin Magnussen,Medium (1),Hard (16),,
Romain Grosjean,Soft (7),,,
Sebastian Vettel,,,,
