,NO,STOP,race_id,year,race_in_year,track
0,3,4,10,2016,4,Catalunya
1,5,3,10,2016,4,Catalunya
2,7,2,10,2016,4,Catalunya
3,9,3,10,2016,4,Catalunya
4,11,2,10,2016,4,Catalunya
5,12,2,10,2016,4,Catalunya
6,19,3,10,2016,4,Catalunya
7,20,3,10,2016,4,Catalunya
8,21,2,10,2016,4,Catalunya
9,22,2,10,2016,4,Catalunya
10,26,3,10,2016,4,Catalunya
11,30,2,10,2016,4,Catalunya
12,33,2,10,2016,4,Catalunya
13,55,2,10,2016,4,Catalunya
14,77,2,10,2016,4,Catalunya
15,88,2,10,2016,4,Catalunya
16,94,2,10,2016,4,Catalunya
