,Unnamed: 0,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,STOP,Unnamed: 6,DURATION,TOTAL TIME
0,0,20,K. MAGNUSSEN,Renault Sport F1 Team,7,14:24:31,1,,24.986,24.986
1,1,22,J. BUTTON,McLaren Honda,8,14:26:08,1,,24.192,24.192
2,2,14,F. ALONSO,McLaren Honda,9,14:27:30,1,,24.821,24.821
3,3,77,V. BOTTAS,Williams Martini Racing,9,14:27:31,1,,24.724,24.724
4,4,19,F. MASSA,Williams Martini Racing,9,14:27:33,1,,29.421,29.421
5,5,26,D. KVYAT,Scuderia Toro Rosso,9,14:27:36,1,,25.758,25.758
6,6,30,J. PALMER,Renault Sport F1 Team,9,14:27:40,1,,24.745,24.745
7,7,9,M. ERICSSON,Sauber F1 Team,9,14:27:41,1,,25.395,25.395
8,8,5,S. VETTEL,Scuderia Ferrari,10,14:29:08,1,,29.981,29.981
9,9,21,E. GUTIERREZ,Haas F1 Team,12,14:32:18,1,,25.147,25.147
10,10,33,M. VERSTAPPEN,Red Bull Racing,13,14:33:11,1,,24.186,24.186
11,11,3,D. RICCIARDO,Red Bull Racing,13,14:33:32,1,,24.623,24.623
12,12,26,D. KVYAT,Scuderia Toro Rosso,17,14:41:54,2,,25.355,51.113
13,13,30,J. PALMER,Renault Sport F1 Team,17,14:41:59,2,,24.656,49.401
14,14,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,20,14:47:37,1,,33:30.361,33:30.361
15,15,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,20,14:47:40,1,,33:29.747,33:29.747
16,16,33,M. VERSTAPPEN,Red Bull Racing,20,14:47:41,2,,33:29.643,33:53.829
17,17,27,N. HULKENBERG,Sahara Force India F1 Team,20,14:47:44,1,,33:28.504,33:28.504
18,18,11,S. PEREZ,Sahara Force India F1 Team,20,14:47:46,1,,33:28.398,33:28.398
19,19,55,C. SAINZ,Scuderia Toro Rosso,20,14:47:48,1,,33:28.828,33:28.828
20,20,12,F. NASR,Sauber F1 Team,20,14:47:50,1,,33:28.206,33:28.206
21,21,3,D. RICCIARDO,Red Bull Racing,20,14:47:52,2,,33:28.600,33:53.223
22,22,31,E. OCON,Manor Racing MRT,20,14:47:53,1,,33:29.052,33:29.052
23,23,94,P. WEHRLEIN,Manor Racing MRT,20,14:47:56,1,,33:28.464,33:28.464
24,24,14,F. ALONSO,McLaren Honda,20,14:47:57,2,,33:28.789,33:53.610
25,25,77,V. BOTTAS,Williams Martini Racing,20,14:47:59,2,,33:28.595,33:53.319
26,26,20,K. MAGNUSSEN,Renault Sport F1 Team,20,14:48:00,2,,33:28.979,33:53.965
28,28,22,J. BUTTON,McLaren Honda,20,14:48:04,2,,33:30.062,33:54.254
29,29,5,S. VETTEL,Scuderia Ferrari,20,14:48:05,2,,33:30.637,34:00.618
30,30,19,F. MASSA,Williams Martini Racing,20,14:48:08,2,,33:29.630,33:59.051
31,31,21,E. GUTIERREZ,Haas F1 Team,20,14:48:09,2,,33:31.147,33:56.294
32,32,26,D. KVYAT,Scuderia Toro Rosso,20,14:48:11,3,,33:31.266,34:22.379
33,33,27,N. HULKENBERG,Sahara Force India F1 Team,22,15:25:12,2,,24.282,33:52.786
34,34,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,28,15:37:24,2,,24:42.048,58:12.409
35,35,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,28,15:37:26,2,,24:41.624,58:11.371
36,36,33,M. VERSTAPPEN,Red Bull Racing,28,15:37:27,3,,24:41.433,58:35.262
37,37,11,S. PEREZ,Sahara Force India F1 Team,28,15:37:29,2,,24:42.290,58:10.688
38,38,55,C. SAINZ,Scuderia Toro Rosso,28,15:37:31,2,,24:43.053,58:11.881
39,39,12,F. NASR,Sauber F1 Team,28,15:37:32,2,,24:43.214,58:11.420
40,40,3,D. RICCIARDO,Red Bull Racing,28,15:37:33,3,,24:44.725,58:37.948
41,41,31,E. OCON,Manor Racing MRT,28,15:37:35,2,,24:45.092,58:14.144
42,42,94,P. WEHRLEIN,Manor Racing MRT,28,15:37:36,2,,24:44.979,58:13.443
43,43,14,F. ALONSO,McLaren Honda,28,15:37:39,3,,24:43.818,58:37.428
44,44,77,V. BOTTAS,Williams Martini Racing,28,15:37:41,3,,24:43.957,58:37.276
45,45,20,K. MAGNUSSEN,Renault Sport F1 Team,28,15:37:43,3,,24:44.474,58:38.439
46,46,22,J. BUTTON,McLaren Honda,28,15:37:46,3,,24:44.987,58:39.241
47,47,5,S. VETTEL,Scuderia Ferrari,28,15:37:49,3,,24:43.923,58:44.541
48,48,27,N. HULKENBERG,Sahara Force India F1 Team,28,15:37:50,3,,24:45.304,58:38.090
49,49,19,F. MASSA,Williams Martini Racing,28,15:37:51,3,,24:45.969,58:45.020
50,50,21,E. GUTIERREZ,Haas F1 Team,28,15:37:54,3,,24:44.444,58:40.738
51,51,26,D. KVYAT,Scuderia Toro Rosso,28,15:37:56,4,,24:44.388,59:06.767
52,52,19,F. MASSA,Williams Martini Racing,31,16:08:25,4,,29.754,59:14.774
53,53,22,J. BUTTON,McLaren Honda,34,16:13:01,4,,25.006,59:04.247
54,54,77,V. BOTTAS,Williams Martini Racing,38,16:18:52,4,,24.994,59:02.270
56,56,3,D. RICCIARDO,Red Bull Racing,40,16:21:27,4,,29.621,59:07.569
57,57,20,K. MAGNUSSEN,Renault Sport F1 Team,41,16:23:25,4,,24.265,59:02.704
58,58,33,M. VERSTAPPEN,Red Bull Racing,43,16:25:37,4,,24.435,58:59.697
59,59,22,J. BUTTON,McLaren Honda,44,16:28:14,5,,24.754,59:29.001
60,60,21,E. GUTIERREZ,Haas F1 Team,47,16:32:38,4,,17.835,58:58.573
61,61,3,D. RICCIARDO,Red Bull Racing,52,16:41:54,5,,24.521,59:32.090
62,62,94,P. WEHRLEIN,Manor Racing MRT,52,16:42:00,3,,25.509,58:38.952
63,63,33,M. VERSTAPPEN,Red Bull Racing,54,16:45:53,5,,24.041,59:23.738
