,NO,STOP,race_id
0,3,2,30
1,5,2,30
2,8,2,30
3,9,2,30
4,11,2,30
5,14,3,30
6,18,2,30
7,19,3,30
8,20,3,30
9,26,2,30
10,27,2,30
11,30,3,30
12,31,2,30
13,44,2,30
14,55,2,30
15,94,1,30
