,Driver,stint_1,stint_2,stint_3,stint_4,stint_5,NO
0,Nico Rosberg,Super soft,Soft,Super soft,Soft,,6
1,Kimi Raikkonen,Super soft,Soft,Super soft,Soft,,7
2,Lewis Hamilton,Super soft,Medium,Super soft,Soft,,44
3,Daniel Ricciardo,Super soft,Soft,Soft,Medium,,3
4,Romain Grosjean,Super soft,Super soft,Super soft,Soft,,8
5,Max Verstappen,Super soft,Soft,Medium,Super soft,,33
6,Daniil Kvyat,Soft,Soft,Super soft,Super soft,,26
7,Felipe Massa,Super soft,Medium,Medium,,,19
8,Valtteri Bottas,Super soft,Medium,Soft,,,77
9,Stoffel Vandoorne,Super soft,Soft,Soft,Super soft,,2
10,Stoffel Vandoorne,Super soft,Soft,Soft,Super soft,,47
11,Kevin Magnussen,Soft,Super soft,Super soft,Super soft,,20
12,Marcus Ericsson,Soft,Soft,Medium,,,9
13,Pascal Wehrlein,Soft,Soft,Super soft,Super soft,,94
14,Felipe Nasr,Soft,Soft,Medium,Super soft,,12
15,Nico Hulkenberg,Super soft,Soft,Medium,Super soft,Super soft,27
16,Sergio Perez,Super soft,Super soft,Soft,Super soft,,11
17,Rio Haryanto,Soft,Soft,Medium,Super soft,,88
18,Carlos Sainz Jnr,Soft,Medium,Soft,,,55
19,Esteban Gutierrez,Super soft,Super soft,,,,21
20,Jenson Button,Super soft,,,,,22
