,NO,STOP,race_id
0,3,4,27
1,5,5,27
2,7,4,27
3,8,5,27
4,9,4,27
5,11,5,27
6,19,6,27
7,20,5,27
8,27,5,27
9,30,4,27
10,31,5,27
11,33,4,27
12,44,4,27
13,55,4,27
14,77,4,27
