,Driver,stint_1,stint_2,stint_3,stint_4,NO
0,Lewis Hamilton,Super soft,Soft,,,44
1,Valtteri Bottas,Soft,Super soft,,,77
2,Kimi Raikkonen,Super soft,Soft,Super soft,,7
3,Max Verstappen,Super soft,Soft,Super soft,,33
4,Daniel Ricciardo,Super soft,Soft,,,3
5,Nico Hulkenberg,Super soft,Soft,,,27
6,Sebastian Vettel,Super soft,Soft,Super soft,,5
7,Esteban Ocon,Super soft,Soft,,,31
8,Sergio Perez,Super soft,Soft,,,11
9,Felipe Massa,Soft,Super soft,,,19
10,Stoffel Vandoorne,Super soft,Soft,,,2
11,Stoffel Vandoorne,Super soft,Soft,,,47
12,Kevin Magnussen,Soft,Super soft,,,20
13,Romain Grosjean,Super soft,Soft,Super soft,,8
14,Marcus Ericsson,Soft,Super soft,,,9
15,Daniil Kvyat,Super soft,Soft,Super soft,,26
16,Lance Stroll,Soft,Super soft,Super soft,,18
17,Pascal Wehrlein,Soft,Medium,Soft,Super soft,94
18,Fernando Alonso,Super soft,Soft,,,14
