,Unnamed: 0,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,STOP,Unnamed: 6,DURATION,TOTAL TIME
69,69,31,E. OCON,Sahara Force India F1 Team,27,21:07:19,5,,29.173,2:23.498
70,70,9,M. ERICSSON,Sauber F1 Team,27,21:07:36,5,,50.617,3:08.933
71,71,3,D. RICCIARDO,Red Bull Racing,28,21:08:22,5,,29.118,2:18.277
72,72,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,28,21:08:39,4,,29.089,1:50.332
73,73,27,N. HULKENBERG,Renault Sport F1 Team,28,21:08:46,5,,30.005,2:21.819
74,74,11,S. PEREZ,Sahara Force India F1 Team,28,21:08:49,5,,29.186,2:20.626
75,75,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,29,21:10:11,4,,28.466,1:47.613
76,76,94,P. WEHRLEIN,Sauber F1 Team,28,21:10:50,5,,31.094,2:57.589
77,77,30,J. PALMER,Renault Sport F1 Team,29,21:10:52,5,,30.038,2:22.157
78,78,9,M. ERICSSON,Sauber F1 Team,31,21:17:01,6,,30.067,3:39.000
79,79,19,F. MASSA,Williams Martini Racing,37,21:27:05,6,,29.671,3:04.389
80,80,27,N. HULKENBERG,Renault Sport F1 Team,38,21:28:16,6,,1:08.357,3:30.176
81,81,31,E. OCON,Sahara Force India F1 Team,38,21:29:07,6,,29.134,2:52.632
82,82,20,K. MAGNUSSEN,Haas F1 Team,38,21:29:17,6,,29.379,2:55.128
