,Driver,stint_1,stint_2,stint_3,NO
0,Sebastian Vettel,Super soft,Super soft,Soft,5
1,Lewis Hamilton,Super soft,Soft,Soft,44
2,Valtteri Bottas,Super soft,Super soft,Soft,77
3,Kimi Raikkonen,Super soft,Super soft,Soft,7
4,Daniel Ricciardo,Super soft,Soft,Super soft,3
5,Felipe Massa,Super soft,Soft,Soft,19
6,Sergio Perez,Super soft,Super soft,Soft,11
7,Romain Grosjean,Super soft,Super soft,Soft,8
8,Nico Hulkenberg,Super soft,Soft,Super soft,27
9,Esteban Ocon,Super soft,Super soft,Soft,31
10,Pascal Wehrlein,Super soft,Soft,,94
11,Daniil Kvyat,Super soft,Soft,Super soft,26
12,Jolyon Palmer,Super soft,Soft,Super soft,30
13,Fernando Alonso,Super soft,Soft,Super soft,14
14,Marcus Ericsson,Soft,Super soft,,9
15,Carlos Sainz Jnr,Super soft,Super soft,,55
16,Lance Stroll,Super soft,Soft,,18
17,Max Verstappen,Super soft,,,33
18,Kevin Magnussen,Super soft,,,20
19,Stoffel Vandoorne,,,,2
20,Stoffel Vandoorne,,,,47
