,Driver,stint_1,stint_2,stint_3,stint_4,NO
0,Lewis Hamilton,Ultra soft,Soft,,,44
1,Sebastian Vettel,Ultra soft,Super soft,Soft,,5
2,Valtteri Bottas,Ultra soft,Soft,,,77
3,Max Verstappen,Ultra soft,Soft,Ultra soft,,33
4,Nico Rosberg,Ultra soft,Soft,Soft,,6
5,Kimi Raikkonen,Ultra soft,Super soft,Soft,,7
6,Daniel Ricciardo,Ultra soft,Soft,Soft,,3
7,Nico Hulkenberg,Ultra soft,Soft,Soft,,27
8,Carlos Sainz Jnr,Ultra soft,Soft,Ultra soft,,55
9,Sergio Perez,Soft,Super soft,Soft,,11
10,Fernando Alonso,Ultra soft,Soft,,,14
11,Daniil Kvyat,Ultra soft,Soft,Ultra soft,,26
12,Esteban Gutierrez,Ultra soft,Soft,Ultra soft,,21
13,Romain Grosjean,Ultra soft,Soft,Ultra soft,Ultra soft,8
14,Marcus Ericsson,Ultra soft,Soft,Soft,,9
15,Kevin Magnussen,Soft,Ultra soft,,,20
16,Pascal Wehrlein,Ultra soft,Soft,Soft,,94
17,Felipe Nasr,Ultra soft,Soft,Soft,,12
18,Rio Haryanto,Super soft,Soft,Soft,,88
19,Felipe Massa,Ultra soft,Soft,,,19
20,Jolyon Palmer,Ultra soft,,,,30
21,Jenson Button,Super soft,,,,22
