,NO,STOP,race_id,year,race_in_year,track
0,3,2,4,2016,18,Mexico City
1,5,1,4,2016,18,Mexico City
2,6,1,4,2016,18,Mexico City
3,7,2,4,2016,18,Mexico City
4,8,2,4,2016,18,Mexico City
5,9,1,4,2016,18,Mexico City
6,11,1,4,2016,18,Mexico City
7,12,1,4,2016,18,Mexico City
8,14,2,4,2016,18,Mexico City
9,19,1,4,2016,18,Mexico City
10,20,1,4,2016,18,Mexico City
11,21,2,4,2016,18,Mexico City
12,22,1,4,2016,18,Mexico City
13,26,2,4,2016,18,Mexico City
14,27,1,4,2016,18,Mexico City
15,30,1,4,2016,18,Mexico City
16,31,1,4,2016,18,Mexico City
17,33,1,4,2016,18,Mexico City
18,44,1,4,2016,18,Mexico City
19,55,1,4,2016,18,Mexico City
20,77,1,4,2016,18,Mexico City
