,Unnamed: 0,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,STOP,Unnamed: 6,DURATION,TOTAL TIME
0,0,18,L. STROLL,Williams Racing,11,17:23:10,1,,21.613000000000003,21.613
1,1,2,S. VANDOORNE,McLaren Honda,12,17:24:58,1,,22.125,22.125
2,2,33,M. VERSTAPPEN,Red Bull Racing,14,17:27:48,1,,21.269,21.269
3,3,7,K. RAIKKONEN,Scuderia Ferrari,15,17:29:30,1,,21.609,21.609
4,4,11,S. PEREZ,Sahara Force India F1 Team,16,17:31:34,1,,21.869,21.869
5,5,27,N. HULKENBERG,Renault Sport F1 Team,17,17:33:10,1,,29.724,29.724
6,6,3,D. RICCIARDO,Red Bull Racing,19,17:36:18,1,,23.477,23.477
7,7,5,S. VETTEL,Scuderia Ferrari,20,17:37:57,1,,21.221,21.221
8,8,77,V. BOTTAS,Mercedes AMG Petronas F1 Team,21,17:39:31,1,,21.478,21.478
9,9,14,F. ALONSO,McLaren Honda,21,17:40:31,1,,22.541,22.541
10,10,19,F. MASSA,Williams Racing,22,17:42:15,1,,21.449,21.449
11,11,20,K. MAGNUSSEN,Haas F1 Team,22,17:42:42,1,,21.875,21.875
12,12,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,24,17:44:41,1,,21.274,21.274
13,13,28,B. HARTLEY,Scuderia Toro Rosso,26,17:49:52,1,,21.598000000000006,21.598
14,14,94,P. WEHRLEIN,Sauber F1 Team,28,17:53:13,1,,22.959,22.959
15,15,18,L. STROLL,Williams Racing,29,17:55:13,2,,21.543000000000006,43.156
16,16,10,P. GASLY,Scuderia Toro Rosso,30,17:56:53,1,,21.519,21.519
17,17,9,M. ERICSSON,Sauber F1 Team,30,17:56:57,1,,22.176,22.176
18,18,31,E. OCON,Sahara Force India F1 Team,31,17:57:47,1,,21.865,21.865
19,19,55,C. SAINZ,Renault Sport F1 Team,31,17:57:49,1,,21.956,21.956
20,20,8,R. GROSJEAN,Haas F1 Team,32,17:59:52,1,,21.85,21.850
21,21,18,L. STROLL,Williams Racing,35,18:06:11,3,,21.908,1:05.064
