,Unnamed: 0,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,STOP,Unnamed: 6,DURATION,TOTAL TIME
0,0,26,D. KVYAT,Red Bull Racing,1,15:05:38,1,,41.282,41.282
1,1,3,D. RICCIARDO,Red Bull Racing,1,15:05:43,1,,47.76300000000001,47.763
2,2,9,M. ERICSSON,Sauber F1 Team,1,15:05:50,1,,30.529,30.529
3,3,11,S. PEREZ,Sahara Force India F1 Team,1,15:06:03,1,,32.8,32.800
4,4,21,E. GUTIERREZ,Haas F1 Team,1,15:06:09,1,,40.169,40.169
5,5,26,D. KVYAT,Red Bull Racing,8,15:20:21,2,,38.906,1:20.188
6,6,21,E. GUTIERREZ,Haas F1 Team,9,15:22:11,2,,25.037,1:05.206
7,7,55,C. SAINZ,Scuderia Toro Rosso,11,15:25:31,1,,30.805,30.805
8,8,12,F. NASR,Sauber F1 Team,12,15:27:22,1,,30.259,30.259
9,9,94,P. WEHRLEIN,Manor Racing MRT,13,15:29:06,1,,31.433000000000003,31.433
10,10,30,J. PALMER,Renault Sport F1 Team,14,15:30:40,1,,30.805,30.805
11,11,77,V. BOTTAS,Williams Martini Racing,16,15:33:39,1,,29.841,29.841
12,12,20,K. MAGNUSSEN,Renault Sport F1 Team,16,15:34:05,1,,30.585,30.585
13,13,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,17,15:35:21,1,,30.001,30.001
14,14,8,R. GROSJEAN,Haas F1 Team,17,15:35:49,1,,31.42,31.420
15,15,19,F. MASSA,Williams Martini Racing,18,15:37:14,1,,29.551,29.551
16,16,7,K. RAIKKONEN,Scuderia Ferrari,20,15:40:29,1,,30.498,30.498
17,17,22,J. BUTTON,McLaren Honda,20,15:41:08,1,,30.58,30.580
18,18,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,21,15:41:55,1,,29.709,29.709
19,19,14,F. ALONSO,McLaren Honda,21,15:42:40,1,,29.751,29.751
20,20,33,M. VERSTAPPEN,Scuderia Toro Rosso,22,15:44:13,1,,30.553,30.553
21,21,11,S. PEREZ,Sahara Force India F1 Team,27,15:53:11,2,,30.4,1:03.200
22,22,9,M. ERICSSON,Sauber F1 Team,28,15:55:13,2,,30.433000000000003,1:00.962
23,23,3,D. RICCIARDO,Red Bull Racing,29,15:57:02,2,,31.205,1:18.968
24,24,94,P. WEHRLEIN,Manor Racing MRT,39,16:14:54,2,,57.151,1:28.584
25,25,19,F. MASSA,Williams Martini Racing,46,16:25:17,2,,30.065,59.616
