,Driver,stint_1,stint_2,stint_3,NO
0,Nico Rosberg,Super soft,Soft,,6
1,Lewis Hamilton,Super soft,Soft,,44
2,Kimi Raikkonen,Super soft,Soft,,7
3,Valtteri Bottas,Super soft,Soft,,77
4,Felipe Massa,Super soft,Soft,Super soft,19
5,Fernando Alonso,Super soft,Soft,,14
6,Kevin Magnussen,Super soft,Soft,,20
7,Romain Grosjean,Super soft,Soft,,8
8,Sergio Perez,Super soft,Soft,Soft,11
9,Jenson Button,Super soft,Soft,,22
10,Carlos Sainz Jnr,Super soft,Soft,,55
11,Daniel Ricciardo,Super soft,Medium,Soft,3
12,Jolyon Palmer,Super soft,Soft,,30
13,Marcus Ericsson,Soft,Super soft,Super soft,9
14,Daniil Kvyat,Super soft,Medium,,26
15,Felipe Nasr,Super soft,Soft,,12
16,Esteban Gutierrez,Soft,Medium,Medium,21
17,Pascal Wehrlein,Super soft,Soft,Super soft,94
18,Max Verstappen,Super soft,Soft,,33
19,Sebastian Vettel,Super soft,,,5
20,Nico Hulkenberg,Super soft,,,27
21,Rio Haryanto,Super soft,,,88
