,NO,STOP,race_id
0,2,1,16
1,5,1,16
2,7,1,16
3,11,1,16
4,19,1,16
5,26,2,16
6,27,2,16
7,31,1,16
8,33,1,16
9,36,1,16
10,44,1,16
11,55,1,16
12,77,1,16
