,Driver,stint_1,stint_2,stint_3,stint_4,stint_5,stint_6,NO
0,Lewis Hamilton,Wet,Wet,Wet,,,,44
1,Nico Rosberg,Wet,Wet,Wet,,,,6
2,Max Verstappen,Wet,Intermediate,Wet,Wet,Intermediate,Wet,33
3,Sergio Perez,Wet,Wet,Wet,,,,11
4,Sebastian Vettel,Wet,Intermediate,Wet,Wet,,,5
5,Carlos Sainz Jnr,Wet,Wet,Wet,,,,55
6,Nico Hulkenberg,Wet,Wet,Wet,Wet,,,27
7,Daniel Ricciardo,Wet,Intermediate,Wet,Wet,Intermediate,Wet,3
8,Felipe Nasr,Wet,Wet,Wet,,,,12
9,Fernando Alonso,Wet,Intermediate,Wet,Wet,,,14
10,Valtteri Bottas,Wet,Intermediate,Wet,Wet,Intermediate,,77
11,Esteban Ocon,Wet,Wet,Wet,,,,31
12,Daniil Kvyat,Wet,Intermediate,Intermediate,Wet,Wet,,26
13,Kevin Magnussen,Wet,Intermediate,Wet,Wet,Intermediate,,20
14,Pascal Wehrlein,Wet,Wet,Wet,Wet,,,94
15,Jenson Button,Wet,Intermediate,Wet,Wet,Intermediate,Wet,22
16,Esteban Gutierrez,Wet,Intermediate,Wet,Wet,Wet,,21
17,Felipe Massa,Wet,Intermediate,Wet,Wet,Intermediate,,19
18,Jolyon Palmer,Wet,Intermediate,Wet,,,,30
19,Kimi Raikkonen,Wet,,,,,,7
20,Marcus Ericsson,Wet,Intermediate,,,,,9
