,NO,STOP,race_id
0,2,2,18
1,3,2,18
2,5,2,18
3,7,3,18
4,8,2,18
5,9,3,18
6,18,2,18
7,19,2,18
8,20,3,18
9,26,2,18
10,27,2,18
11,30,2,18
12,31,3,18
13,44,2,18
14,55,2,18
15,77,2,18
