,Driver,stint_1,stint_2,stint_3,stint_4,NO
0,Lewis Hamilton,Super soft,Soft,Soft,,44
1,Nico Rosberg,Super soft,Soft,Soft,,6
2,Daniel Ricciardo,Super soft,Soft,Soft,,3
3,Sebastian Vettel,Super soft,Soft,Soft,,5
4,Max Verstappen,Super soft,Soft,Soft,,33
5,Kimi Raikkonen,Soft,Super soft,Super soft,,7
6,Fernando Alonso,Super soft,Soft,Soft,,14
7,Carlos Sainz Jnr,Super soft,Soft,Soft,,55
8,Valtteri Bottas,Super soft,Soft,Soft,,77
9,Nico Hulkenberg,Super soft,Soft,Soft,,27
10,Sergio Perez,Soft,Medium,Soft,,11
11,Esteban Gutierrez,Super soft,Soft,Soft,,21
12,Jolyon Palmer,Soft,Super soft,Soft,,30
13,Romain Grosjean,Super soft,Soft,Soft,,8
14,Kevin Magnussen,Super soft,Super soft,Soft,,20
15,Daniil Kvyat,Soft,Super soft,Super soft,,26
16,Felipe Nasr,Super soft,Soft,Soft,,12
17,Felipe Massa,Soft,Medium,Super soft,,19
18,Pascal Wehrlein,Super soft,Soft,Soft,,94
19,Marcus Ericsson,Soft,Soft,Super soft,Super soft,9
20,Rio Haryanto,Soft,Medium,,,88
21,Jenson Button,Super soft,Soft,Medium,,22
