,Driver,stint_1,stint_2,stint_3,NO
0,Lewis Hamilton,Soft,Medium,,44
1,Nico Rosberg,Soft,Medium,,6
2,Max Verstappen,Super soft,Medium,,33
3,Sebastian Vettel,Soft,Medium,,5
4,Daniel Ricciardo,Super soft,Medium,Soft,3
5,Kimi Raikkonen,Soft,Medium,Medium,7
6,Nico Hulkenberg,Super soft,Medium,,27
7,Valtteri Bottas,Super soft,Medium,,77
8,Felipe Massa,Super soft,Medium,,19
9,Sergio Perez,Soft,Medium,,11
10,Marcus Ericsson,Soft,Medium,,9
11,Jenson Button,Soft,Medium,,22
12,Fernando Alonso,Soft,Medium,Soft,14
13,Jolyon Palmer,Super soft,Medium,,30
14,Carlos Sainz Jnr,Super soft,Medium,,55
15,Felipe Nasr,Medium,Super soft,,12
16,Daniil Kvyat,Soft,Soft,Super soft,26
17,Kevin Magnussen,Soft,Medium,Super soft,20
18,Esteban Gutierrez,Soft,Medium,Soft,21
19,Romain Grosjean,Soft,Medium,Soft,8
20,Esteban Ocon,Soft,Medium,,31
21,Pascal Wehrlein,,,,94
