,Unnamed: 0,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,STOP,Unnamed: 6,DURATION,TOTAL TIME
0,0,33,M. VERSTAPPEN,Red Bull Racing,1,14:05:46,1,,31.235,31.235
1,1,12,F. NASR,Sauber F1 Team,1,14:05:52,1,,26.390,26.390
2,2,5,S. VETTEL,Scuderia Ferrari,1,14:05:53,1,,22.403,22.403
3,3,7,K. RAIKKONEN,Scuderia Ferrari,1,14:06:21,1,,1:27.084,1:27.084
4,4,19,F. MASSA,Williams Martini Racing,2,14:07:44,1,,22.484,22.484
5,5,27,N. HULKENBERG,Sahara Force India F1 Team,6,14:15:53,1,,23.564,23.564
6,6,7,K. RAIKKONEN,Scuderia Ferrari,5,14:15:56,2,,23.061,1:50.145
7,7,11,S. PEREZ,Sahara Force India F1 Team,6,14:16:04,1,,23.783,23.783
8,8,8,R. GROSJEAN,Haas F1 Team,6,14:16:08,1,,23.705,23.705
9,9,30,J. PALMER,Renault Sport F1 Team,6,14:16:08,1,,22.698,22.698
10,10,31,E. OCON,Manor Racing MRT,6,14:16:18,1,,28.718,28.718
11,11,77,V. BOTTAS,Williams Martini Racing,7,14:18:36,1,,22.190,22.190
12,12,21,E. GUTIERREZ,Haas F1 Team,7,14:18:38,1,,23.486,23.486
13,13,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,9,14:24:29,1,,16:36.150,16:36.150
14,14,3,D. RICCIARDO,Red Bull Racing,9,14:24:30,1,,16:38.401,16:38.401
15,15,27,N. HULKENBERG,Sahara Force India F1 Team,9,14:24:31,2,,16:38.468,17:02.032
16,16,14,F. ALONSO,McLaren Honda,9,14:24:32,1,,16:38.234,16:38.234
17,17,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,9,14:24:34,1,,16:40.478,16:40.478
18,18,19,F. MASSA,Williams Martini Racing,9,14:24:35,2,,16:40.664,17:03.148
19,19,11,S. PEREZ,Sahara Force India F1 Team,9,14:24:36,2,,16:40.284,17:04.067
20,20,26,D. KVYAT,Scuderia Toro Rosso,9,14:24:38,1,,16:40.466,16:40.466
21,21,30,J. PALMER,Renault Sport F1 Team,9,14:24:40,2,,16:40.234,17:02.932
22,22,8,R. GROSJEAN,Haas F1 Team,9,14:24:42,2,,16:39.366,17:03.071
23,23,5,S. VETTEL,Scuderia Ferrari,9,14:24:44,2,,16:38.511,17:00.914
24,24,77,V. BOTTAS,Williams Martini Racing,9,14:24:46,2,,16:38.328,17:00.518
25,25,21,E. GUTIERREZ,Haas F1 Team,9,14:24:48,2,,16:38.622,17:02.108
26,26,33,M. VERSTAPPEN,Red Bull Racing,9,14:24:49,2,,16:38.546,17:09.781
28,28,31,E. OCON,Manor Racing MRT,9,14:24:51,2,,16:40.980,17:09.698
29,29,12,F. NASR,Sauber F1 Team,9,14:24:52,2,,16:41.198,17:07.588
30,30,7,K. RAIKKONEN,Scuderia Ferrari,9,14:25:53,3,,15:43.158,17:33.303
31,31,33,M. VERSTAPPEN,Red Bull Racing,16,14:55:40,3,,23.231,17:33.012
32,32,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,21,15:05:00,2,,24.343,17:04.821
33,33,26,D. KVYAT,Scuderia Toro Rosso,21,15:05:19,2,,23.359,17:03.825
34,34,19,F. MASSA,Williams Martini Racing,22,15:07:04,3,,22.515,17:25.663
35,35,21,E. GUTIERREZ,Haas F1 Team,22,15:07:18,3,,23.561,17:25.669
36,36,30,J. PALMER,Renault Sport F1 Team,22,15:07:20,3,,23.333,17:26.265
37,37,27,N. HULKENBERG,Sahara Force India F1 Team,23,15:08:55,3,,24.015,17:26.047
38,38,14,F. ALONSO,McLaren Honda,23,15:08:57,2,,22.451,17:00.685
39,39,5,S. VETTEL,Scuderia Ferrari,23,15:09:03,3,,22.762,17:23.676
40,40,77,V. BOTTAS,Williams Martini Racing,23,15:09:06,3,,22.318,17:22.836
41,41,8,R. GROSJEAN,Haas F1 Team,23,15:09:21,3,,23.107,17:26.178
42,42,12,F. NASR,Sauber F1 Team,23,15:09:23,3,,30.238,17:37.826
43,43,11,S. PEREZ,Sahara Force India F1 Team,24,15:10:56,3,,22.652,17:26.719
44,44,7,K. RAIKKONEN,Scuderia Ferrari,24,15:11:06,4,,23.056,17:56.359
45,45,31,E. OCON,Manor Racing MRT,24,15:11:25,3,,24.208,17:33.906
46,46,3,D. RICCIARDO,Red Bull Racing,25,15:12:33,2,,22.531,17:00.932
47,47,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,26,15:14:15,2,,22.596,16:58.746
48,48,33,M. VERSTAPPEN,Red Bull Racing,27,15:17:02,4,,22.727,17:55.739
49,49,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,32,15:26:06,3,,22.432,17:27.253
50,50,30,J. PALMER,Renault Sport F1 Team,34,15:30:48,4,,22.578,17:48.843
51,51,26,D. KVYAT,Scuderia Toro Rosso,35,15:32:37,3,,23.363,17:27.188
