,NO,GAP,TIME,LAP,race_id
0,5,0,1:34.380,1,17
1,7,2.431,1:36.811,1,17
2,77,4.314,1:38.694,1,17
3,33,6.775,1:41.155,1,17
4,44,8.234,1:42.614,1,17
5,55,9.770,1:44.150,1,17
6,14,11.768,1:46.148,1,17
7,11,12.619,1:46.999,1,17
8,2,14.501,1:48.881,1,17
9,31,15.387,1:49.767,1,17
10,30,16.656,1:51.036,1,17
11,27,17.742,1:52.122,1,17
12,20,18.533,1:52.913,1,17
13,26,20.227,1:54.607,1,17
14,18,20.906,1:55.286,1,17
15,8,21.879,1:56.259,1,17
16,9,PIT,1:56.492,1,17
17,94,22.727,1:57.107,1,17
18,40,24.098,1:58.478,1,17
19,5,0,2:16.819,2,17
20,7,0.932,2:15.320,2,17
21,77,2.258,2:14.763,2,17
22,33,3.835,2:13.879,2,17
23,44,5.790,2:14.375,2,17
24,55,6.793,2:13.842,2,17
25,14,8.061,2:13.112,2,17
26,11,8.626,2:12.826,2,17
27,2,10.664,2:12.982,2,17
28,31,11.341,2:12.773,2,17
29,30,12.557,2:12.720,2,17
30,27,13.565,2:12.642,2,17
31,20,14.252,2:12.538,2,17
32,26,15.163,2:11.755,2,17
33,18,16.213,2:12.126,2,17
34,8,17.296,2:12.236,2,17
35,94,18.865,2:12.957,2,17
36,40,19.764,2:12.485,2,17
37,9,22.093,2:16.800,2,17
38,5,0,2:11.513,3,17
39,7,1.539,2:12.120,3,17
40,77,3.083,2:12.338,3,17
41,33,4.548,2:12.226,3,17
42,44,6.713,2:12.436,3,17
43,55,8.275,2:12.995,3,17
44,14,9.102,2:12.554,3,17
45,11,10.020,2:12.907,3,17
46,2,10.990,2:11.839,3,17
47,31,11.820,2:11.992,3,17
48,30,13.009,2:11.965,3,17
49,27,13.999,2:11.947,3,17
50,20,14.841,2:12.102,3,17
51,26,15.739,2:12.089,3,17
52,18,16.516,2:11.816,3,17
53,8,18.269,2:12.486,3,17
54,94,PIT,2:10.986,3,17
55,40,19.548,2:11.297,3,17
56,9,21.282,2:10.702,3,17
57,5,0,2:10.155,4,17
58,7,1.087,2:09.703,4,17
59,77,2.507,2:09.579,4,17
60,33,3.426,2:09.033,4,17
61,44,5.746,2:09.188,4,17
62,55,7.782,2:09.662,4,17
63,14,8.927,2:09.980,4,17
64,11,10.006,2:10.141,4,17
65,2,10.896,2:10.061,4,17
66,31,11.537,2:09.872,4,17
67,30,13.011,2:10.157,4,17
68,27,14.012,2:10.168,4,17
69,20,14.861,2:10.175,4,17
70,26,15.817,2:10.233,4,17
71,18,16.685,2:10.324,4,17
72,8,17.959,2:09.845,4,17
73,40,19.170,2:09.777,4,17
74,9,20.738,2:09.611,4,17
75,94,21.554,2:13.371,4,17
76,5,0,2:07.597,5,17
77,7,0.720,2:07.230,5,17
78,77,1.277,2:06.367,5,17
79,33,1.843,2:06.014,5,17
80,44,2.076,2:03.927,5,17
81,55,2.769,2:02.584,5,17
82,14,2.845,2:01.515,5,17
83,11,3.332,2:00.923,5,17
84,2,3.683,2:00.384,5,17
85,31,4.113,2:00.173,5,17
86,30,4.606,1:59.192,5,17
87,27,5.058,1:58.643,5,17
88,20,5.543,1:58.279,5,17
89,26,5.976,1:57.756,5,17
90,18,6.482,1:57.394,5,17
91,8,6.600,1:56.238,5,17
92,40,7.207,1:55.634,5,17
93,9,7.587,1:54.446,5,17
94,94,7.989,1:54.032,5,17
95,5,0,1:23.137,6,17
96,7,1.290,1:23.707,6,17
97,77,2.624,1:24.484,6,17
98,33,3.599,1:24.893,6,17
99,44,4.551,1:25.612,6,17
100,55,5.842,1:26.210,6,17
101,14,6.663,1:26.955,6,17
102,11,7.368,1:27.173,6,17
103,2,8.141,1:27.595,6,17
104,31,8.797,1:27.821,6,17
