,Driver,stint_1,stint_2,stint_3,stint_4,NO
0,Daniel Ricciardo,Soft,Hard,Soft,,3
1,Max Verstappen,Soft,Soft,Hard,Soft,33
2,Nico Rosberg,Soft,Hard,Hard,Soft,6
3,Kimi Raikkonen,Soft,Hard,Hard,Soft,7
4,Valtteri Bottas,Medium,Hard,,,77
5,Sergio Perez,Soft,Medium,Hard,,11
6,Fernando Alonso,Soft,Hard,Soft,Soft,14
7,Nico Hulkenberg,Soft,Medium,Hard,Soft,27
8,Jenson Button,Soft,Hard,Soft,,22
9,Jolyon Palmer,Hard,Soft,,,30
10,Carlos Sainz Jnr,Soft,Hard,Soft,,55
11,Marcus Ericsson,Soft,Soft,Hard,,9
12,Felipe Massa,Soft,Hard,Hard,Medium,19
13,Daniil Kvyat,Soft,Hard,Soft,Soft,26
14,Pascal Wehrlein,Soft,Hard,Hard,Soft,94
15,Esteban Ocon,Soft,Hard,Hard,,31
16,Felipe Nasr,Medium,Hard,,,12
17,Lewis Hamilton,Soft,Hard,,,44
18,Esteban Gutierrez,Soft,Soft,Hard,,21
19,Kevin Magnussen,Medium,Hard,,,20
20,Romain Grosjean,Soft,,,,8
21,Sebastian Vettel,,,,,5
