,Driver,stint_1,stint_2,stint_3,NO
0,Valtteri Bottas,Ultra soft,Super soft,,77
1,Sebastian Vettel,Ultra soft,Super soft,,5
2,Kimi Raikkonen,Ultra soft,Super soft,,7
3,Lewis Hamilton,Ultra soft,Super soft,,44
4,Max Verstappen,Ultra soft,Super soft,,33
5,Sergio Perez,Ultra soft,Super soft,,11
6,Esteban Ocon,Ultra soft,Super soft,,31
7,Nico Hulkenberg,Ultra soft,Super soft,,27
8,Felipe Massa,Ultra soft,Super soft,Ultra soft,19
9,Carlos Sainz Jnr,Ultra soft,Super soft,,55
10,Lance Stroll,Ultra soft,Super soft,,18
11,Daniil Kvyat,Ultra soft,Super soft,,26
12,Kevin Magnussen,Ultra soft,Super soft,,20
13,Stoffel Vandoorne,Super soft,Ultra soft,Ultra soft,2
14,Stoffel Vandoorne,Super soft,Ultra soft,Ultra soft,47
15,Marcus Ericsson,Super soft,Ultra soft,Ultra soft,9
16,Pascal Wehrlein,Super soft,Ultra soft,Ultra soft,94
17,Daniel Ricciardo,Ultra soft,,,3
