,Driver,stint_1,stint_2,stint_3,stint_4,NO
0,Lewis Hamilton,Wet,Ultra soft,,,44
1,Daniel Ricciardo,Wet,Intermediate,Super soft,,3
2,Sergio Perez,Wet,Intermediate,Soft,,11
3,Sebastian Vettel,Wet,Intermediate,Soft,,5
4,Fernando Alonso,Wet,Intermediate,Super soft,,14
5,Nico Hulkenberg,Wet,Intermediate,Soft,,27
6,Nico Rosberg,Wet,Intermediate,Ultra soft,,6
7,Carlos Sainz Jnr,Wet,Intermediate,Super soft,,55
8,Jenson Button,Wet,Intermediate,Super soft,,22
9,Felipe Massa,Wet,Intermediate,Super soft,,19
10,Valtteri Bottas,Wet,Intermediate,Super soft,Ultra soft,77
11,Esteban Gutierrez,Wet,Intermediate,Ultra soft,,21
12,Pascal Wehrlein,Wet,Ultra soft,,,94
13,Romain Grosjean,Wet,Intermediate,Ultra soft,,8
14,Rio Haryanto,Wet,Intermediate,Ultra soft,Ultra soft,88
15,Marcus Ericsson,Wet,Intermediate,Ultra soft,Ultra soft,9
16,Felipe Nasr,Wet,Intermediate,Ultra soft,,12
17,Max Verstappen,Wet,Intermediate,Soft,,33
18,Kevin Magnussen,Wet,Intermediate,Intermediate,Super soft,20
19,Daniil Kvyat,Wet,Intermediate,,,26
20,Kimi Raikkonen,Wet,,,,7
21,Jolyon Palmer,Wet,,,,30
