,Driver,stint_1,stint_2,stint_3,NO
0,Sebastian Vettel,Super soft,Soft,,5
1,Kimi Raikkonen,Super soft,Soft,,7
2,Valtteri Bottas,Super soft,Soft,,77
3,Lewis Hamilton,Super soft,Soft,,44
4,Max Verstappen,Super soft,Soft,,33
5,Fernando Alonso,Super soft,Soft,,14
6,Carlos Sainz Jnr,Super soft,Soft,,55
7,Sergio Perez,Super soft,Soft,,11
8,Esteban Ocon,Super soft,Soft,,31
9,Stoffel Vandoorne,Super soft,Soft,,2
10,Stoffel Vandoorne,Super soft,Soft,,47
11,Kevin Magnussen,Super soft,Soft,,20
12,Daniil Kvyat,Soft,Super soft,,26
13,Jolyon Palmer,Super soft,Soft,,30
14,Lance Stroll,Super soft,Soft,,18
15,Pascal Wehrlein,Super soft,Soft,Soft,94
16,Marcus Ericsson,Super soft,Soft,Super soft,9
17,Nico Hulkenberg,Super soft,Soft,,27
18,Paul di Resta,Soft,Super soft,,40
19,Romain Grosjean,Super soft,Soft,,8
20,Daniel Ricciardo,Super soft,,,3
