,NO,STOP,race_id
0,3,2,28
1,5,2,28
2,7,2,28
3,8,2,28
4,11,2,28
5,19,2,28
6,26,2,28
7,27,2,28
8,30,2,28
9,31,2,28
10,44,2,28
11,77,2,28
12,94,1,28
