,Unnamed: 0,NO,DRIVER,ENTRANT,LAP,TIME OF DAY,STOP,Unnamed: 6,DURATION,TOTAL TIME
0,0,20,K. MAGNUSSEN,Renault Sport F1 Team,1,17:05:37,1,,27.068,27.068
1,1,55,C. SAINZ,Scuderia Toro Rosso,6,17:14:43,1,,21.761,21.761
2,2,94,P. WEHRLEIN,Manor Racing MRT,6,17:14:44,1,,33.395,33.395
3,3,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,7,17:16:01,1,,22.600,22.600
4,4,7,K. RAIKKONEN,Scuderia Ferrari,7,17:16:05,1,,21.959,21.959
5,5,14,F. ALONSO,McLaren Honda,7,17:16:19,1,,22.428,22.428
6,6,30,J. PALMER,Renault Sport F1 Team,7,17:16:27,1,,24.781,24.781
7,7,12,F. NASR,Sauber F1 Team,7,17:16:34,1,,23.272,23.272
8,8,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,8,17:17:48,1,,23.753,23.753
9,9,5,S. VETTEL,Scuderia Ferrari,8,17:17:54,1,,21.711,21.711
10,10,27,N. HULKENBERG,Sahara Force India F1 Team,8,17:17:59,1,,21.834,21.834
11,11,19,F. MASSA,Williams Racing,8,17:18:07,1,,21.775,21.775
12,12,26,D. KVYAT,Scuderia Toro Rosso,8,17:18:19,1,,21.896,21.896
13,13,21,E. GUTIERREZ,Haas F1 Team,8,17:18:19,1,,22.032,22.032
14,14,3,D. RICCIARDO,Red Bull Racing,9,17:19:37,1,,22.084,22.084
15,15,11,S. PEREZ,Sahara Force India F1 Team,9,17:19:50,1,,21.308,21.308
16,16,8,R. GROSJEAN,Haas F1 Team,20,17:40:10,1,,22.838,22.838
17,17,33,M. VERSTAPPEN,Red Bull Racing,21,17:41:22,1,,21.221,21.221
18,18,30,J. PALMER,Renault Sport F1 Team,21,17:42:16,2,,22.145,46.926
19,19,31,E. OCON,Manor Racing MRT,22,17:43:59,1,,24.035,24.035
20,20,3,D. RICCIARDO,Red Bull Racing,24,17:46:46,2,,21.768,43.852
21,21,94,P. WEHRLEIN,Manor Racing MRT,24,17:47:52,2,,22.949,56.344
22,22,7,K. RAIKKONEN,Scuderia Ferrari,25,17:48:31,2,,22.087,44.046
23,23,27,N. HULKENBERG,Sahara Force India F1 Team,26,17:50:33,2,,21.482,43.316
24,24,11,S. PEREZ,Sahara Force India F1 Team,27,17:52:26,2,,22.012,43.320
25,25,44,L. HAMILTON,Mercedes AMG Petronas F1 Team,28,17:53:38,2,,21.355,43.955
26,26,21,E. GUTIERREZ,Haas F1 Team,28,17:54:49,2,,22.102,44.134
28,28,55,C. SAINZ,Scuderia Toro Rosso,28,17:55:00,2,,21.935,43.696
29,29,6,N. ROSBERG,Mercedes AMG Petronas F1 Team,29,17:55:27,2,,21.218,44.971
30,30,19,F. MASSA,Williams Racing,30,17:57:55,2,,21.539,43.314
31,31,31,E. OCON,Manor Racing MRT,36,18:09:38,2,,23.026,47.061
32,32,12,F. NASR,Sauber F1 Team,36,18:09:42,2,,29.933,53.205
33,33,5,S. VETTEL,Scuderia Ferrari,37,18:09:47,2,,21.872,43.583
34,34,14,F. ALONSO,McLaren Honda,38,18:12:17,2,,22.248,44.676
35,35,8,R. GROSJEAN,Haas F1 Team,38,18:12:35,2,,22.527,45.365
36,36,9,M. ERICSSON,Sauber F1 Team,38,18:13:21,1,,22.991,22.991
37,37,30,J. PALMER,Renault Sport F1 Team,41,18:18:52,3,,22.588,1:09.514
