,NO,STOP,race_id
0,2,4,32
1,3,4,32
2,5,4,32
3,8,5,32
4,9,3,32
5,14,3,32
6,18,3,32
7,20,3,32
8,31,4,32
9,44,4,32
10,55,3,32
11,77,4,32
12,94,5,32
