,Driver,stint_1,stint_2,stint_3,stint_4,NO
0,Lewis Hamilton,Ultra soft,Soft,Soft,,44
1,Sebastian Vettel,Ultra soft,Soft,Ultra soft,,5
2,Daniel Ricciardo,Ultra soft,Super soft,Ultra soft,,3
3,Kimi Raikkonen,Ultra soft,Soft,Ultra soft,,7
4,Valtteri Bottas,Ultra soft,Soft,Soft,,77
5,Nico Hulkenberg,Ultra soft,Soft,Ultra soft,,27
6,Romain Grosjean,Ultra soft,Soft,Super soft,,8
7,Felipe Massa,Super soft,Soft,Ultra soft,,19
8,Esteban Ocon,Ultra soft,Super soft,Super soft,Ultra soft,31
9,Carlos Sainz Jnr,Ultra soft,Soft,Super soft,,55
10,Lance Stroll,Super soft,Soft,Ultra soft,,18
11,Daniil Kvyat,Super soft,Ultra soft,Ultra soft,,26
12,Jolyon Palmer,Ultra soft,Soft,Ultra soft,,30
13,Stoffel Vandoorne,Super soft,Ultra soft,Ultra soft,,2
14,Stoffel Vandoorne,Super soft,Ultra soft,Ultra soft,,47
15,Kevin Magnussen,Ultra soft,Soft,Super soft,Ultra soft,20
16,Marcus Ericsson,Super soft,Soft,Soft,Ultra soft,9
17,Sergio Perez,Ultra soft,Super soft,Super soft,Ultra soft,11
18,Fernando Alonso,Ultra soft,Soft,,,14
19,Max Verstappen,Ultra soft,,,,33
20,Pascal Wehrlein,Soft,,,,94
