,Driver,stint_1,stint_2,stint_3,stint_4,stint_5,NO
0,Daniel Ricciardo,Super soft,Soft,Super soft,Super soft,,3
1,Valtteri Bottas,Super soft,Soft,Super soft,Super soft,,77
2,Lance Stroll,Super soft,Soft,Super soft,,,18
3,Sebastian Vettel,Super soft,Soft,Super soft,,,5
4,Lewis Hamilton,Super soft,Soft,Super soft,,,44
5,Esteban Ocon,Super soft,Soft,Super soft,Super soft,,31
6,Kevin Magnussen,Super soft,Soft,Super soft,,,20
7,Carlos Sainz Jnr,Super soft,Soft,Super soft,,,55
8,Fernando Alonso,Super soft,Soft,Super soft,,,14
9,Pascal Wehrlein,Super soft,Soft,Super soft,Super soft,,94
10,Marcus Ericsson,Soft,Super soft,Super soft,,,9
11,Stoffel Vandoorne,Soft,Super soft,Super soft,Super soft,,2
12,Stoffel Vandoorne,Soft,Super soft,Super soft,Super soft,,47
13,Romain Grosjean,Soft,Super soft,Super soft,Super soft,Super soft,8
14,Kimi Raikkonen,Super soft,Soft,Super soft,,,7
15,Sergio Perez,Super soft,Soft,Super soft,,,11
16,Felipe Massa,Super soft,Soft,Super soft,,,19
17,Nico Hulkenberg,Super soft,Soft,Super soft,,,27
18,Max Verstappen,Super soft,,,,,33
19,Daniil Kvyat,Super soft,,,,,26
20,Jolyon Palmer,Super soft,,,,,30
