,Driver,stint_1,stint_2,stint_3,stint_4,NO
0,Lewis Hamilton,Super soft,Soft,,,44
1,Max Verstappen,Super soft,Soft,,,33
2,Daniel Ricciardo,Super soft,Soft,,,3
3,Valtteri Bottas,Soft,Super soft,,,77
4,Kimi Raikkonen,Soft,Super soft,,,7
5,Esteban Ocon,Super soft,Soft,,,31
6,Sergio Perez,Super soft,Soft,,,11
7,Kevin Magnussen,Super soft,Soft,,,20
8,Romain Grosjean,Super soft,Soft,,,8
9,Felipe Massa,Super soft,Soft,,,19
10,Fernando Alonso,Super soft,Soft,,,14
11,Jolyon Palmer,Soft,Super soft,,,30
12,Pierre Gasly,Super soft,Soft,Super soft,,10
13,Stoffel Vandoorne,Super soft,Soft,Super soft,,2
14,Stoffel Vandoorne,Super soft,Soft,Super soft,,47
15,Pascal Wehrlein,Soft,Super soft,Soft,Soft,94
16,Lance Stroll,Super soft,Soft,Super soft,,18
17,Nico Hulkenberg,Soft,Super soft,,,27
18,Marcus Ericsson,Soft,,,,9
19,Sebastian Vettel,Super soft,,,,5
20,Carlos Sainz Jnr,,,,,55
