,NO,STOP,race_id,year,race_in_year,track
0,2,1,33,2017,9,Silverstone
1,3,1,33,2017,9,Silverstone
2,5,2,33,2017,9,Silverstone
3,7,2,33,2017,9,Silverstone
4,8,2,33,2017,9,Silverstone
5,9,1,33,2017,9,Silverstone
6,11,1,33,2017,9,Silverstone
7,18,2,33,2017,9,Silverstone
8,19,1,33,2017,9,Silverstone
9,20,1,33,2017,9,Silverstone
10,26,3,33,2017,9,Silverstone
11,27,1,33,2017,9,Silverstone
12,31,1,33,2017,9,Silverstone
13,33,2,33,2017,9,Silverstone
14,44,1,33,2017,9,Silverstone
15,77,1,33,2017,9,Silverstone
16,94,3,33,2017,9,Silverstone
