,Driver,stint_1,stint_2,stint_3,NO
0,Nico Rosberg,Super soft,Soft,,6
1,Sebastian Vettel,Super soft,Soft,,5
2,Sergio Perez,Super soft,Soft,,11
3,Kimi Raikkonen,Super soft,Soft,,7
4,Lewis Hamilton,Super soft,Soft,,44
5,Valtteri Bottas,Super soft,Soft,,77
6,Daniel Ricciardo,Super soft,Soft,Medium,3
7,Max Verstappen,Super soft,Soft,Medium,33
8,Nico Hulkenberg,Soft,Super soft,,27
9,Felipe Massa,Super soft,Soft,Soft,19
10,Jenson Button,Super soft,Soft,Soft,22
11,Felipe Nasr,Super soft,Soft,Soft,12
12,Romain Grosjean,Super soft,Soft,Medium,8
13,Kevin Magnussen,Super soft,Soft,,20
14,Jolyon Palmer,Super soft,Soft,Super soft,30
15,Esteban Gutierrez,Super soft,Soft,Super soft,21
16,Marcus Ericsson,Soft,Super soft,Soft,9
17,Rio Haryanto,Super soft,Soft,,88
18,Fernando Alonso,Super soft,Soft,Soft,14
19,Pascal Wehrlein,Soft,Medium,,94
20,Carlos Sainz Jnr,Super soft,Soft,Super soft,55
21,Daniil Kvyat,Super soft,Soft,,26
