,NO,STOP,race_id,year,race_in_year,track
0,2,1,26,2017,19,Yas Marina
1,5,1,26,2017,19,Yas Marina
2,7,1,26,2017,19,Yas Marina
3,8,1,26,2017,19,Yas Marina
4,9,1,26,2017,19,Yas Marina
5,10,1,26,2017,19,Yas Marina
6,11,1,26,2017,19,Yas Marina
7,14,1,26,2017,19,Yas Marina
8,18,3,26,2017,19,Yas Marina
9,19,1,26,2017,19,Yas Marina
10,20,1,26,2017,19,Yas Marina
11,27,1,26,2017,19,Yas Marina
12,28,1,26,2017,19,Yas Marina
13,31,1,26,2017,19,Yas Marina
14,33,1,26,2017,19,Yas Marina
15,44,1,26,2017,19,Yas Marina
16,77,1,26,2017,19,Yas Marina
17,94,1,26,2017,19,Yas Marina
