,NO,STOP,race_id,year,race_in_year,track
0,2,2,18,2017,11,Spa-Francorchamps
1,3,2,18,2017,11,Spa-Francorchamps
2,5,2,18,2017,11,Spa-Francorchamps
3,7,3,18,2017,11,Spa-Francorchamps
4,8,2,18,2017,11,Spa-Francorchamps
5,9,3,18,2017,11,Spa-Francorchamps
6,18,2,18,2017,11,Spa-Francorchamps
7,19,2,18,2017,11,Spa-Francorchamps
8,20,3,18,2017,11,Spa-Francorchamps
9,26,2,18,2017,11,Spa-Francorchamps
10,27,2,18,2017,11,Spa-Francorchamps
11,30,2,18,2017,11,Spa-Francorchamps
12,31,3,18,2017,11,Spa-Francorchamps
13,44,2,18,2017,11,Spa-Francorchamps
14,55,2,18,2017,11,Spa-Francorchamps
15,77,2,18,2017,11,Spa-Francorchamps
